Wavelength (nm)	Rel. spec. intensity (dB)
846.660	29.832
846.683	29.836
846.705	29.818
846.728	29.800
846.751	29.823
846.774	29.800
846.796	29.845
846.819	29.868
846.842	29.823
846.865	29.836
846.887	29.886
846.910	29.836
846.933	29.863
846.955	29.805
846.978	29.841
847.001	29.754
847.023	29.934
847.046	29.827
847.069	29.795
847.092	29.791
847.114	29.814
847.137	29.791
847.160	29.800
847.182	29.773
847.205	29.845
847.228	29.859
847.250	29.836
847.273	29.786
847.296	29.777
847.318	29.863
847.341	29.814
847.364	29.859
847.386	29.850
847.409	29.845
847.432	29.845
847.454	29.881
847.477	29.854
847.499	29.930
847.522	29.845
847.545	29.854
847.567	29.841
847.590	29.854
847.613	29.868
847.635	29.836
847.658	29.768
847.680	29.859
847.703	29.818
847.726	29.845
847.748	29.845
847.771	29.818
847.793	29.805
847.816	29.850
847.839	29.854
847.861	29.903
847.884	29.823
847.906	29.877
847.929	29.872
847.951	29.832
847.974	29.818
847.996	29.805
848.019	29.795
848.042	29.850
848.064	29.841
848.087	29.845
848.109	29.800
848.132	29.836
848.154	29.827
848.177	29.845
848.199	29.845
848.222	29.814
848.244	29.814
848.267	29.863
848.289	29.836
848.312	29.859
848.334	29.890
848.357	29.845
848.379	29.845
848.402	29.872
848.424	29.805
848.447	29.872
848.469	29.823
848.492	29.795
848.514	29.859
848.537	29.859
848.559	29.841
848.582	29.836
848.604	29.814
848.627	29.841
848.649	29.868
848.672	29.814
848.694	29.832
848.717	29.782
848.739	29.800
848.761	29.791
848.784	29.832
848.806	29.863
848.829	29.832
848.851	29.881
848.874	29.850
848.896	29.917
848.919	29.823
848.941	29.899
848.963	29.868
848.986	29.868
849.008	29.845
849.031	29.805
849.053	29.859
849.075	29.814
849.098	29.754
849.120	29.832
849.143	29.841
849.165	29.800
849.187	29.759
849.210	29.841
849.232	29.863
849.254	29.859
849.277	29.777
849.299	29.921
849.322	29.850
849.344	29.823
849.366	29.868
849.389	29.863
849.411	29.912
849.433	29.805
849.456	29.845
849.478	29.791
849.500	29.868
849.523	29.800
849.545	29.868
849.567	29.894
849.590	29.926
849.612	29.832
849.634	29.868
849.657	29.868
849.679	29.805
849.701	29.791
849.724	29.827
849.746	29.832
849.768	29.795
849.791	29.877
849.813	29.759
849.835	29.814
849.857	29.881
849.880	29.854
849.902	29.832
849.924	29.800
849.946	29.926
849.969	29.818
849.991	29.827
850.013	29.768
850.036	29.845
850.058	29.868
850.080	29.818
850.102	29.841
850.125	29.854
850.147	29.899
850.169	29.881
850.191	29.773
850.214	29.872
850.236	29.841
850.258	29.908
850.280	29.859
850.302	29.836
850.325	29.881
850.347	29.800
850.369	29.773
850.391	29.912
850.414	29.827
850.436	29.814
850.458	29.863
850.480	29.836
850.502	29.894
850.524	29.795
850.547	29.912
850.569	29.845
850.591	29.773
850.613	29.754
850.635	29.845
850.658	29.845
850.680	29.899
850.702	29.795
850.724	29.868
850.746	29.805
850.768	29.827
850.791	29.814
850.813	29.854
850.835	29.917
850.857	29.850
850.879	29.868
850.901	29.841
850.923	29.908
850.945	29.930
850.968	30.022
850.990	30.183
851.012	30.278
851.034	30.124
851.056	30.039
851.078	29.948
851.100	29.899
851.122	29.823
851.144	29.845
851.167	29.841
851.189	29.836
851.211	29.881
851.233	29.832
851.255	29.859
851.277	29.841
851.299	29.850
851.321	29.859
851.343	29.952
851.365	29.917
851.387	29.795
851.409	29.894
851.431	29.908
851.453	30.099
851.476	30.663
851.498	31.581
851.520	32.697
851.542	33.988
851.564	35.517
851.586	37.065
851.608	37.704
851.630	37.901
851.652	38.623
851.674	38.523
851.696	38.432
851.718	38.562
851.740	37.258
851.762	35.397
851.784	33.690
851.806	31.700
851.828	30.418
851.850	30.086
851.872	29.983
851.894	29.917
851.916	29.934
851.938	29.872
851.960	29.881
851.982	29.881
852.004	29.969
852.026	29.921
852.048	29.912
852.070	29.899
852.092	29.890
852.114	29.948
852.135	30.162
852.157	31.089
852.179	31.998
852.201	33.318
852.223	34.648
852.245	35.978
852.267	36.651
852.289	36.204
852.311	35.272
852.333	33.526
852.355	31.529
852.377	30.294
852.399	30.052
852.421	29.930
852.442	29.952
852.464	29.934
852.486	29.872
852.508	29.836
852.530	29.877
852.552	29.886
852.574	29.872
852.596	29.877
852.618	29.832
852.639	29.939
852.661	29.832
852.683	29.877
852.705	29.854
852.727	29.827
852.749	29.894
852.771	29.881
852.792	29.832
852.814	29.854
852.836	29.881
852.858	29.859
852.880	29.832
852.902	29.877
852.924	29.845
852.945	29.832
852.967	29.786
852.989	29.791
853.011	29.877
853.033	29.850
853.055	29.841
853.076	29.930
853.098	29.863
853.120	29.850
853.142	29.868
853.164	29.832
853.185	29.863
853.207	29.850
853.229	29.800
853.251	29.827
853.272	29.836
853.294	29.841
853.316	29.795
853.338	29.832
853.360	29.903
853.381	29.832
853.403	29.786
853.425	29.800
853.447	29.877
853.468	29.863
853.490	29.868
853.512	29.841
853.534	29.823
853.555	29.850
853.577	29.863
853.599	29.969
853.620	29.841
853.642	29.872
853.664	29.795
853.686	29.872
853.707	29.832
853.729	29.764
853.751	29.795
853.773	29.863
853.794	29.934
853.816	29.827
853.838	29.859
853.859	29.850
853.881	29.886
853.903	29.773
853.924	29.791
853.946	29.859
853.968	29.795
853.989	29.877
854.011	29.890
854.033	29.836
854.054	29.782
854.076	29.899
854.098	29.903
854.119	29.854
854.141	29.809
854.163	29.850
854.184	29.818
854.206	29.832
854.228	29.827
854.249	29.818
854.271	29.836
854.292	29.836
854.314	29.863
854.336	29.872
854.357	29.903
854.379	29.823
854.401	29.791
854.422	29.805
854.444	29.786
854.465	29.773
854.487	29.791
854.509	29.854
854.530	29.805
854.552	29.903
854.573	29.854
854.595	29.827
854.617	29.845
854.638	29.814
854.660	29.827
854.681	29.791
854.703	29.832
854.724	29.886
854.746	29.845
854.767	29.823
854.789	29.868
854.811	29.800
854.832	29.814
854.854	29.886
854.875	29.827
854.897	29.845
854.918	29.903
854.940	29.912
854.961	29.800
854.983	29.832
855.004	29.759
855.026	29.800
855.047	29.836
855.069	29.908
855.090	29.818
855.112	29.827
855.133	29.872
855.155	29.908
855.176	29.836
855.198	29.908
855.219	29.854
855.241	29.845
855.262	29.814
855.284	29.782
855.305	29.877
855.327	29.832
855.348	29.836
855.370	29.903
855.391	29.886
855.413	29.899
855.434	29.850
855.456	29.930
855.477	29.791
855.498	29.791
855.520	29.841
855.541	29.836
855.563	29.800
855.584	29.877
855.606	29.764
855.627	29.823
855.648	29.836
855.670	29.863
855.691	29.877
855.713	29.754
855.734	29.845
855.755	29.795
855.777	29.823
855.798	29.814
855.820	29.836
855.841	29.809
855.862	29.782
855.884	29.850
855.905	29.836
855.927	29.722
855.948	29.818
855.969	29.859
855.991	29.872
856.012	29.805
856.033	29.814
856.055	29.823
856.076	29.795
856.098	29.809
856.119	29.777
856.140	29.809
856.162	29.868
856.183	29.890
856.204	29.845
856.226	29.832
856.247	29.863
856.268	29.854
856.290	29.827
856.311	29.886
856.332	29.827
856.354	29.863
856.375	29.863
856.396	29.832
856.417	29.850
856.439	29.841
856.460	29.827
856.481	29.809
856.503	29.827
856.524	29.818
856.545	29.850
856.566	29.872
856.588	29.863
856.609	29.754
856.630	29.890
856.652	29.859
