Current (mA)	Voltage (V)	Power (mW)
0.00000	0.10984	0.00166
0.05000	0.69400	0.00162
0.10000	1.34729	0.00162
0.15000	1.37454	0.00140
0.20000	1.39515	0.00107
0.25000	1.41146	0.00136
0.30000	1.42572	0.00178
0.35000	1.43817	0.00162
0.40000	1.44909	0.00129
0.45000	1.45949	0.00147
0.50000	1.46879	0.00170
0.55000	1.47754	0.00204
0.60000	1.48564	0.00170
0.65000	1.49345	0.00155
0.70000	1.50090	0.00211
0.75000	1.50773	0.00218
0.80000	1.51450	0.00181
0.85000	1.52075	0.00207
0.90000	1.52689	0.00211
0.95000	1.53279	0.00241
1.00000	1.53861	0.00275
1.05000	1.54419	0.00249
1.10000	1.54943	0.00268
1.15000	1.55476	0.00301
1.20000	1.55973	0.00308
1.25000	1.56474	0.00282
1.30000	1.56946	0.00335
1.35000	1.57432	0.00356
1.40000	1.57898	0.00364
1.45000	1.58347	0.00391
1.50000	1.58789	0.00410
1.55000	1.59220	0.00406
1.60000	1.59646	0.00406
1.65000	1.60063	0.00454
1.70000	1.60478	0.00446
1.75000	1.60889	0.00488
1.80000	1.61288	0.00510
1.85000	1.61676	0.00552
1.90000	1.62050	0.00615
1.95000	1.62445	0.00708
2.00000	1.62798	0.00865
2.05000	1.63173	0.01149
2.10000	1.63517	0.01604
2.15000	1.63837	0.02476
2.20000	1.64157	0.03653
2.25000	1.64447	0.04942
2.30000	1.64758	0.06240
2.35000	1.65047	0.07589
2.40000	1.65341	0.08935
2.45000	1.65644	0.10240
2.50000	1.65932	0.11548
2.55000	1.66232	0.12853
2.60000	1.66518	0.14090
2.65000	1.66815	0.15302
2.70000	1.67110	0.16546
2.75000	1.67389	0.17713
2.80000	1.67687	0.18909
2.85000	1.67968	0.20030
2.90000	1.68257	0.21118
2.95000	1.68544	0.22221
3.00000	1.68831	0.23350
3.05000	1.69117	0.24404
3.10000	1.69397	0.25436
3.15000	1.69686	0.26464
3.20000	1.69960	0.27477
3.25000	1.70245	0.28427
3.30000	1.70521	0.29462
3.35000	1.70800	0.30303
3.40000	1.71084	0.31279
3.45000	1.71355	0.32153
3.50000	1.71629	0.33044
3.55000	1.71902	0.33919
3.60000	1.72192	0.34804
3.65000	1.72460	0.35604
3.70000	1.72721	0.36437
3.75000	1.72997	0.37294
3.80000	1.73262	0.38082
3.85000	1.73537	0.38950
3.90000	1.73790	0.39806
3.95000	1.74069	0.40666
4.00000	1.74320	0.41522
4.05000	1.74578	0.42416
4.10000	1.74846	0.43286
4.15000	1.75095	0.44150
4.20000	1.75350	0.45048
4.25000	1.75608	0.45889
4.30000	1.75864	0.46774
4.35000	1.76118	0.47701
4.40000	1.76379	0.48449
4.45000	1.76623	0.49321
4.50000	1.76878	0.50194
4.55000	1.77123	0.51062
4.60000	1.77371	0.51829
4.65000	1.77621	0.52745
4.70000	1.77870	0.53526
4.75000	1.78113	0.54394
4.80000	1.78367	0.55148
4.85000	1.78611	0.55836
4.90000	1.78864	0.56726
4.95000	1.79094	0.57388
5.00000	1.79338	0.58116
5.05000	1.79574	0.58789
5.10000	1.79820	0.59492
5.15000	1.80077	0.60169
5.20000	1.80303	0.60707
5.25000	1.80542	0.61298
5.30000	1.80788	0.62034
5.35000	1.81029	0.62542
5.40000	1.81260	0.63062
5.45000	1.81502	0.63559
5.50000	1.81730	0.64120
5.55000	1.81960	0.64569
5.60000	1.82197	0.65018
5.65000	1.82424	0.65436
5.70000	1.82669	0.65851
5.75000	1.82900	0.66206
5.80000	1.83132	0.66520
5.85000	1.83360	0.66905
5.90000	1.83587	0.67223
5.95000	1.83825	0.67560
6.00000	1.84051	0.67731
6.05000	1.84277	0.67974
6.10000	1.84508	0.68203
6.15000	1.84739	0.68371
6.20000	1.84961	0.68539
6.25000	1.85177	0.68685
6.30000	1.85404	0.68782
6.35000	1.85632	0.68879
6.40000	1.85857	0.68939
6.45000	1.86078	0.68943
6.50000	1.86293	0.68969
6.55000	1.86522	0.68950
6.60000	1.86743	0.68830
6.65000	1.86960	0.68890
6.70000	1.87173	0.68704
6.75000	1.87394	0.68527
6.80000	1.87620	0.68431
6.85000	1.87831	0.68203
6.90000	1.88050	0.68019
6.95000	1.88260	0.67817
7.00000	1.88478	0.67541
7.05000	1.88681	0.67272
7.10000	1.88897	0.66946
7.15000	1.89108	0.66513
7.20000	1.89320	0.66143
7.25000	1.89538	0.65754
7.30000	1.89738	0.65383
7.35000	1.89956	0.64864
7.40000	1.90166	0.64389
7.45000	1.90366	0.63836
7.50000	1.90574	0.63235
7.55000	1.90781	0.62632
7.60000	1.90987	0.62079
7.65000	1.91186	0.61433
7.70000	1.91402	0.60699
7.75000	1.91608	0.59993
7.80000	1.91804	0.59235
7.85000	1.92005	0.58498
7.90000	1.92195	0.57749
7.95000	1.92404	0.56879
8.00000	1.92597	0.56008
8.05000	1.92808	0.55104
8.10000	1.92999	0.54198
8.15000	1.93197	0.53271
8.20000	1.93390	0.52173
8.25000	1.93582	0.51260
8.30000	1.93778	0.50165
8.35000	1.93970	0.49115
8.40000	1.94175	0.47937
8.45000	1.94359	0.46785
8.50000	1.94556	0.45601
8.55000	1.94746	0.44430
8.60000	1.94936	0.43069
8.65000	1.95124	0.41847
8.70000	1.95313	0.40512
8.75000	1.95498	0.39100
8.80000	1.95698	0.37710
8.85000	1.95871	0.36318
8.90000	1.96070	0.34827
8.95000	1.96246	0.33372
9.00000	1.96432	0.31848
9.05000	1.96612	0.30277
