Wavelength (nm)	Rel. spec. intensity (dB)
845.656	29.689
845.679	29.764
845.702	29.703
845.724	29.741
845.747	29.786
845.770	29.809
845.793	29.809
845.816	29.727
845.839	29.717
845.862	29.786
845.885	29.694
845.907	29.863
845.930	29.727
845.953	29.713
845.976	29.699
845.999	29.782
846.022	29.782
846.045	29.777
846.067	29.754
846.090	29.741
846.113	29.773
846.136	29.657
846.159	29.827
846.182	29.791
846.204	29.731
846.227	29.727
846.250	29.745
846.273	29.731
846.296	29.777
846.318	29.777
846.341	29.727
846.364	29.633
846.387	29.773
846.410	29.722
846.432	29.717
846.455	29.708
846.478	29.666
846.501	29.722
846.523	29.782
846.546	29.777
846.569	29.722
846.592	29.750
846.614	29.713
846.637	29.722
846.660	29.741
846.683	29.741
846.705	29.731
846.728	29.791
846.751	29.786
846.774	29.841
846.796	29.694
846.819	29.703
846.842	29.736
846.865	29.768
846.887	29.850
846.910	29.827
846.933	29.773
846.955	29.689
846.978	29.741
847.001	29.745
847.023	29.768
847.046	29.764
847.069	29.777
847.092	29.791
847.114	29.827
847.137	29.805
847.160	29.731
847.182	29.754
847.205	29.722
847.228	29.786
847.250	29.722
847.273	29.731
847.296	29.768
847.318	29.741
847.341	29.759
847.364	29.741
847.386	29.671
847.409	29.717
847.432	29.754
847.454	29.708
847.477	29.750
847.499	29.680
847.522	29.731
847.545	29.699
847.567	29.713
847.590	29.717
847.613	29.745
847.635	29.805
847.658	29.717
847.680	29.731
847.703	29.736
847.726	29.786
847.748	29.786
847.771	29.786
847.793	29.694
847.816	29.827
847.839	29.727
847.861	29.741
847.884	29.759
847.906	29.736
847.929	29.800
847.951	29.643
847.974	29.786
847.996	29.722
848.019	29.694
848.042	29.750
848.064	29.750
848.087	29.741
848.109	29.722
848.132	29.717
848.154	29.717
848.177	29.731
848.199	29.671
848.222	29.731
848.244	29.731
848.267	29.685
848.289	29.694
848.312	29.764
848.334	29.731
848.357	29.741
848.379	29.727
848.402	29.727
848.424	29.759
848.447	29.800
848.469	29.722
848.492	29.827
848.514	29.768
848.537	29.832
848.559	29.768
848.582	29.661
848.604	29.754
848.627	29.736
848.649	29.675
848.672	29.731
848.694	29.759
848.717	29.777
848.739	29.768
848.761	29.731
848.784	29.827
848.806	29.713
848.829	29.731
848.851	29.685
848.874	29.717
848.896	29.759
848.919	29.786
848.941	29.680
848.963	29.685
848.986	29.680
849.008	29.768
849.031	29.731
849.053	29.764
849.075	29.750
849.098	29.745
849.120	29.727
849.143	29.624
849.165	29.741
849.187	29.708
849.210	29.741
849.232	29.782
849.254	29.782
849.277	29.777
849.299	29.759
849.322	29.717
849.344	29.800
849.366	29.750
849.389	29.680
849.411	29.773
849.433	29.717
849.456	29.671
849.478	29.777
849.500	29.782
849.523	29.741
849.545	29.773
849.567	29.773
849.590	29.736
849.612	29.800
849.634	29.713
849.657	29.741
849.679	29.717
849.701	29.619
849.724	29.717
849.746	29.754
849.768	29.759
849.791	29.671
849.813	29.809
849.835	29.809
849.857	29.741
849.880	29.717
849.902	29.741
849.924	29.791
849.946	29.722
849.969	29.699
849.991	29.736
850.013	29.741
850.036	29.832
850.058	29.750
850.080	29.777
850.102	29.777
850.125	29.777
850.147	29.759
850.169	29.777
850.191	29.786
850.214	29.741
850.236	29.671
850.258	29.713
850.280	29.713
850.302	29.754
850.325	29.805
850.347	29.768
850.369	29.773
850.391	29.736
850.414	29.782
850.436	29.759
850.458	29.768
850.480	29.845
850.502	29.791
850.524	30.175
850.547	31.355
850.569	32.443
850.591	33.681
850.613	34.710
850.635	35.096
850.658	34.314
850.680	33.113
850.702	32.251
850.724	31.143
850.746	30.082
850.768	29.872
850.791	29.934
850.813	30.795
850.835	31.761
850.857	32.596
850.879	33.302
850.901	32.794
850.923	31.526
850.945	30.342
850.968	29.978
850.990	29.791
851.012	29.777
851.034	29.805
851.056	29.764
851.078	29.795
851.100	29.805
851.122	29.782
851.144	29.754
851.167	29.675
851.189	29.731
851.211	29.750
851.233	29.773
851.255	29.736
851.277	29.731
851.299	29.750
851.321	29.786
851.343	29.750
851.365	29.675
851.387	29.759
851.409	29.741
851.431	29.703
851.453	29.699
851.476	29.777
851.498	29.805
851.520	29.800
851.542	29.773
851.564	29.809
851.586	29.731
851.608	29.773
851.630	29.754
851.652	29.717
851.674	29.741
851.696	29.717
851.718	29.759
851.740	29.754
851.762	29.777
851.784	29.652
851.806	29.675
851.828	29.736
851.850	29.773
851.872	29.805
851.894	29.685
851.916	29.703
851.938	29.814
851.960	29.727
851.982	29.652
852.004	29.717
852.026	29.741
852.048	29.745
852.070	29.754
852.092	29.782
852.114	29.782
852.135	29.791
852.157	29.722
852.179	29.768
852.201	29.782
852.223	29.773
852.245	29.750
852.267	29.805
852.289	29.731
852.311	29.768
852.333	29.741
852.355	29.689
852.377	29.759
852.399	29.713
852.421	29.750
852.442	29.800
852.464	29.731
852.486	29.717
852.508	29.736
852.530	29.694
852.552	29.703
852.574	29.750
852.596	29.741
852.618	29.841
852.639	29.814
852.661	29.727
852.683	29.661
852.705	29.713
852.727	29.731
852.749	29.754
852.771	29.805
852.792	29.736
852.814	29.680
852.836	29.699
852.858	29.708
852.880	29.791
852.902	29.759
852.924	29.699
852.945	29.713
852.967	29.745
852.989	29.741
853.011	29.727
853.033	29.768
853.055	29.777
853.076	29.727
853.098	29.717
853.120	29.768
853.142	29.791
853.164	29.750
853.185	29.666
853.207	29.750
853.229	29.722
853.251	29.777
853.272	29.703
853.294	29.699
853.316	29.689
853.338	29.731
853.360	29.768
853.381	29.795
853.403	29.782
853.425	29.782
853.447	29.832
853.468	29.722
853.490	29.745
853.512	29.736
853.534	29.754
853.555	29.759
853.577	29.764
853.599	29.754
853.620	29.832
853.642	29.850
853.664	29.745
853.686	29.750
853.707	29.795
853.729	29.624
853.751	29.661
853.773	29.699
853.794	29.745
853.816	29.745
853.838	29.736
853.859	29.713
853.881	29.750
853.903	29.731
853.924	29.685
853.946	29.699
853.968	29.727
853.989	29.694
854.011	29.689
854.033	29.773
854.054	29.628
854.076	29.713
854.098	29.764
854.119	29.773
854.141	29.800
854.163	29.754
854.184	29.675
854.206	29.845
854.228	29.731
854.249	29.768
854.271	29.717
854.292	29.717
854.314	29.680
854.336	29.818
854.357	29.736
854.379	29.675
854.401	29.624
854.422	29.727
854.444	29.694
854.465	29.786
854.487	29.722
854.509	29.768
854.530	29.754
854.552	29.795
854.573	29.759
854.595	29.638
854.617	29.680
854.638	29.703
854.660	29.699
854.681	29.773
854.703	29.736
854.724	29.750
854.746	29.854
854.767	29.708
854.789	29.717
854.811	29.764
854.832	29.773
854.854	29.745
854.875	29.722
854.897	29.722
854.918	29.722
854.940	29.809
854.961	29.713
854.983	29.675
855.004	29.694
855.026	29.782
855.047	29.754
855.069	29.713
855.090	29.699
855.112	29.736
855.133	29.736
855.155	29.745
855.176	29.759
855.198	29.768
855.219	29.699
855.241	29.717
855.262	29.741
855.284	29.764
855.305	29.809
855.327	29.754
855.348	29.666
855.370	29.689
855.391	29.717
855.413	29.877
855.434	29.727
855.456	29.754
855.477	29.745
855.498	29.754
855.520	29.741
855.541	29.750
855.563	29.731
855.584	29.782
855.606	29.773
855.627	29.708
