Current (mA)	Voltage (V)	Power (mW)
10.55000	1.91499	0.21181
10.60000	1.91639	0.20020
10.65000	1.91794	0.18692
10.70000	1.91942	0.17406
10.75000	1.92090	0.16023
10.80000	1.92235	0.14591
10.85000	1.92392	0.13242
10.90000	1.92535	0.11829
10.95000	1.92682	0.10430
11.00000	1.92833	0.09044
11.05000	1.92970	0.07829
11.10000	1.93128	0.06729
11.15000	1.93274	0.05724
11.20000	1.93406	0.04965
11.25000	1.93561	0.04426
11.30000	1.93698	0.03948
11.35000	1.93846	0.03593
11.40000	1.93979	0.03282
11.45000	1.94130	0.03122
11.50000	1.94265	0.02939
11.55000	1.94411	0.02760
11.60000	1.94549	0.02625
11.65000	1.94692	0.02561
11.70000	1.94835	0.02468
11.75000	1.94975	0.02378
11.80000	1.95111	0.02303
11.85000	1.95262	0.02266
11.90000	1.95400	0.02240
11.95000	1.95540	0.02169
12.00000	1.95673	0.02117
12.05000	1.95809	0.02090
12.10000	1.95952	0.02019
12.15000	1.96090	0.02015
12.20000	1.96240	0.01967
12.25000	1.96374	0.01952
12.30000	1.96513	0.01963
12.35000	1.96645	0.01904
12.40000	1.96790	0.01854
12.45000	1.96922	0.01836
12.50000	1.97062	0.01825
12.55000	1.97206	0.01769
12.60000	1.97341	0.01739
12.65000	1.97474	0.01716
12.70000	1.97611	0.01716
12.75000	1.97759	0.01712
12.80000	1.97882	0.01668
12.85000	1.98024	0.01660
12.90000	1.98161	0.01687
12.95000	1.98293	0.01664
13.00000	1.98438	0.01627
13.05000	1.98567	0.01612
13.10000	1.98706	0.01604
13.15000	1.98842	0.01637
13.20000	1.98975	0.01578
13.25000	1.99112	0.01582
13.30000	1.99251	0.01593
13.35000	1.99386	0.01574
13.40000	1.99515	0.01563
13.45000	1.99654	0.01518
13.50000	1.99789	0.01537
13.55000	1.99919	0.01518
13.60000	2.00057	0.01530
13.65000	2.00193	0.01491
13.70000	2.00328	0.01499
13.75000	2.00453	0.01499
13.80000	2.00589	0.01495
13.85000	2.00729	0.01420
13.90000	2.00855	0.01428
13.95000	2.00990	0.01478
14.00000	2.01123	0.01462
14.05000	2.01260	0.01420
14.10000	2.01388	0.01410
14.15000	2.01519	0.01365
14.20000	2.01661	0.01424
14.25000	2.01788	0.01418
