Wavelength (nm)	Rel. spec. intensity (dB)
846.842	29.736
846.865	29.768
846.887	29.736
846.910	29.731
846.933	29.759
846.955	29.786
846.978	29.694
847.001	29.773
847.023	29.768
847.046	29.754
847.069	29.727
847.092	29.773
847.114	29.722
847.137	29.745
847.160	29.703
847.182	29.675
847.205	29.736
847.228	29.795
847.250	29.777
847.273	29.809
847.296	29.750
847.318	29.717
847.341	29.754
847.364	29.741
847.386	29.786
847.409	29.800
847.432	29.809
847.454	29.764
847.477	29.754
847.499	29.750
847.522	29.764
847.545	29.745
847.567	29.773
847.590	29.827
847.613	29.736
847.635	29.745
847.658	29.741
847.680	29.741
847.703	29.768
847.726	29.741
847.748	29.731
847.771	29.745
847.793	29.708
847.816	29.768
847.839	29.786
847.861	29.699
847.884	29.685
847.906	29.703
847.929	29.782
847.951	29.777
847.974	29.750
847.996	29.736
848.019	29.727
848.042	29.741
848.064	29.759
848.087	29.731
848.109	29.722
848.132	29.638
848.154	29.754
848.177	29.736
848.199	29.777
848.222	29.717
848.244	29.759
848.267	29.731
848.289	29.731
848.312	29.703
848.334	29.713
848.357	29.745
848.379	29.657
848.402	29.689
848.424	29.722
848.447	29.731
848.469	29.713
848.492	29.750
848.514	29.741
848.537	29.795
848.559	29.795
848.582	29.741
848.604	29.754
848.627	29.759
848.649	29.689
848.672	29.590
848.694	29.773
848.717	29.841
848.739	29.773
848.761	29.731
848.784	29.782
848.806	29.736
848.829	29.708
848.851	29.750
848.874	29.754
848.896	29.759
848.919	29.713
848.941	29.731
848.963	29.694
848.986	29.717
849.008	29.708
849.031	29.777
849.053	29.708
849.075	29.694
849.098	29.805
849.120	29.759
849.143	29.745
849.165	29.717
849.187	29.666
849.210	29.782
849.232	29.759
849.254	29.745
849.277	29.727
849.299	29.782
849.322	29.750
849.344	29.791
849.366	29.795
849.389	29.791
849.411	29.680
849.433	29.795
849.456	29.754
849.478	29.666
849.500	29.647
849.523	29.750
849.545	29.754
849.567	29.768
849.590	29.768
849.612	29.786
849.634	29.791
849.657	29.727
849.679	29.717
849.701	29.741
849.724	29.713
849.746	29.713
849.768	29.722
849.791	29.736
849.813	29.736
849.835	29.661
849.857	29.764
849.880	29.750
849.902	29.759
849.924	29.736
849.946	29.741
849.969	29.814
849.991	29.741
850.013	29.703
850.036	29.722
850.058	29.745
850.080	29.671
850.102	29.671
850.125	29.764
850.147	29.708
850.169	29.795
850.191	29.708
850.214	29.713
850.236	29.777
850.258	29.786
850.280	29.754
850.302	29.703
850.325	29.717
850.347	29.699
850.369	29.689
850.391	29.805
850.414	29.782
850.436	29.791
850.458	29.773
850.480	29.731
850.502	29.741
850.524	29.689
850.547	29.727
850.569	29.736
850.591	29.750
850.613	29.786
850.635	29.809
850.658	29.694
850.680	29.699
850.702	29.703
850.724	29.759
850.746	29.759
850.768	29.708
850.791	29.786
850.813	29.764
850.835	29.754
850.857	29.795
850.879	29.708
850.901	29.727
850.923	29.657
850.945	29.680
850.968	29.764
850.990	29.850
851.012	29.850
851.034	29.703
851.056	29.795
851.078	29.754
851.100	29.800
851.122	29.773
851.144	29.731
851.167	29.750
851.189	29.731
851.211	29.717
851.233	29.850
851.255	29.791
851.277	29.727
851.299	29.717
851.321	29.694
851.343	29.795
851.365	29.930
851.387	30.265
851.409	30.730
851.431	30.726
851.453	30.154
851.476	29.841
851.498	29.841
851.520	29.736
851.542	29.809
851.564	29.750
851.586	29.800
851.608	29.800
851.630	29.827
851.652	29.948
851.674	30.618
851.696	31.553
851.718	32.869
851.740	34.513
851.762	36.012
851.784	36.935
851.806	37.398
851.828	37.572
851.850	36.884
851.872	35.228
851.894	34.140
851.916	32.869
851.938	31.593
851.960	30.473
851.982	30.065
852.004	29.841
852.026	29.791
852.048	30.086
852.070	30.913
852.092	32.060
852.114	33.349
852.135	34.789
852.157	35.740
852.179	35.989
852.201	35.122
852.223	33.844
852.245	32.785
852.267	31.245
852.289	30.095
852.311	29.872
852.333	29.921
852.355	29.782
852.377	29.809
852.399	29.773
852.421	29.800
852.442	29.786
852.464	29.795
852.486	29.795
852.508	29.786
852.530	29.689
852.552	29.750
852.574	29.773
852.596	29.836
852.618	29.823
852.639	29.759
852.661	29.713
852.683	29.741
852.705	29.736
852.727	29.736
852.749	29.791
852.771	29.750
852.792	29.764
852.814	29.754
852.836	29.764
852.858	29.850
852.880	29.805
852.902	29.657
852.924	29.675
852.945	29.741
852.967	29.745
852.989	29.731
853.011	29.786
853.033	29.754
853.055	29.745
853.076	29.745
853.098	29.750
853.120	29.800
853.142	29.777
853.164	29.727
853.185	29.768
853.207	29.764
853.229	29.736
853.251	29.795
853.272	29.722
853.294	29.745
853.316	29.750
853.338	29.657
853.360	29.680
853.381	29.764
853.403	29.754
853.425	29.745
853.447	29.750
853.468	29.745
853.490	29.713
853.512	29.786
853.534	29.764
