Wavelength (nm)	Rel. spec. intensity (dB)
847.884	29.741
847.906	29.694
847.929	29.713
847.951	29.657
847.974	29.773
847.996	29.777
848.019	29.750
848.042	29.694
848.064	29.680
848.087	29.722
848.109	29.750
848.132	29.777
848.154	29.791
848.177	29.708
848.199	29.731
848.222	29.657
848.244	29.773
848.267	29.722
848.289	29.768
848.312	29.814
848.334	29.768
848.357	29.754
848.379	29.786
848.402	29.741
848.424	29.699
848.447	29.800
848.469	29.827
848.492	29.782
848.514	29.795
848.537	29.652
848.559	29.750
848.582	29.764
848.604	29.731
848.627	29.727
848.649	29.694
848.672	29.689
848.694	29.791
848.717	29.768
848.739	29.800
848.761	29.713
848.784	29.759
848.806	29.703
848.829	29.773
848.851	29.736
848.874	29.722
848.896	29.694
848.919	29.754
848.941	29.652
848.963	29.741
848.986	29.717
849.008	29.717
849.031	29.731
849.053	29.703
849.075	29.750
849.098	29.754
849.120	29.754
849.143	29.671
849.165	29.722
849.187	29.768
849.210	29.680
849.232	29.768
849.254	29.750
849.277	29.759
849.299	29.764
849.322	29.750
849.344	29.786
849.366	29.638
849.389	29.782
849.411	29.759
849.433	29.675
849.456	29.727
849.478	29.750
849.500	29.736
849.523	29.727
849.545	29.741
849.567	29.764
849.590	29.768
849.612	29.694
849.634	29.791
849.657	29.708
849.679	29.708
849.701	29.754
849.724	29.777
849.746	29.666
849.768	29.717
849.791	29.675
849.813	29.782
849.835	29.736
849.857	29.759
849.880	29.680
849.902	29.722
849.924	29.694
849.946	29.699
849.969	29.745
849.991	29.736
850.013	29.782
850.036	29.782
850.058	29.809
850.080	29.731
850.102	29.699
850.125	29.652
850.147	29.768
850.169	29.754
850.191	29.805
850.214	29.713
850.236	29.736
850.258	29.800
850.280	29.754
850.302	29.759
850.325	29.773
850.347	29.768
850.369	29.731
850.391	29.782
850.414	29.731
850.436	29.795
850.458	29.722
850.480	29.736
850.502	29.759
850.524	29.795
850.547	29.759
850.569	29.750
850.591	29.708
850.613	29.699
850.635	29.754
850.658	29.741
850.680	29.750
850.702	29.845
850.724	29.754
850.746	29.736
850.768	29.754
850.791	29.731
850.813	29.782
850.835	29.759
850.857	29.736
850.879	29.736
850.901	29.773
850.923	29.736
850.945	29.741
850.968	29.717
850.990	29.764
851.012	29.795
851.034	29.741
851.056	29.745
851.078	29.773
851.100	29.768
851.122	29.764
851.144	29.773
851.167	29.777
851.189	29.699
851.211	29.694
851.233	29.694
851.255	29.713
851.277	29.768
851.299	29.731
851.321	29.754
851.343	29.759
851.365	29.759
851.387	29.717
851.409	29.722
851.431	29.703
851.453	29.657
851.476	29.703
851.498	29.736
851.520	29.699
851.542	29.722
851.564	29.777
851.586	29.791
851.608	29.759
851.630	29.764
851.652	29.643
851.674	29.754
851.696	29.741
851.718	29.731
851.740	29.777
851.762	29.741
851.784	29.805
851.806	29.722
851.828	29.754
851.850	29.850
851.872	29.791
851.894	29.768
851.916	29.773
