Wavelength (nm)	Rel. spec. intensity (dB)
847.318	29.764
847.341	29.764
847.364	29.713
847.386	29.782
847.409	29.713
847.432	29.759
847.454	29.685
847.477	29.736
847.499	29.619
847.522	29.713
847.545	29.759
847.567	29.777
847.590	29.731
847.613	29.661
847.635	29.699
847.658	29.805
847.680	29.713
847.703	29.754
847.726	29.750
847.748	29.800
847.771	29.689
847.793	29.661
847.816	29.722
847.839	29.764
847.861	29.722
847.884	29.727
847.906	29.750
847.929	29.736
847.951	29.661
847.974	29.717
847.996	29.754
848.019	29.731
848.042	29.689
848.064	29.759
848.087	29.782
848.109	29.717
848.132	29.777
848.154	29.694
848.177	29.727
848.199	29.750
848.222	29.750
848.244	29.727
848.267	29.750
848.289	29.717
848.312	29.731
848.334	29.708
848.357	29.764
848.379	29.754
848.402	29.643
848.424	29.741
848.447	29.703
848.469	29.731
848.492	29.731
848.514	29.736
848.537	29.699
848.559	29.791
848.582	29.689
848.604	29.754
848.627	29.786
848.649	29.809
848.672	29.827
848.694	29.703
848.717	29.731
848.739	29.703
848.761	29.699
848.784	29.685
848.806	29.731
848.829	29.800
848.851	29.836
848.874	29.773
848.896	29.759
848.919	29.671
848.941	29.731
848.963	29.680
848.986	29.795
849.008	29.773
849.031	29.814
849.053	29.750
849.075	29.773
849.098	29.823
849.120	29.764
849.143	29.745
849.165	29.643
849.187	29.736
849.210	29.731
849.232	29.827
849.254	29.741
849.277	29.708
849.299	29.800
849.322	29.713
849.344	29.736
849.366	29.731
849.389	29.731
849.411	29.777
849.433	29.805
849.456	29.768
849.478	29.773
849.500	29.657
849.523	29.777
849.545	29.713
849.567	29.731
849.590	29.754
849.612	29.745
849.634	29.703
849.657	29.717
849.679	29.773
849.701	29.809
849.724	29.717
849.746	29.731
849.768	29.703
849.791	29.694
849.813	29.736
849.835	29.791
849.857	29.741
849.880	29.768
849.902	29.773
849.924	29.750
849.946	29.680
849.969	29.836
849.991	29.750
850.013	29.717
850.036	29.750
850.058	29.754
850.080	29.764
850.102	29.685
850.125	29.689
850.147	29.675
850.169	29.745
850.191	29.745
850.214	29.786
850.236	29.741
850.258	29.703
850.280	29.722
850.302	29.722
850.325	29.736
850.347	29.764
850.369	29.745
850.391	29.731
850.414	29.699
850.436	29.736
850.458	29.717
850.480	29.759
850.502	29.671
850.524	29.671
850.547	29.731
850.569	29.722
850.591	29.773
850.613	29.745
850.635	29.786
850.658	29.777
850.680	29.708
850.702	29.703
850.724	29.773
850.746	29.745
850.768	29.722
850.791	29.717
850.813	29.703
850.835	29.722
850.857	29.708
850.879	29.722
850.901	29.759
850.923	29.731
850.945	29.708
850.968	29.759
850.990	29.717
851.012	29.791
851.034	29.694
851.056	29.703
851.078	29.764
851.100	29.773
851.122	29.736
851.144	29.694
851.167	29.791
851.189	29.754
851.211	29.671
851.233	29.722
851.255	29.731
851.277	29.805
851.299	29.703
851.321	29.750
851.343	29.845
851.365	29.777
851.387	29.661
851.409	29.708
851.431	29.741
851.453	29.675
851.476	29.764
851.498	29.773
851.520	29.708
851.542	29.791
851.564	29.741
851.586	29.657
851.608	29.694
851.630	29.754
851.652	29.754
851.674	29.768
851.696	29.795
851.718	29.754
851.740	29.750
851.762	29.841
851.784	29.759
851.806	29.731
851.828	29.722
851.850	29.759
851.872	29.768
851.894	29.713
851.916	29.722
851.938	29.800
851.960	29.741
851.982	29.777
852.004	29.773
852.026	29.699
852.048	29.773
852.070	29.773
852.092	29.675
852.114	29.731
852.135	29.731
852.157	29.854
852.179	30.269
852.201	31.474
852.223	32.878
852.245	34.562
852.267	36.184
852.289	37.357
852.311	37.728
852.333	37.633
852.355	36.423
852.377	34.890
852.399	33.758
852.421	32.608
852.442	31.209
852.464	30.257
852.486	29.943
852.508	29.868
852.530	29.745
852.552	29.759
852.574	29.800
852.596	29.782
852.618	29.823
852.639	29.736
852.661	29.764
852.683	29.708
852.705	29.717
852.727	29.727
852.749	29.764
852.771	29.727
852.792	29.782
852.814	29.777
852.836	30.183
852.858	31.498
852.880	32.370
852.902	33.452
852.924	33.718
852.945	32.737
852.967	31.587
852.989	30.358
853.011	29.943
853.033	29.868
853.055	29.791
853.076	29.814
853.098	29.791
853.120	29.872
853.142	29.845
853.164	29.791
853.185	29.764
853.207	29.759
853.229	29.805
853.251	29.854
853.272	29.809
853.294	29.791
853.316	29.731
853.338	29.685
853.360	29.800
853.381	29.750
853.403	29.699
853.425	29.814
853.447	29.722
853.468	29.791
853.490	29.750
853.512	29.777
853.534	29.745
853.555	29.736
853.577	29.800
853.599	29.754
853.620	29.750
853.642	29.777
853.664	29.671
853.686	29.736
853.707	29.754
853.729	29.768
853.751	29.786
853.773	29.750
853.794	29.741
853.816	29.786
853.838	29.741
853.859	29.736
853.881	29.736
853.903	29.773
853.924	29.708
853.946	29.759
853.968	29.791
853.989	29.809
854.011	29.773
854.033	29.859
854.054	29.750
854.076	29.823
854.098	29.717
854.119	29.727
854.141	29.786
854.163	29.680
854.184	29.722
854.206	29.759
854.228	29.741
854.249	29.731
854.271	29.708
854.292	29.786
854.314	29.759
854.336	29.759
854.357	29.773
854.379	29.786
854.401	29.750
854.422	29.745
854.444	29.736
854.465	29.773
854.487	29.708
854.509	29.764
854.530	29.717
854.552	29.745
854.573	29.786
854.595	29.731
854.617	29.754
854.638	29.731
854.660	29.750
854.681	29.777
854.703	29.708
854.724	29.832
854.746	29.750
854.767	29.759
854.789	29.741
854.811	29.713
854.832	29.805
854.854	29.777
854.875	29.759
854.897	29.777
854.918	29.795
854.940	29.800
854.961	29.759
854.983	29.717
855.004	29.727
855.026	29.680
855.047	29.759
855.069	29.741
855.090	29.689
855.112	29.754
855.133	29.727
855.155	29.773
855.176	29.809
855.198	29.764
855.219	29.814
855.241	29.685
855.262	29.773
855.284	29.680
855.305	29.795
855.327	29.764
855.348	29.777
855.370	29.741
855.391	29.727
855.413	29.727
855.434	29.741
855.456	29.809
855.477	29.731
855.498	29.745
855.520	29.736
855.541	29.791
855.563	29.795
855.584	29.850
855.606	29.661
855.627	29.694
855.648	29.657
855.670	29.777
855.691	29.741
855.713	29.745
855.734	29.722
855.755	29.786
855.777	29.845
855.798	29.689
855.820	29.703
855.841	29.647
855.862	29.800
855.884	29.685
855.905	29.671
855.927	29.713
855.948	29.823
855.969	29.823
855.991	29.675
856.012	29.727
856.033	29.703
856.055	29.661
856.076	29.741
856.098	29.736
856.119	29.764
856.140	29.750
856.162	29.708
856.183	29.731
856.204	29.731
856.226	29.722
856.247	29.800
856.268	29.768
856.290	29.750
856.311	29.877
856.332	29.750
856.354	29.731
856.375	29.699
856.396	29.727
856.417	29.680
856.439	29.666
856.460	29.675
856.481	29.777
856.503	29.699
856.524	29.741
856.545	29.717
856.566	29.736
856.588	29.717
856.609	29.671
856.630	29.647
856.652	29.722
856.673	29.657
856.694	29.717
856.715	29.754
856.737	29.685
856.758	29.764
856.779	29.791
856.800	29.741
856.822	29.741
856.843	29.741
856.864	29.754
856.885	29.741
856.907	29.671
856.928	29.750
856.949	29.717
856.970	29.708
856.991	29.773
857.013	29.685
857.034	29.750
857.055	29.727
857.076	29.773
857.097	29.708
857.119	29.814
857.140	29.717
857.161	29.727
857.182	29.768
857.203	29.768
857.225	29.699
857.246	29.657
857.267	29.685
857.288	29.768
857.309	29.713
