Wavelength (nm)	Rel. spec. intensity (dB)
843.907	29.694
843.930	29.717
843.953	29.717
843.976	29.731
843.999	29.689
844.022	29.689
844.045	29.652
844.069	29.722
844.092	29.736
844.115	29.657
844.138	29.708
844.161	29.694
844.184	29.750
844.207	29.703
844.230	29.741
844.253	29.736
844.276	29.750
844.300	29.773
844.323	29.689
844.346	29.675
844.369	29.722
844.392	29.633
844.415	29.754
844.438	29.731
844.461	29.722
844.484	29.759
844.507	29.671
844.530	29.657
844.553	29.694
844.576	29.745
844.599	29.713
844.622	29.713
844.645	29.768
844.668	29.680
844.692	29.727
844.715	29.666
844.738	29.722
844.761	29.699
844.784	29.791
844.807	29.791
844.830	29.727
844.853	29.699
844.876	29.713
844.899	29.736
844.922	29.754
844.945	29.708
844.968	29.805
844.991	29.800
845.014	29.741
845.037	29.773
845.060	29.713
845.083	29.727
845.105	29.722
845.128	29.685
845.151	29.773
845.174	29.736
845.197	29.795
845.220	29.741
845.243	29.782
845.266	29.666
845.289	29.689
845.312	29.741
845.335	29.703
845.358	29.689
845.381	29.722
845.404	29.694
845.427	29.800
845.450	29.795
845.473	29.717
845.496	29.671
845.518	29.657
845.541	29.713
845.564	29.652
845.587	29.708
845.610	29.727
845.633	29.675
845.656	29.643
845.679	29.782
845.702	29.741
845.724	29.741
845.747	29.694
845.770	29.722
845.793	29.652
845.816	29.773
845.839	29.782
845.862	29.750
845.885	29.745
845.907	29.750
845.930	29.777
845.953	29.699
845.976	29.764
845.999	29.685
846.022	29.745
846.045	29.685
846.067	29.754
846.090	29.703
846.113	29.708
846.136	29.717
846.159	29.694
846.182	29.666
846.204	29.685
846.227	29.773
846.250	29.736
846.273	29.764
846.296	29.750
846.318	29.782
846.341	29.685
846.364	29.699
846.387	29.764
846.410	29.777
846.432	29.675
846.455	29.666
846.478	29.722
846.501	29.759
846.523	29.754
846.546	29.741
846.569	29.694
846.592	29.671
846.614	29.731
846.637	29.722
846.660	29.708
846.683	29.773
846.705	29.777
846.728	29.754
846.751	29.666
846.774	29.661
846.796	29.759
846.819	29.694
846.842	29.717
846.865	29.745
846.887	29.713
846.910	29.647
846.933	29.741
846.955	29.708
846.978	29.754
847.001	29.773
847.023	29.633
847.046	29.722
847.069	29.633
847.092	29.722
847.114	29.727
847.137	29.717
847.160	29.657
847.182	29.727
847.205	29.768
847.228	29.836
847.250	29.754
847.273	29.750
847.296	29.754
847.318	29.777
847.341	29.717
847.364	29.703
847.386	29.727
847.409	29.703
