Wavelength (nm)	Rel. spec. intensity (dB)
849.008	29.782
849.031	29.768
849.053	29.750
849.075	29.791
849.098	29.754
849.120	29.694
849.143	29.708
849.165	29.713
849.187	29.754
849.210	29.827
849.232	29.786
849.254	29.791
849.277	29.773
849.299	29.791
849.322	29.809
849.344	29.717
849.366	29.745
849.389	29.773
849.411	29.764
849.433	29.768
849.456	29.845
849.478	29.786
849.500	29.777
849.523	29.741
849.545	29.768
849.567	29.727
849.590	29.764
849.612	29.786
849.634	29.850
849.657	29.809
849.679	29.754
849.701	29.750
849.724	29.786
849.746	29.809
849.768	29.727
849.791	29.713
849.813	29.782
849.835	29.814
849.857	29.777
849.880	29.736
849.902	29.694
849.924	29.768
849.946	29.759
849.969	29.777
849.991	29.777
850.013	29.764
850.036	29.741
850.058	29.745
850.080	29.773
850.102	29.809
850.125	29.768
850.147	29.722
850.169	29.741
850.191	29.786
850.214	29.745
850.236	29.773
850.258	29.736
850.280	29.717
850.302	29.754
850.325	29.680
850.347	29.708
850.369	29.759
850.391	29.759
850.414	29.689
850.436	29.745
850.458	29.791
850.480	29.823
850.502	29.708
850.524	29.754
850.547	29.791
850.569	29.805
850.591	29.750
850.613	29.731
850.635	29.708
850.658	29.750
850.680	29.800
850.702	29.814
850.724	29.868
850.746	29.832
850.768	29.764
850.791	29.731
850.813	29.694
850.835	29.773
850.857	29.786
850.879	29.845
850.901	29.791
850.923	29.759
850.945	29.731
850.968	29.818
850.990	29.736
851.012	29.836
851.034	29.680
851.056	29.764
851.078	29.805
851.100	29.768
851.122	29.814
851.144	29.795
851.167	29.786
851.189	29.754
851.211	29.764
851.233	29.703
851.255	29.689
851.277	29.764
851.299	29.818
851.321	29.773
851.343	29.786
851.365	29.800
851.387	29.745
851.409	29.708
851.431	29.768
851.453	29.685
851.476	29.666
851.498	29.699
851.520	29.773
851.542	29.754
851.564	29.741
851.586	29.750
851.608	29.731
851.630	29.782
851.652	29.827
851.674	29.759
851.696	29.773
851.718	29.768
851.740	29.722
851.762	29.689
851.784	29.717
851.806	29.777
851.828	29.727
851.850	29.689
851.872	29.741
851.894	29.754
851.916	29.754
851.938	29.850
851.960	29.759
851.982	29.731
852.004	29.722
852.026	29.791
852.048	29.717
852.070	29.754
852.092	29.786
852.114	29.800
852.135	29.800
852.157	29.671
852.179	29.722
852.201	29.805
852.223	29.836
852.245	29.795
852.267	29.713
852.289	29.823
852.311	29.708
852.333	29.786
852.355	29.841
852.377	29.782
852.399	29.773
852.421	29.800
852.442	29.754
852.464	29.750
852.486	29.759
852.508	29.805
852.530	29.773
852.552	29.827
852.574	29.759
852.596	29.768
852.618	29.727
852.639	29.731
852.661	29.782
852.683	29.777
852.705	29.777
852.727	29.722
852.749	29.708
852.771	29.727
852.792	29.768
852.814	29.814
852.836	29.768
852.858	29.814
852.880	29.782
852.902	29.713
852.924	29.722
852.945	29.708
852.967	29.795
852.989	29.782
853.011	29.773
853.033	29.791
853.055	29.699
853.076	29.791
853.098	29.786
853.120	29.750
853.142	29.703
853.164	29.731
853.185	29.782
853.207	29.722
853.229	29.773
853.251	29.713
853.272	29.768
853.294	29.745
853.316	29.754
853.338	29.731
853.360	29.759
853.381	29.741
853.403	29.699
853.425	29.764
853.447	29.795
853.468	29.750
853.490	29.818
853.512	29.805
853.534	29.745
853.555	29.786
853.577	29.717
853.599	29.791
853.620	29.823
853.642	29.786
853.664	29.768
853.686	29.805
853.707	29.759
853.729	29.680
853.751	29.777
853.773	29.832
853.794	29.745
853.816	29.795
853.838	29.717
853.859	29.800
853.881	29.814
853.903	30.128
853.924	31.089
853.946	32.122
853.968	33.069
853.989	33.558
854.011	33.247
854.033	32.440
854.054	31.319
854.076	30.306
854.098	29.934
854.119	29.786
854.141	29.782
854.163	29.818
854.184	29.805
854.206	29.814
854.228	29.754
854.249	29.745
854.271	29.809
854.292	29.795
854.314	29.868
854.336	29.791
854.357	29.764
854.379	29.818
854.401	29.750
854.422	29.741
854.444	29.731
854.465	29.827
854.487	29.814
854.509	29.786
854.530	29.773
854.552	29.841
854.573	29.809
854.595	29.809
854.617	29.791
854.638	29.841
854.660	29.768
854.681	29.745
854.703	29.736
854.724	29.689
854.746	29.661
854.767	29.759
854.789	29.750
854.811	29.717
854.832	29.741
854.854	29.764
854.875	29.745
854.897	29.727
854.918	29.773
854.940	29.731
854.961	29.805
854.983	29.827
855.004	29.731
855.026	29.768
855.047	29.786
855.069	29.827
855.090	29.694
855.112	29.773
855.133	29.717
855.155	29.741
855.176	29.731
855.198	29.694
855.219	29.759
855.241	29.791
855.262	29.759
855.284	29.736
855.305	29.800
855.327	29.800
855.348	29.827
855.370	29.759
855.391	29.832
855.413	29.754
855.434	29.685
855.456	29.717
855.477	29.795
855.498	29.805
855.520	29.759
855.541	29.773
855.563	29.800
855.584	29.764
855.606	29.773
855.627	29.818
855.648	29.863
855.670	29.809
855.691	29.818
855.713	29.754
855.734	29.814
855.755	29.708
855.777	29.694
855.798	29.694
855.820	29.786
855.841	29.805
855.862	29.832
855.884	29.713
855.905	29.731
855.927	29.713
855.948	29.689
855.969	29.750
855.991	29.661
856.012	29.764
856.033	29.764
856.055	29.754
856.076	29.703
856.098	29.764
856.119	29.736
856.140	29.731
856.162	29.717
856.183	29.805
856.204	29.773
856.226	29.666
856.247	29.764
856.268	29.750
856.290	29.731
856.311	29.722
856.332	29.731
856.354	29.823
856.375	29.689
856.396	29.791
856.417	29.754
856.439	29.791
856.460	29.782
856.481	29.768
856.503	29.694
856.524	29.768
856.545	29.731
856.566	29.832
856.588	29.741
856.609	29.750
856.630	29.754
856.652	29.786
856.673	29.759
856.694	29.836
856.715	29.764
856.737	29.727
856.758	29.782
856.779	29.777
856.800	29.741
856.822	29.768
856.843	29.759
856.864	29.805
856.885	29.786
856.907	29.791
856.928	29.703
856.949	29.773
856.970	29.759
856.991	29.736
857.013	29.750
857.034	29.722
857.055	29.818
857.076	29.754
857.097	29.754
857.119	29.722
857.140	29.727
857.161	29.727
857.182	29.722
857.203	29.773
857.225	29.694
857.246	29.805
857.267	29.836
857.288	29.768
857.309	29.717
857.330	29.736
857.352	29.805
857.373	29.750
857.394	29.836
857.415	29.754
857.436	29.827
857.457	29.741
857.479	29.809
857.500	29.886
857.521	29.777
857.542	29.832
857.563	29.777
857.584	29.805
857.605	29.795
857.626	29.786
857.648	29.699
857.669	29.773
857.690	29.699
857.711	29.777
857.732	29.722
857.753	29.809
857.774	29.823
857.795	29.741
857.816	29.768
857.837	29.773
857.859	29.722
857.880	29.759
857.901	29.745
857.922	29.722
857.943	29.708
857.964	29.685
857.985	29.777
858.006	29.805
858.027	29.722
858.048	29.777
858.069	29.736
858.090	29.708
858.111	29.722
858.132	29.814
858.153	29.791
858.174	29.805
858.195	29.805
858.216	29.809
858.237	29.703
858.258	29.868
858.279	29.809
858.300	29.741
858.321	29.699
858.342	29.773
858.363	29.713
858.384	29.717
858.406	29.727
858.426	29.727
858.447	29.722
858.468	29.713
858.489	29.708
858.510	29.768
858.531	29.703
858.552	29.713
858.573	29.782
858.594	29.722
858.615	29.750
858.636	29.854
858.657	29.754
858.678	29.754
858.699	29.722
858.720	29.736
858.741	29.773
858.762	29.809
858.783	29.814
858.804	29.731
858.825	29.754
858.846	29.773
858.867	29.722
858.888	29.809
858.908	29.832
858.929	29.699
858.950	29.759
858.971	29.773
