Wavelength (nm)	Rel. spec. intensity (dB)
843.999	29.836
844.022	29.832
844.045	29.863
844.069	29.886
844.092	29.859
844.115	29.809
844.138	29.886
844.161	29.899
844.184	29.764
844.207	29.814
844.230	29.814
844.253	29.868
844.276	29.859
844.300	29.872
844.323	29.814
844.346	29.805
844.369	29.827
844.392	29.859
844.415	29.841
844.438	29.881
844.461	29.841
844.484	29.881
844.507	29.782
844.530	29.886
844.553	29.818
844.576	29.809
844.599	29.791
844.622	29.800
844.645	29.841
844.668	29.894
844.692	29.814
844.715	29.795
844.738	29.841
844.761	29.841
844.784	29.836
844.807	29.850
844.830	29.912
844.853	29.881
844.876	29.881
844.899	29.768
844.922	29.768
844.945	29.809
844.968	29.850
844.991	29.832
845.014	29.845
845.037	29.841
845.060	29.841
845.083	29.823
845.105	29.850
845.128	29.814
845.151	29.827
845.174	29.854
845.197	29.827
845.220	29.818
845.243	29.832
845.266	29.841
845.289	29.773
845.312	29.823
845.335	29.791
845.358	29.795
845.381	29.795
845.404	29.841
845.427	29.750
845.450	29.894
845.473	29.800
845.496	29.786
845.518	29.823
845.541	29.850
845.564	29.786
845.587	29.818
845.610	29.827
845.633	29.823
845.656	29.823
845.679	29.814
845.702	29.818
845.724	29.886
845.747	29.741
845.770	29.850
845.793	29.786
845.816	29.823
845.839	29.877
845.862	29.841
845.885	29.850
845.907	29.773
845.930	29.764
845.953	29.836
845.976	29.872
845.999	29.934
846.022	29.930
846.045	29.845
846.067	29.818
846.090	29.854
846.113	29.850
846.136	29.881
846.159	29.854
846.182	29.809
846.204	29.854
846.227	29.859
846.250	29.868
846.273	29.800
846.296	29.782
846.318	29.872
846.341	29.818
846.364	29.736
846.387	29.795
846.410	29.845
846.432	29.863
846.455	29.809
846.478	29.814
846.501	29.845
846.523	29.800
846.546	29.773
846.569	29.782
846.592	29.890
846.614	29.809
846.637	29.782
846.660	29.850
846.683	29.836
846.705	29.845
846.728	29.845
846.751	29.859
846.774	29.908
846.796	29.809
846.819	29.791
846.842	29.859
846.865	29.863
846.887	29.868
846.910	29.823
846.933	29.836
846.955	29.921
846.978	29.854
847.001	29.832
847.023	29.823
847.046	29.886
847.069	29.791
847.092	29.863
847.114	29.832
847.137	29.836
847.160	29.823
847.182	29.886
847.205	29.768
847.228	29.863
847.250	29.877
847.273	29.881
847.296	29.814
847.318	29.836
847.341	29.832
847.364	29.881
847.386	29.827
847.409	29.845
847.432	29.845
847.454	29.859
847.477	29.850
847.499	29.827
847.522	29.850
847.545	29.877
847.567	29.845
847.590	29.818
847.613	29.782
847.635	29.841
847.658	29.845
847.680	29.800
847.703	29.773
847.726	29.894
847.748	29.863
847.771	29.814
847.793	29.877
847.816	29.759
847.839	29.818
847.861	29.832
847.884	29.795
847.906	29.836
847.929	29.818
847.951	29.754
847.974	29.850
847.996	29.832
848.019	29.868
848.042	29.827
848.064	29.818
848.087	29.863
848.109	29.841
848.132	29.841
848.154	29.827
848.177	29.863
848.199	29.850
848.222	29.836
848.244	29.845
848.267	29.791
848.289	29.845
848.312	29.872
848.334	29.823
848.357	29.791
848.379	29.814
848.402	29.818
848.424	29.777
848.447	29.782
848.469	29.872
848.492	29.930
848.514	29.868
848.537	29.903
848.559	29.863
848.582	29.872
848.604	29.912
848.627	29.845
848.649	29.773
848.672	29.782
848.694	29.917
848.717	29.823
848.739	29.881
848.761	29.827
848.784	29.841
848.806	29.908
848.829	30.158
848.851	31.290
848.874	32.333
848.896	33.504
848.919	35.005
848.941	35.971
848.963	35.790
848.986	36.099
849.008	35.786
849.031	34.047
849.053	32.653
849.075	31.031
849.098	30.245
849.120	30.026
849.143	29.805
849.165	29.841
849.187	29.956
849.210	29.881
849.232	29.899
849.254	29.886
849.277	29.877
849.299	29.863
849.322	29.836
849.344	29.814
849.366	29.814
849.389	30.580
849.411	32.133
849.433	32.849
849.456	33.957
849.478	35.280
849.500	35.815
849.523	34.153
849.545	32.603
849.567	30.645
849.590	30.090
849.612	29.943
849.634	29.926
849.657	29.921
849.679	29.841
849.701	29.899
849.724	29.827
849.746	29.809
849.768	29.832
