Wavelength (nm)	Rel. spec. intensity (dB)
845.541	29.750
845.564	29.854
845.587	29.795
845.610	29.643
845.633	29.773
845.656	29.754
845.679	29.773
845.702	29.708
845.724	29.727
845.747	29.768
845.770	29.703
845.793	29.745
845.816	29.713
845.839	29.773
845.862	29.694
845.885	29.699
845.907	29.680
845.930	29.727
845.953	29.741
845.976	29.750
845.999	29.727
846.022	29.777
846.045	29.741
846.067	29.773
846.090	29.727
846.113	29.652
846.136	29.791
846.159	29.736
846.182	29.671
846.204	29.759
846.227	29.773
846.250	29.713
846.273	29.786
846.296	29.741
846.318	29.745
846.341	29.818
846.364	29.741
846.387	29.786
846.410	29.750
846.432	29.722
846.455	29.768
846.478	29.764
846.501	29.713
846.523	29.657
846.546	29.750
846.569	29.777
846.592	29.685
846.614	29.699
846.637	29.736
846.660	29.657
846.683	29.680
846.705	29.795
846.728	29.736
846.751	29.800
846.774	29.708
846.796	29.745
846.819	29.717
846.842	29.731
846.865	29.795
846.887	29.773
846.910	29.741
846.933	29.773
846.955	29.754
846.978	29.800
847.001	29.736
847.023	29.773
847.046	29.708
847.069	29.754
847.092	29.717
847.114	29.727
847.137	29.754
847.160	29.791
847.182	29.777
847.205	29.713
847.228	29.708
847.250	29.782
847.273	29.694
847.296	29.731
847.318	29.750
847.341	29.805
847.364	29.703
847.386	29.754
847.409	29.717
847.432	29.768
847.454	29.759
847.477	29.809
847.499	29.754
847.522	29.703
847.545	29.754
847.567	29.689
847.590	29.717
847.613	29.741
847.635	29.703
847.658	29.754
847.680	29.661
847.703	29.764
847.726	29.759
847.748	29.736
847.771	29.754
847.793	29.800
847.816	29.694
847.839	29.800
847.861	29.699
847.884	29.818
847.906	29.722
847.929	29.795
847.951	29.736
847.974	29.713
847.996	29.727
848.019	29.722
848.042	29.666
848.064	29.713
848.087	29.680
848.109	29.703
848.132	29.764
848.154	29.699
848.177	29.786
848.199	29.814
848.222	29.764
848.244	29.754
848.267	29.722
848.289	29.708
848.312	29.791
848.334	29.754
848.357	29.736
848.379	29.741
848.402	29.759
848.424	29.703
848.447	29.708
848.469	29.699
848.492	29.764
848.514	29.717
848.537	29.699
848.559	29.777
848.582	29.713
848.604	29.759
848.627	29.731
848.649	29.786
848.672	29.731
848.694	29.722
848.717	29.666
848.739	29.795
848.761	29.694
848.784	29.717
848.806	29.708
848.829	29.773
848.851	29.786
848.874	29.754
848.896	29.699
848.919	29.773
848.941	29.764
848.963	29.777
848.986	29.717
849.008	29.680
849.031	29.675
849.053	29.805
849.075	29.764
849.098	29.814
849.120	29.717
849.143	29.708
849.165	29.731
849.187	29.736
849.210	29.736
849.232	29.782
849.254	29.786
849.277	29.754
849.299	29.741
849.322	29.680
849.344	29.754
849.366	29.795
849.389	29.708
849.411	29.689
849.433	29.777
849.456	29.741
849.478	29.832
849.500	29.768
849.523	29.745
849.545	29.731
849.567	29.782
849.590	29.657
849.612	29.708
849.634	29.633
849.657	29.741
849.679	29.841
849.701	29.759
849.724	29.750
849.746	29.786
849.768	29.845
849.791	29.731
849.813	29.708
849.835	29.768
849.857	29.708
849.880	29.791
849.902	29.750
849.924	29.745
849.946	29.750
849.969	29.666
849.991	29.777
850.013	29.768
850.036	29.845
850.058	29.800
850.080	29.768
850.102	29.791
850.125	29.685
850.147	29.717
850.169	29.694
850.191	29.736
850.214	29.713
850.236	29.671
850.258	29.685
850.280	29.689
850.302	29.731
850.325	29.795
850.347	29.759
850.369	29.795
850.391	29.685
850.414	29.791
850.436	30.704
850.458	31.889
850.480	33.049
850.502	34.109
850.524	34.379
850.547	33.199
850.569	32.245
850.591	31.086
850.613	30.257
850.635	29.912
850.658	29.841
850.680	29.814
850.702	29.759
850.724	29.689
850.746	29.722
850.768	29.731
850.791	29.754
850.813	29.754
850.835	29.741
