Wavelength (nm)	Rel. spec. intensity (dB)
847.839	29.777
847.861	29.745
847.884	29.727
847.906	29.795
847.929	29.782
847.951	29.722
847.974	29.759
847.996	29.782
848.019	29.791
848.042	29.863
848.064	29.777
848.087	29.741
848.109	29.754
848.132	29.777
848.154	29.795
848.177	29.827
848.199	29.741
848.222	29.750
848.244	29.823
848.267	29.754
848.289	29.750
848.312	29.731
848.334	29.745
848.357	29.741
848.379	29.773
848.402	29.708
848.424	29.741
848.447	29.736
848.469	29.754
848.492	29.703
848.514	29.777
848.537	29.800
848.559	29.782
848.582	29.759
848.604	29.777
848.627	29.786
848.649	29.795
848.672	29.722
848.694	29.745
848.717	29.699
848.739	29.717
848.761	29.736
848.784	29.703
848.806	29.764
848.829	29.782
848.851	29.703
848.874	29.786
848.896	29.850
848.919	29.805
848.941	29.791
848.963	29.768
848.986	29.782
849.008	29.809
849.031	29.717
849.053	29.777
849.075	29.791
849.098	29.703
849.120	29.689
849.143	29.777
849.165	29.745
849.187	29.754
849.210	29.805
849.232	29.754
849.254	29.717
849.277	29.795
849.299	29.745
849.322	29.814
849.344	29.827
849.366	29.759
849.389	29.754
849.411	29.731
849.433	29.795
849.456	29.814
849.478	29.741
849.500	29.703
849.523	29.777
849.545	29.768
849.567	29.836
849.590	29.782
849.612	29.823
849.634	29.805
849.657	29.791
849.679	29.745
849.701	29.731
849.724	29.768
849.746	29.777
849.768	29.750
849.791	29.754
849.813	29.805
849.835	29.795
849.857	29.768
849.880	29.791
849.902	29.795
849.924	29.689
849.946	29.717
849.969	29.768
849.991	29.782
850.013	29.750
850.036	29.782
850.058	29.791
850.080	29.823
850.102	29.764
850.125	29.754
850.147	29.736
850.169	29.773
850.191	29.832
850.214	29.814
850.236	29.773
850.258	29.741
850.280	29.638
850.302	29.782
850.325	29.736
850.347	29.764
850.369	29.736
850.391	29.886
850.414	29.777
850.436	29.689
850.458	29.768
850.480	29.809
850.502	29.736
850.524	29.777
850.547	29.782
850.569	29.777
850.591	29.745
850.613	29.795
850.635	29.764
850.658	29.750
850.680	29.759
850.702	29.717
850.724	29.768
850.746	29.745
850.768	29.791
850.791	29.800
850.813	29.795
850.835	29.764
850.857	29.773
850.879	29.791
850.901	29.745
850.923	29.809
850.945	29.754
850.968	29.805
850.990	29.782
851.012	29.750
851.034	29.814
851.056	29.800
851.078	29.717
851.100	29.786
851.122	29.782
851.144	29.768
851.167	29.805
851.189	29.750
851.211	29.754
851.233	29.759
851.255	29.745
851.277	29.805
