Current (mA)	Voltage (V)	Power (mW)
0.00000	0.11110	0.00268
0.05000	0.78323	0.00207
0.10000	1.39747	0.00178
0.15000	1.43240	0.00237
0.20000	1.45972	0.00178
0.25000	1.48144	0.00185
0.30000	1.50091	0.00162
0.35000	1.51798	0.00181
0.40000	1.53305	0.00178
0.45000	1.54723	0.00159
0.50000	1.56007	0.00218
0.55000	1.57240	0.00166
0.60000	1.58378	0.00197
0.65000	1.59480	0.00185
0.70000	1.60537	0.00204
0.75000	1.61519	0.00241
0.80000	1.62478	0.00275
0.85000	1.63377	0.00256
0.90000	1.64278	0.00278
0.95000	1.65111	0.00372
1.00000	1.65932	0.00552
1.05000	1.66711	0.01101
1.10000	1.67394	0.02322
1.15000	1.68065	0.03806
1.20000	1.68686	0.05384
1.25000	1.69337	0.06939
1.30000	1.69960	0.08539
1.35000	1.70598	0.10150
1.40000	1.71227	0.11751
1.45000	1.71824	0.13267
1.50000	1.72443	0.14763
1.55000	1.73031	0.16229
1.60000	1.73642	0.17736
1.65000	1.74229	0.19145
1.70000	1.74825	0.20531
1.75000	1.75422	0.22012
1.80000	1.75984	0.23320
1.85000	1.76573	0.24726
1.90000	1.77131	0.25915
1.95000	1.77707	0.27268
2.00000	1.78253	0.28516
2.05000	1.78813	0.29784
2.10000	1.79368	0.30988
2.15000	1.79910	0.32143
2.20000	1.80460	0.33324
2.25000	1.80982	0.34453
2.30000	1.81520	0.35496
2.35000	1.82044	0.36547
2.40000	1.82566	0.37597
2.45000	1.83095	0.38587
2.50000	1.83604	0.39470
2.55000	1.84115	0.40464
2.60000	1.84611	0.41339
2.65000	1.85115	0.42176
2.70000	1.85617	0.43036
2.75000	1.86096	0.43787
2.80000	1.86595	0.44643
2.85000	1.87068	0.45301
2.90000	1.87556	0.46000
2.95000	1.88011	0.46618
3.00000	1.88493	0.47265
3.05000	1.88971	0.47833
3.10000	1.89412	0.48386
3.15000	1.89882	0.48864
3.20000	1.90315	0.49384
3.25000	1.90780	0.49829
3.30000	1.91210	0.50177
3.35000	1.91652	0.50576
3.40000	1.92101	0.50946
3.45000	1.92528	0.51238
3.50000	1.92965	0.51499
3.55000	1.93373	0.51709
3.60000	1.93794	0.51907
3.65000	1.94204	0.52071
3.70000	1.94628	0.52184
3.75000	1.95043	0.52292
3.80000	1.95441	0.52255
3.85000	1.95849	0.52363
3.90000	1.96234	0.52356
3.95000	1.96645	0.52240
4.00000	1.97026	0.52158
4.05000	1.97419	0.52031
4.10000	1.97809	0.51862
4.15000	1.98189	0.51701
4.20000	1.98573	0.51421
4.25000	1.98940	0.51179
4.30000	1.99317	0.50879
4.35000	1.99671	0.50576
4.40000	2.00049	0.50180
4.45000	2.00415	0.49822
4.50000	2.00762	0.49376
4.55000	2.01122	0.48853
4.60000	2.01472	0.48348
4.65000	2.01830	0.47766
4.70000	2.02166	0.47301
4.75000	2.02519	0.46632
4.80000	2.02874	0.46060
4.85000	2.03197	0.45332
4.90000	2.03537	0.44647
4.95000	2.03861	0.43963
5.00000	2.04195	0.43171
5.05000	2.04518	0.42349
5.10000	2.04845	0.41620
5.15000	2.05179	0.40714
5.20000	2.05485	0.39848
5.25000	2.05804	0.38890
5.30000	2.06120	0.37975
5.35000	2.06434	0.37063
5.40000	2.06749	0.36015
5.45000	2.07051	0.35009
5.50000	2.07232	0.34846
5.55000	2.07105	0.34792
5.60000	2.07100	0.34775
5.65000	2.07117	0.34808
5.70000	2.07111	0.34729
5.75000	2.07100	0.34800
5.80000	2.07108	0.34760
5.85000	2.07110	0.34775
5.90000	2.07110	0.34782
5.95000	2.07104	0.34792
6.00000	2.07108	0.34819
6.05000	2.07112	0.34744
6.10000	2.07101	0.34733
6.15000	2.07112	0.34737
6.20000	2.07103	0.34775
6.25000	2.07113	0.34704
6.30000	2.07108	0.34681
6.35000	2.07108	0.34737
6.40000	2.07112	0.34733
6.45000	2.07108	0.34748
6.50000	2.07105	0.34740
6.55000	2.07105	0.34708
6.60000	2.07106	0.34721
6.65000	2.07111	0.34744
6.70000	2.07105	0.34767
6.75000	2.07108	0.34737
6.80000	2.07096	0.34796
6.85000	2.07110	0.34756
6.90000	2.07116	0.34715
6.95000	2.07103	0.34767
7.00000	2.07104	0.34756
7.05000	2.07108	0.34775
7.10000	2.07106	0.34796
7.15000	2.07105	0.34740
7.20000	2.07103	0.34771
7.25000	2.07112	0.34775
7.30000	2.07109	0.34779
7.35000	2.07102	0.34692
7.40000	2.07108	0.34721
7.45000	2.07109	0.34779
7.50000	2.07108	0.34790
7.55000	2.07102	0.34792
7.60000	2.07100	0.34744
7.65000	2.07102	0.34756
7.70000	2.07104	0.34775
7.75000	2.07102	0.34760
7.80000	2.07108	0.34740
7.85000	2.07104	0.34796
7.90000	2.07106	0.34790
7.95000	2.07108	0.34775
8.00000	2.07100	0.34708
8.05000	2.07096	0.34756
8.10000	2.07104	0.34756
8.15000	2.07101	0.34796
8.20000	2.07108	0.34685
8.25000	2.07103	0.34740
8.30000	2.07108	0.34771
8.35000	2.07099	0.34744
8.40000	2.07101	0.34719
8.45000	2.07108	0.34779
8.50000	2.07111	0.34786
8.55000	2.07107	0.34771
8.60000	2.07101	0.34708
8.65000	2.07108	0.34729
8.70000	2.07108	0.34763
8.75000	2.07108	0.34729
8.80000	2.07105	0.34740
8.85000	2.07102	0.34669
8.90000	2.07100	0.34696
8.95000	2.07118	0.34729
9.00000	2.07101	0.34681
9.05000	2.07103	0.34733
9.10000	2.07098	0.34748
9.15000	2.07116	0.34719
9.20000	2.07103	0.34737
9.25000	2.07108	0.34677
9.30000	2.07107	0.34700
9.35000	2.07110	0.34744
9.40000	2.07108	0.34767
9.45000	2.07103	0.34744
9.50000	2.07098	0.34823
9.55000	2.07112	0.34779
9.60000	2.07104	0.34779
9.65000	2.07098	0.34748
9.70000	2.07109	0.34725
9.75000	2.07105	0.34708
9.80000	2.07103	0.34708
9.85000	2.07113	0.34677
9.90000	2.07103	0.34666
9.95000	2.07108	0.34669
10.00000	2.07110	0.34740
10.05000	2.07102	0.34790
10.10000	2.07116	0.34708
10.15000	2.07100	0.34804
10.20000	2.07107	0.34815
10.25000	2.07103	0.34815
10.30000	2.07102	0.34704
10.35000	2.07095	0.34744
10.40000	2.07103	0.34719
10.45000	2.07108	0.34721
10.50000	2.07106	0.34729
10.55000	2.07102	0.34721
10.60000	2.07105	0.34737
