Current (mA)	Voltage (V)	Power (mW)
10.55000	2.43832	0.54125
10.60000	2.43994	0.51781
10.65000	2.44164	0.49295
10.70000	2.44326	0.46760
10.75000	2.44488	0.44166
10.80000	2.44646	0.41519
10.85000	2.44806	0.38921
10.90000	2.44970	0.36262
10.95000	2.45119	0.33661
11.00000	2.45276	0.30898
11.05000	2.45418	0.28191
11.10000	2.45574	0.25354
11.15000	2.45725	0.22473
11.20000	2.45872	0.19609
11.25000	2.46022	0.16980
11.30000	2.46194	0.14610
11.35000	2.46365	0.12465
11.40000	2.46547	0.10401
11.45000	2.46728	0.08338
11.50000	2.46921	0.06300
11.55000	2.47095	0.04461
11.60000	2.47301	0.02845
11.65000	2.47508	0.01963
11.70000	2.47754	0.01556
11.75000	2.47995	0.01368
11.80000	2.48245	0.01258
11.85000	2.48490	0.01212
11.90000	2.48735	0.01164
11.95000	2.48989	0.01078
12.00000	2.49236	0.01034
12.05000	2.49488	0.00985
12.10000	2.49743	0.01018
12.15000	2.49988	0.00955
12.20000	2.50203	0.00982
12.25000	2.50090	0.00944
12.30000	2.50086	0.01018
12.35000	2.50093	0.00999
12.40000	2.50087	0.01011
12.45000	2.50087	0.00955
12.50000	2.50086	0.01015
12.55000	2.50099	0.00974
12.60000	2.50088	0.00978
12.65000	2.50085	0.00978
12.70000	2.50085	0.00974
12.75000	2.50095	0.00996
12.80000	2.50085	0.00985
12.85000	2.50085	0.00978
12.90000	2.50082	0.00996
12.95000	2.50084	0.00982
13.00000	2.50085	0.00992
13.05000	2.50082	0.00932
13.10000	2.50087	0.00982
13.15000	2.50085	0.00989
13.20000	2.50086	0.00963
13.25000	2.50090	0.00978
13.30000	2.50094	0.00992
13.35000	2.50084	0.01011
13.40000	2.50085	0.00982
13.45000	2.50090	0.00978
13.50000	2.50088	0.00959
13.55000	2.50086	0.01018
13.60000	2.50095	0.00992
13.65000	2.50091	0.00985
13.70000	2.50087	0.00970
13.75000	2.50087	0.00963
13.80000	2.50098	0.00978
13.85000	2.50088	0.00992
13.90000	2.50087	0.00959
13.95000	2.50088	0.00985
14.00000	2.50093	0.01007
14.05000	2.50080	0.00996
14.10000	2.50094	0.00963
14.15000	2.50082	0.00982
14.20000	2.50086	0.00985
14.25000	2.50085	0.00982
14.30000	2.50084	0.00985
14.35000	2.50085	0.00963
14.40000	2.50084	0.00982
14.45000	2.50088	0.00966
14.50000	2.50089	0.00999
14.55000	2.50083	0.00940
14.60000	2.50090	0.00982
14.65000	2.50086	0.00963
14.70000	2.50086	0.00989
14.75000	2.50078	0.00921
14.80000	2.50089	0.01011
