Wavelength (nm)	Rel. spec. intensity (dB)
842.815	29.736
842.839	29.736
842.862	29.759
842.885	29.754
842.909	29.759
842.932	29.722
842.955	29.722
842.978	29.754
843.002	29.713
843.025	29.722
843.048	29.782
843.071	29.689
843.095	29.754
843.118	29.754
843.141	29.750
843.164	29.689
843.188	29.764
843.211	29.703
843.234	29.666
843.257	29.694
843.281	29.713
843.304	29.736
843.327	29.736
843.350	29.759
843.374	29.736
843.397	29.764
843.420	29.777
843.443	29.689
843.466	29.809
843.490	29.759
843.513	29.773
843.536	29.699
843.559	29.791
843.582	29.795
843.606	29.777
843.629	29.699
843.652	29.614
843.675	29.703
843.698	29.764
843.721	29.731
843.745	29.708
843.768	29.694
843.791	29.680
843.814	29.717
843.837	29.713
843.860	29.750
843.883	29.745
843.907	29.745
843.930	29.647
843.953	29.699
843.976	29.717
843.999	29.717
844.022	29.708
844.045	29.699
844.069	29.713
844.092	29.614
844.115	29.666
844.138	29.750
844.161	29.713
844.184	29.754
844.207	29.717
844.230	29.741
844.253	29.675
844.276	29.703
844.300	29.624
844.323	29.731
844.346	29.699
844.369	29.643
844.392	29.703
844.415	29.680
844.438	29.666
844.461	29.722
844.484	29.713
844.507	29.731
844.530	29.614
844.553	29.685
844.576	29.708
844.599	29.731
844.622	29.699
844.645	29.671
844.668	29.713
844.692	29.741
844.715	29.736
844.738	29.754
844.761	29.699
844.784	29.722
844.807	29.717
844.830	29.717
844.853	29.795
844.876	29.754
844.899	29.759
844.922	29.680
844.945	29.694
844.968	29.685
844.991	29.722
845.014	29.750
845.037	29.717
845.060	29.768
845.083	29.680
845.105	29.703
845.128	29.699
845.151	29.727
845.174	29.736
845.197	29.731
845.220	29.786
845.243	29.745
845.266	29.624
845.289	29.694
845.312	29.722
845.335	29.680
845.358	29.652
845.381	29.722
845.404	29.786
845.427	29.666
845.450	29.619
845.473	29.713
845.496	29.754
845.518	29.703
845.541	29.759
845.564	29.666
845.587	29.722
845.610	29.805
845.633	29.708
845.656	29.703
845.679	29.713
845.702	29.741
845.724	29.754
845.747	29.685
845.770	29.713
845.793	29.699
845.816	29.703
845.839	29.722
845.862	29.699
845.885	29.685
845.907	29.703
845.930	29.661
845.953	29.773
845.976	29.717
845.999	29.717
846.022	29.722
846.045	29.685
846.067	29.777
846.090	29.643
846.113	29.652
846.136	29.671
846.159	29.708
846.182	29.685
846.204	29.805
846.227	29.727
846.250	29.759
846.273	29.731
846.296	29.727
846.318	29.703
846.341	29.736
846.364	29.722
846.387	29.750
846.410	29.764
846.432	29.736
846.455	29.750
846.478	29.699
846.501	29.764
846.523	29.786
846.546	29.750
846.569	29.657
846.592	29.685
846.614	29.694
846.637	29.717
846.660	29.777
846.683	29.689
846.705	29.736
846.728	29.694
846.751	29.717
846.774	29.768
846.796	29.741
846.819	29.727
846.842	29.722
846.865	29.750
846.887	29.703
846.910	29.823
846.933	29.731
846.955	29.750
846.978	29.713
847.001	29.791
847.023	29.736
847.046	29.745
847.069	29.643
847.092	29.741
847.114	29.703
847.137	29.713
847.160	29.731
847.182	29.764
847.205	29.657
847.228	29.628
847.250	29.713
847.273	29.680
847.296	29.754
847.318	29.713
847.341	29.708
847.364	29.768
847.386	29.722
847.409	29.638
847.432	29.652
847.454	29.643
847.477	29.731
847.499	29.699
847.522	29.689
847.545	29.671
847.567	29.750
847.590	29.689
847.613	29.713
847.635	29.768
847.658	29.754
847.680	29.921
847.703	31.504
847.726	33.306
847.748	34.852
847.771	36.299
847.793	37.655
847.816	37.640
847.839	36.218
847.861	34.893
847.884	33.711
847.906	32.507
847.929	31.038
847.951	30.043
847.974	29.823
847.996	29.814
848.019	29.877
848.042	29.791
848.064	29.731
848.087	29.713
848.109	29.750
848.132	29.791
848.154	29.773
848.177	29.703
848.199	29.628
848.222	29.694
848.244	29.768
848.267	29.713
848.289	29.722
848.312	29.754
848.334	29.661
848.357	29.708
848.379	29.699
848.402	29.731
848.424	29.722
848.447	29.652
848.469	29.722
848.492	29.722
848.514	29.736
848.537	29.764
848.559	29.675
848.582	29.777
848.604	29.717
848.627	29.713
848.649	29.750
848.672	29.717
848.694	29.805
848.717	29.754
848.739	29.727
848.761	29.722
848.784	29.713
848.806	29.745
848.829	29.699
848.851	29.754
848.874	29.759
848.896	29.818
848.919	29.782
848.941	29.727
848.963	29.786
848.986	29.708
849.008	29.727
849.031	29.750
849.053	29.685
849.075	29.685
849.098	29.703
849.120	29.750
849.143	29.731
849.165	29.689
849.187	29.764
849.210	29.680
849.232	29.713
849.254	29.736
849.277	29.736
849.299	29.685
849.322	29.731
849.344	29.745
849.366	29.759
849.389	29.722
849.411	29.736
849.433	29.699
849.456	29.805
849.478	29.782
849.500	29.717
849.523	29.759
849.545	29.708
849.567	29.754
849.590	29.768
849.612	29.736
849.634	29.708
849.657	29.699
849.679	29.731
849.701	29.782
849.724	29.717
849.746	29.741
849.768	29.759
849.791	29.703
849.813	29.685
849.835	29.671
849.857	29.685
849.880	29.727
849.902	29.759
849.924	29.708
849.946	29.685
849.969	29.699
849.991	29.703
850.013	29.694
850.036	29.754
850.058	29.666
850.080	29.809
850.102	29.731
850.125	29.777
850.147	29.773
850.169	29.666
850.191	29.708
850.214	29.759
850.236	29.722
850.258	29.791
850.280	29.745
850.302	29.703
850.325	29.647
850.347	29.782
850.369	29.713
850.391	29.685
850.414	29.689
850.436	29.685
850.458	29.782
850.480	29.731
850.502	29.703
850.524	29.759
850.547	29.727
850.569	29.675
850.591	29.750
850.613	29.699
850.635	29.685
850.658	29.741
850.680	29.708
850.702	29.671
850.724	29.722
850.746	29.699
850.768	29.685
850.791	29.745
850.813	29.699
850.835	29.754
850.857	29.777
850.879	29.685
850.901	29.652
850.923	29.750
850.945	29.708
850.968	29.722
850.990	29.652
851.012	29.731
851.034	29.685
851.056	29.777
851.078	29.768
851.100	29.699
851.122	29.689
851.144	29.731
851.167	29.722
851.189	29.689
851.211	29.717
851.233	29.795
851.255	29.628
851.277	29.727
851.299	29.741
851.321	29.759
851.343	29.750
851.365	29.713
851.387	29.741
851.409	29.764
851.431	29.717
851.453	29.745
851.476	29.643
851.498	29.671
851.520	29.685
851.542	29.745
851.564	29.661
851.586	29.768
851.608	29.703
851.630	29.773
851.652	29.736
851.674	29.745
851.696	29.713
851.718	29.768
851.740	29.750
851.762	29.717
851.784	29.736
851.806	29.736
851.828	29.759
851.850	29.768
851.872	29.773
851.894	29.791
851.916	29.689
851.938	29.727
851.960	29.699
851.982	29.680
852.004	29.699
852.026	29.703
852.048	29.685
852.070	29.782
852.092	29.731
852.114	29.754
852.135	29.703
852.157	29.773
852.179	29.727
852.201	29.666
852.223	29.685
852.245	29.717
852.267	29.736
852.289	29.675
852.311	29.717
852.333	29.782
852.355	29.717
852.377	29.736
852.399	29.768
852.421	29.727
852.442	29.845
852.464	29.773
852.486	29.689
852.508	29.777
852.530	29.759
852.552	29.727
852.574	29.791
852.596	29.759
852.618	29.619
852.639	29.759
852.661	29.657
852.683	29.717
852.705	29.685
852.727	29.694
852.749	29.768
852.771	29.786
852.792	29.754
