Wavelength (nm)	Rel. spec. intensity (dB)
848.672	29.731
848.694	29.685
848.717	29.708
848.739	29.777
848.761	29.805
848.784	29.717
848.806	29.694
848.829	29.759
848.851	29.754
848.874	29.689
848.896	29.675
848.919	29.722
848.941	29.754
848.963	29.741
848.986	29.722
849.008	29.713
849.031	29.768
849.053	29.759
849.075	29.736
849.098	29.773
849.120	29.750
849.143	29.777
849.165	29.795
849.187	29.791
849.210	29.764
849.232	29.713
849.254	29.818
849.277	29.754
849.299	29.750
849.322	29.754
849.344	29.768
849.366	29.800
849.389	29.782
849.411	29.741
849.433	29.745
849.456	29.791
849.478	29.800
849.500	29.703
849.523	29.791
849.545	29.689
849.567	29.727
849.590	29.764
849.612	29.786
849.634	29.685
849.657	29.717
849.679	29.750
849.701	29.717
849.724	29.703
849.746	29.805
849.768	29.745
849.791	29.791
849.813	29.741
849.835	29.745
849.857	29.764
849.880	29.782
849.902	29.759
849.924	29.727
849.946	29.786
849.969	29.754
849.991	29.786
850.013	29.713
850.036	29.782
850.058	29.754
850.080	29.745
850.102	29.745
850.125	29.764
850.147	29.694
850.169	29.741
850.191	29.768
850.214	29.750
850.236	29.680
850.258	29.777
850.280	29.800
850.302	29.791
850.325	29.805
850.347	29.809
850.369	29.694
850.391	29.628
850.414	29.675
850.436	29.759
850.458	29.713
850.480	29.759
850.502	29.782
850.524	29.750
850.547	29.754
850.569	29.754
850.591	29.717
850.613	29.800
850.635	29.731
850.658	29.713
850.680	29.745
850.702	29.773
850.724	29.689
850.746	29.680
850.768	29.694
850.791	29.713
850.813	29.754
850.835	29.750
850.857	29.791
850.879	29.703
850.901	29.777
850.923	29.736
850.945	29.764
850.968	29.750
850.990	29.764
851.012	29.754
851.034	29.800
851.056	29.703
851.078	29.768
851.100	29.773
851.122	29.722
851.144	29.809
851.167	29.809
851.189	29.777
851.211	29.731
851.233	29.759
851.255	29.768
851.277	29.703
851.299	29.736
851.321	29.750
851.343	29.699
851.365	29.727
851.387	29.713
851.409	29.722
851.431	29.745
851.453	29.736
851.476	29.745
851.498	29.750
851.520	29.741
851.542	29.768
851.564	29.736
851.586	29.731
851.608	29.741
851.630	29.675
851.652	29.814
851.674	29.708
851.696	29.722
851.718	29.759
851.740	29.731
851.762	29.773
851.784	29.736
851.806	29.741
851.828	29.657
851.850	29.731
851.872	29.750
851.894	29.759
851.916	29.671
851.938	29.717
851.960	29.699
851.982	29.754
852.004	29.814
852.026	29.731
852.048	29.713
852.070	29.850
852.092	29.809
852.114	29.764
852.135	29.708
852.157	29.773
852.179	29.731
852.201	29.717
852.223	29.722
852.245	29.773
852.267	29.689
852.289	29.689
852.311	29.675
852.333	29.713
852.355	29.877
852.377	29.773
852.399	29.703
852.421	29.745
852.442	29.768
852.464	29.759
852.486	29.777
852.508	29.764
852.530	29.680
852.552	29.689
852.574	29.750
852.596	29.809
852.618	29.699
852.639	29.768
852.661	29.764
852.683	29.827
852.705	29.800
852.727	29.657
852.749	29.745
852.771	29.759
852.792	29.680
852.814	29.768
852.836	29.717
852.858	29.795
852.880	29.717
852.902	29.764
852.924	29.786
852.945	29.731
852.967	29.741
852.989	29.764
853.011	29.759
853.033	29.731
853.055	29.741
853.076	29.731
853.098	29.722
853.120	29.791
853.142	29.750
853.164	29.652
853.185	29.703
853.207	29.736
853.229	29.736
853.251	29.836
853.272	29.764
853.294	29.786
853.316	29.727
853.338	29.736
853.360	29.745
853.381	29.708
853.403	29.805
853.425	29.754
853.447	29.736
853.468	29.786
853.490	29.759
853.512	29.768
853.534	30.082
853.555	30.839
853.577	31.901
853.599	33.201
853.620	34.454
853.642	35.290
853.664	35.405
853.686	34.589
853.707	33.535
853.729	32.603
853.751	31.635
853.773	30.492
853.794	29.987
853.816	29.845
853.838	29.741
853.859	29.741
853.881	29.736
853.903	29.814
853.924	29.731
853.946	29.868
853.968	29.800
853.989	29.827
854.011	29.841
854.033	29.713
854.054	29.764
854.076	29.768
854.098	29.823
854.119	29.786
854.141	29.685
854.163	29.750
854.184	29.750
854.206	29.805
854.228	29.713
854.249	29.727
854.271	29.791
854.292	29.713
854.314	29.736
854.336	29.741
854.357	29.754
854.379	29.736
854.401	29.754
854.422	29.671
854.444	29.666
854.465	29.736
854.487	29.675
854.509	29.685
854.530	29.689
854.552	29.800
854.573	29.699
854.595	29.708
854.617	29.750
854.638	29.773
854.660	29.754
854.681	29.805
854.703	29.768
854.724	29.759
854.746	29.731
854.767	29.768
854.789	29.736
854.811	29.800
854.832	29.680
854.854	29.795
854.875	29.764
854.897	29.731
854.918	29.685
854.940	29.717
854.961	29.708
854.983	29.736
855.004	29.703
855.026	29.717
855.047	29.750
855.069	29.795
855.090	29.754
855.112	29.759
855.133	29.741
855.155	29.768
855.176	29.759
855.198	29.750
855.219	29.703
855.241	29.713
855.262	29.773
855.284	29.782
855.305	29.782
855.327	29.754
855.348	29.754
855.370	29.731
855.391	29.717
855.413	29.727
855.434	29.805
855.456	29.768
855.477	29.786
855.498	29.713
855.520	29.680
855.541	29.845
855.563	29.791
855.584	29.666
855.606	29.736
855.627	29.795
855.648	29.713
855.670	29.741
855.691	29.727
855.713	29.773
855.734	29.713
855.755	29.786
855.777	29.736
855.798	29.764
855.820	29.713
855.841	29.694
855.862	29.731
855.884	29.750
855.905	29.703
855.927	29.717
855.948	29.694
855.969	29.754
855.991	29.768
856.012	29.768
856.033	29.685
856.055	29.722
856.076	29.750
856.098	29.782
856.119	29.773
856.140	29.800
856.162	29.805
856.183	29.800
856.204	29.759
856.226	29.722
856.247	29.777
856.268	29.717
856.290	29.777
856.311	29.809
856.332	29.722
856.354	29.731
856.375	29.764
856.396	29.827
856.417	29.791
856.439	29.773
856.460	29.754
856.481	29.708
856.503	29.694
856.524	29.708
856.545	29.731
856.566	29.661
856.588	29.731
856.609	29.823
856.630	29.731
856.652	29.731
856.673	29.736
856.694	29.768
856.715	29.717
856.737	29.657
856.758	29.643
856.779	29.685
856.800	29.731
856.822	29.666
856.843	29.741
856.864	29.773
856.885	29.745
856.907	29.727
856.928	29.703
856.949	29.750
856.970	29.791
856.991	29.768
857.013	29.750
857.034	29.680
857.055	29.722
857.076	29.703
857.097	29.809
857.119	29.717
857.140	29.652
857.161	29.708
