Wavelength (nm)	Rel. spec. intensity (dB)
843.141	29.741
843.164	29.689
843.188	29.717
843.211	29.699
843.234	29.717
843.257	29.713
843.281	29.782
843.304	29.731
843.327	29.717
843.350	29.699
843.374	29.717
843.397	29.675
843.420	29.754
843.443	29.764
843.466	29.717
843.490	29.713
843.513	29.699
843.536	29.703
843.559	29.745
843.582	29.685
843.606	29.773
843.629	29.759
843.652	29.717
843.675	29.699
843.698	29.703
843.721	29.708
843.745	29.722
843.768	29.736
843.791	29.827
843.814	29.754
843.837	29.736
843.860	29.694
843.883	29.703
843.907	29.805
843.930	29.773
843.953	29.777
843.976	29.722
843.999	29.759
844.022	29.741
844.045	29.699
844.069	29.666
844.092	29.736
844.115	29.745
844.138	29.708
844.161	29.605
844.184	29.647
844.207	29.773
844.230	29.727
844.253	29.689
844.276	29.717
844.300	29.689
844.323	29.731
844.346	29.689
844.369	29.671
844.392	29.727
844.415	29.703
844.438	29.791
844.461	29.671
844.484	29.764
844.507	29.754
844.530	29.745
844.553	29.777
844.576	29.754
844.599	29.694
844.622	29.628
844.645	29.827
844.668	29.768
844.692	29.782
844.715	29.750
844.738	29.647
844.761	29.727
844.784	29.661
844.807	29.768
844.830	29.805
844.853	29.703
844.876	29.759
844.899	29.661
844.922	29.675
844.945	29.741
844.968	29.680
844.991	29.703
845.014	29.628
845.037	29.777
845.060	29.827
845.083	29.750
845.105	29.764
845.128	29.786
845.151	29.731
845.174	29.717
845.197	29.689
845.220	29.722
845.243	29.741
845.266	29.703
845.289	29.694
845.312	29.652
845.335	29.764
845.358	29.773
845.381	29.661
845.404	29.671
845.427	29.717
845.450	29.703
845.473	29.680
845.496	29.680
845.518	29.727
845.541	29.694
845.564	29.652
845.587	29.685
845.610	29.736
845.633	29.741
845.656	29.675
845.679	29.717
845.702	29.713
845.724	29.689
845.747	29.689
845.770	29.722
845.793	29.717
845.816	29.703
845.839	29.731
845.862	29.685
845.885	29.741
845.907	29.764
845.930	29.741
845.953	29.689
845.976	29.699
845.999	29.759
846.022	29.764
846.045	29.768
846.067	29.694
846.090	29.717
846.113	29.694
846.136	29.703
846.159	29.736
846.182	29.736
846.204	29.782
846.227	29.703
846.250	29.699
846.273	29.745
846.296	29.699
846.318	29.717
846.341	29.795
846.364	29.722
846.387	29.680
846.410	29.717
846.432	29.699
846.455	29.764
846.478	29.800
846.501	29.827
846.523	29.736
846.546	29.643
846.569	29.795
846.592	29.759
846.614	29.745
846.637	29.727
846.660	29.671
846.683	29.717
846.705	29.703
846.728	29.703
846.751	29.777
846.774	29.689
846.796	29.731
846.819	29.699
846.842	29.759
846.865	29.699
846.887	29.689
846.910	29.764
846.933	29.759
846.955	29.750
846.978	29.699
847.001	29.708
847.023	29.773
847.046	29.736
847.069	29.717
847.092	29.983
847.114	30.615
847.137	31.261
847.160	30.986
847.182	30.237
847.205	29.969
847.228	29.827
847.250	29.741
847.273	29.694
847.296	29.680
847.318	29.750
847.341	29.713
847.364	29.800
847.386	29.689
847.409	29.768
847.432	29.703
847.454	29.782
847.477	29.741
847.499	29.736
847.522	29.699
847.545	29.750
847.567	29.903
847.590	30.531
847.613	31.449
847.635	32.245
847.658	32.674
847.680	32.808
847.703	32.322
847.726	31.377
847.748	30.390
847.771	30.017
847.793	29.854
847.816	29.930
847.839	29.877
847.861	29.805
847.884	29.827
847.906	29.809
847.929	30.073
847.951	30.962
847.974	32.330
847.996	33.577
848.019	35.213
848.042	36.915
848.064	37.779
848.087	38.073
848.109	38.708
848.132	38.768
848.154	38.563
848.177	37.860
848.199	36.256
848.222	34.960
848.244	33.670
848.267	32.281
848.289	30.959
848.312	30.278
848.334	30.013
848.357	29.965
848.379	29.850
848.402	29.934
848.424	30.199
848.447	31.446
848.469	32.931
848.492	34.365
848.514	35.908
848.537	37.100
848.559	37.423
848.582	36.802
848.604	35.412
848.627	34.118
848.649	32.815
848.672	31.116
848.694	30.124
848.717	29.800
848.739	29.899
848.761	29.754
848.784	29.754
848.806	29.717
848.829	29.717
848.851	29.689
848.874	29.731
848.896	29.759
848.919	29.768
848.941	29.777
848.963	29.782
848.986	29.689
849.008	29.717
849.031	29.713
849.053	29.694
849.075	29.666
849.098	29.713
849.120	29.717
849.143	29.680
849.165	29.689
849.187	29.759
849.210	29.731
849.232	29.795
849.254	29.786
849.277	29.754
849.299	29.736
849.322	29.768
849.344	29.795
849.366	29.754
849.389	29.694
849.411	29.731
849.433	29.675
849.456	29.786
849.478	29.694
849.500	29.717
849.523	29.699
849.545	29.731
849.567	29.703
849.590	29.652
849.612	29.750
849.634	29.717
849.657	29.699
849.679	29.722
849.701	29.647
849.724	29.703
849.746	29.675
849.768	29.699
849.791	29.759
849.813	29.694
849.835	29.657
849.857	29.713
849.880	29.777
849.902	29.689
849.924	29.694
849.946	29.675
849.969	29.750
849.991	29.782
850.013	29.708
850.036	29.713
850.058	29.703
850.080	29.754
850.102	29.731
850.125	29.680
850.147	29.741
850.169	29.741
850.191	29.694
850.214	29.647
850.236	29.675
850.258	29.791
850.280	29.708
850.302	29.689
850.325	29.703
850.347	29.703
850.369	29.713
850.391	29.703
850.414	29.713
850.436	29.689
850.458	29.671
850.480	29.680
850.502	29.731
850.524	29.750
850.547	29.773
850.569	29.708
850.591	29.694
850.613	29.722
850.635	29.680
850.658	29.764
850.680	29.666
850.702	29.731
850.724	29.689
850.746	29.759
850.768	29.671
850.791	29.713
850.813	29.703
850.835	29.699
850.857	29.694
850.879	29.731
850.901	29.708
850.923	29.754
850.945	29.699
850.968	29.736
850.990	29.754
851.012	29.745
851.034	29.703
851.056	29.731
851.078	29.741
851.100	29.764
851.122	29.675
851.144	29.745
851.167	29.713
851.189	29.643
851.211	29.657
851.233	29.832
851.255	29.764
851.277	29.768
851.299	29.680
851.321	29.736
851.343	29.675
851.365	29.708
851.387	29.671
851.409	29.666
851.431	29.717
851.453	29.750
851.476	29.722
851.498	29.759
851.520	29.768
851.542	29.736
851.564	29.708
851.586	29.759
851.608	29.661
851.630	29.741
851.652	29.741
851.674	29.741
851.696	29.708
851.718	29.717
851.740	29.717
851.762	29.777
851.784	29.736
851.806	29.754
851.828	29.800
851.850	29.675
851.872	29.675
851.894	29.773
851.916	29.754
851.938	29.773
851.960	29.750
851.982	29.699
852.004	29.694
852.026	29.703
852.048	29.652
852.070	29.680
852.092	29.708
852.114	29.708
852.135	29.731
852.157	29.754
852.179	29.745
852.201	29.736
852.223	29.750
852.245	29.754
852.267	29.777
852.289	29.727
852.311	29.777
852.333	29.745
852.355	29.703
852.377	29.741
852.399	29.773
852.421	29.759
852.442	29.736
852.464	29.823
852.486	29.722
852.508	29.754
852.530	29.863
852.552	29.782
852.574	29.795
852.596	29.703
852.618	29.731
852.639	29.782
852.661	29.685
852.683	29.713
852.705	29.777
852.727	29.694
852.749	29.777
852.771	29.764
852.792	29.666
852.814	29.727
852.836	29.722
852.858	29.727
852.880	29.722
852.902	29.759
852.924	29.657
852.945	29.680
852.967	29.736
852.989	29.680
853.011	29.643
853.033	29.694
853.055	29.768
853.076	29.768
853.098	29.685
853.120	29.736
