Current (mA)	Voltage (V)	Power (mW)
0.00000	0.11788	0.00181
0.05000	0.71231	0.00197
0.10000	1.36859	0.00136
0.15000	1.39400	0.00159
0.20000	1.41346	0.00159
0.25000	1.42880	0.00166
0.30000	1.44249	0.00189
0.35000	1.45449	0.00193
0.40000	1.46498	0.00181
0.45000	1.47494	0.00126
0.50000	1.48393	0.00174
0.55000	1.49260	0.00170
0.60000	1.50044	0.00211
0.65000	1.50805	0.00237
0.70000	1.51536	0.00193
0.75000	1.52218	0.00237
0.80000	1.52873	0.00323
0.85000	1.53492	0.00304
0.90000	1.54097	0.00260
0.95000	1.54670	0.00349
1.00000	1.55248	0.00346
1.05000	1.55799	0.00391
1.10000	1.56314	0.00383
1.15000	1.56834	0.00443
1.20000	1.57331	0.00465
1.25000	1.57835	0.00556
1.30000	1.58287	0.00559
1.35000	1.58755	0.00644
1.40000	1.59209	0.00798
1.45000	1.59623	0.01138
1.50000	1.60037	0.01885
1.55000	1.60374	0.03343
1.60000	1.60716	0.05081
1.65000	1.61031	0.06920
1.70000	1.61352	0.08749
1.75000	1.61679	0.10643
1.80000	1.61996	0.12513
1.85000	1.62311	0.14340
1.90000	1.62624	0.16146
1.95000	1.62945	0.17968
2.00000	1.63243	0.19765
2.05000	1.63552	0.21552
2.10000	1.63877	0.23275
2.15000	1.64174	0.24987
2.20000	1.64479	0.26755
2.25000	1.64789	0.28397
2.30000	1.65091	0.30143
2.35000	1.65393	0.31750
2.40000	1.65690	0.33481
2.45000	1.65987	0.35299
2.50000	1.66281	0.37070
2.55000	1.66568	0.38894
2.60000	1.66853	0.40771
2.65000	1.67150	0.42629
2.70000	1.67436	0.44573
2.75000	1.67718	0.46457
2.80000	1.67989	0.48461
2.85000	1.68267	0.50361
2.90000	1.68546	0.52345
2.95000	1.68813	0.54288
3.00000	1.69093	0.56229
3.05000	1.69382	0.58210
3.10000	1.69636	0.60150
3.15000	1.69920	0.61983
3.20000	1.70179	0.63941
3.25000	1.70455	0.65901
3.30000	1.70721	0.67766
3.35000	1.70984	0.69698
3.40000	1.71258	0.71519
3.45000	1.71524	0.73381
3.50000	1.71790	0.75295
