Wavelength (nm)	Rel. spec. intensity (dB)
825.840	29.736
825.866	29.731
825.891	29.809
825.917	29.647
825.942	29.786
825.968	29.777
825.994	29.708
826.019	29.814
826.045	29.727
826.070	29.786
826.096	29.795
826.121	29.764
826.147	29.768
826.172	29.675
826.198	29.731
826.223	29.722
826.249	29.694
826.274	29.694
826.300	29.741
826.325	29.777
826.351	29.745
826.376	29.661
826.402	29.764
826.427	29.777
826.453	29.754
826.478	29.722
826.504	29.713
826.529	29.745
826.555	29.795
826.580	29.708
826.605	29.727
826.631	29.764
826.656	29.745
826.682	29.759
826.707	29.745
826.733	29.666
826.758	29.741
826.784	29.768
826.809	29.750
826.834	29.680
826.860	29.713
826.885	29.689
826.911	29.703
826.936	29.694
826.962	29.741
826.987	29.741
827.012	29.750
827.038	29.736
827.063	29.777
827.089	29.741
827.114	29.703
827.139	29.699
827.165	29.731
827.190	29.759
827.216	29.652
827.241	29.675
827.266	29.703
827.292	29.736
827.317	29.777
827.342	29.717
827.368	29.759
827.393	29.713
827.418	29.605
827.444	29.689
827.469	29.745
827.495	29.750
827.520	29.768
827.545	29.773
827.570	29.764
827.596	29.741
827.621	29.750
827.646	29.750
827.672	29.750
827.697	29.741
827.722	29.694
827.748	29.722
827.773	29.791
827.798	29.647
827.824	29.754
827.849	29.694
827.874	29.745
827.900	29.713
827.925	29.685
827.950	29.727
827.975	29.768
828.001	29.694
828.026	29.745
828.051	29.731
828.077	29.777
828.102	29.764
828.127	29.777
828.152	29.671
828.178	29.773
828.203	29.661
828.228	29.722
828.253	29.708
828.279	29.713
828.304	29.764
828.329	29.694
828.354	29.689
828.380	29.754
828.405	29.708
828.430	29.717
828.455	29.754
828.480	29.689
828.506	29.685
828.531	29.731
828.556	29.764
828.581	29.722
828.606	29.745
828.632	29.750
828.657	29.777
828.682	29.736
828.707	29.768
828.732	29.750
828.758	29.768
828.783	29.731
828.808	29.680
828.833	29.657
828.858	29.736
828.883	29.675
828.909	29.638
828.934	29.731
828.959	29.741
828.984	29.786
829.009	29.713
829.034	29.736
829.060	29.731
829.085	29.741
829.110	29.689
829.135	29.713
829.160	29.713
829.185	29.703
829.210	29.731
829.235	29.754
829.261	29.680
829.286	29.717
829.311	29.754
829.336	29.671
829.361	29.685
829.386	29.741
829.411	29.745
829.436	29.699
829.461	29.818
829.487	29.750
829.512	29.685
