Wavelength (nm)	Rel. spec. intensity (dB)
850.391	29.731
850.414	29.675
850.436	29.708
850.458	29.708
850.480	29.759
850.502	29.699
850.524	29.717
850.547	29.773
850.569	29.661
850.591	29.713
850.613	29.717
850.635	29.731
850.658	29.795
850.680	29.759
850.702	29.750
850.724	29.703
850.746	29.699
850.768	29.703
850.791	29.754
850.813	29.768
850.835	29.795
850.857	29.717
850.879	29.736
850.901	29.745
850.923	29.708
850.945	29.736
850.968	29.736
850.990	29.689
851.012	29.689
851.034	29.754
851.056	29.786
851.078	29.750
851.100	29.764
851.122	29.754
851.144	29.685
851.167	29.741
851.189	29.777
851.211	29.791
851.233	29.809
851.255	29.717
851.277	29.731
851.299	29.818
851.321	29.805
851.343	29.768
851.365	29.791
851.387	29.782
851.409	29.759
851.431	29.800
851.453	29.689
851.476	29.791
851.498	29.759
851.520	29.685
851.542	29.791
851.564	29.773
851.586	29.708
851.608	29.699
851.630	29.750
851.652	29.708
851.674	29.727
851.696	29.689
851.718	29.708
851.740	29.731
851.762	29.754
851.784	29.805
851.806	29.750
851.828	29.736
851.850	29.759
851.872	29.777
851.894	29.643
851.916	29.699
851.938	29.661
851.960	29.777
851.982	29.694
852.004	29.699
852.026	29.694
852.048	29.759
852.070	29.764
852.092	29.759
852.114	29.777
852.135	29.727
852.157	29.800
852.179	29.694
852.201	29.754
852.223	29.703
852.245	29.791
852.267	29.741
852.289	29.671
852.311	29.666
852.333	29.722
852.355	29.777
852.377	29.754
852.399	29.764
852.421	29.741
852.442	29.727
852.464	29.736
852.486	29.773
852.508	29.795
852.530	29.717
852.552	29.671
852.574	29.754
852.596	29.773
852.618	29.713
852.639	29.845
852.661	29.750
852.683	29.652
852.705	29.741
852.727	29.694
852.749	29.731
852.771	29.736
852.792	29.823
852.814	29.722
852.836	29.791
852.858	29.722
852.880	29.782
852.902	29.750
852.924	29.694
852.945	29.773
852.967	29.777
852.989	29.777
853.011	29.694
853.033	29.722
853.055	29.759
853.076	29.722
853.098	29.731
853.120	29.795
853.142	29.823
853.164	29.795
853.185	29.782
853.207	29.795
853.229	29.699
853.251	29.647
853.272	29.754
853.294	29.764
853.316	29.759
853.338	29.759
853.360	29.671
853.381	29.845
853.403	29.713
853.425	29.689
853.447	29.713
853.468	29.689
853.490	29.708
853.512	29.671
853.534	29.741
853.555	29.731
853.577	29.786
853.599	29.795
853.620	29.759
853.642	29.809
853.664	29.759
853.686	29.745
853.707	29.786
853.729	29.754
853.751	29.736
853.773	29.759
853.794	29.786
853.816	29.827
853.838	29.768
853.859	29.809
853.881	29.768
853.903	29.722
853.924	29.777
853.946	29.782
853.968	29.727
853.989	29.805
854.011	29.782
854.033	29.773
854.054	29.694
854.076	29.699
854.098	29.745
854.119	29.786
854.141	29.764
854.163	29.727
854.184	29.809
854.206	29.750
854.228	29.814
854.249	29.777
854.271	29.754
854.292	29.754
854.314	29.685
854.336	29.643
854.357	29.713
854.379	29.736
854.401	29.666
854.422	29.722
854.444	29.731
854.465	29.841
854.487	29.745
854.509	29.727
854.530	29.717
854.552	29.768
854.573	29.717
854.595	29.814
854.617	29.782
854.638	29.754
854.660	29.727
854.681	29.741
854.703	29.689
854.724	29.764
854.746	29.814
854.767	29.841
854.789	29.764
854.811	29.675
854.832	29.759
854.854	29.764
854.875	29.745
854.897	29.713
854.918	29.745
854.940	29.827
854.961	29.708
854.983	29.791
855.004	29.850
855.026	29.759
855.047	29.827
855.069	29.717
855.090	29.745
855.112	29.736
855.133	29.708
855.155	29.759
855.176	29.850
855.198	29.731
855.219	29.863
855.241	29.894
855.262	30.120
855.284	30.554
855.305	31.323
855.327	32.363
855.348	33.345
855.370	34.185
855.391	34.406
855.413	33.874
855.434	33.096
855.456	32.055
855.477	30.966
855.498	30.170
855.520	29.863
855.541	29.903
855.563	29.768
855.584	29.745
855.606	29.809
855.627	29.795
855.648	29.786
855.670	29.795
855.691	29.717
855.713	29.736
855.734	29.800
855.755	29.768
855.777	29.685
855.798	29.703
855.820	29.703
855.841	29.777
855.862	29.722
855.884	29.708
855.905	29.759
855.927	29.800
855.948	29.671
855.969	29.759
855.991	29.768
856.012	29.750
856.033	29.791
856.055	29.661
856.076	29.754
856.098	29.764
856.119	29.699
856.140	29.731
856.162	29.727
856.183	29.694
856.204	29.800
856.226	29.731
856.247	29.741
856.268	29.782
856.290	29.782
856.311	29.745
856.332	29.745
856.354	29.722
856.375	29.805
856.396	29.708
856.417	29.717
856.439	29.713
856.460	29.750
856.481	29.764
856.503	29.754
856.524	29.791
856.545	29.727
856.566	29.786
856.588	29.777
856.609	29.759
856.630	29.727
856.652	29.741
856.673	29.764
856.694	29.736
856.715	29.722
856.737	29.741
856.758	29.675
856.779	29.736
856.800	29.703
856.822	29.694
856.843	29.764
856.864	29.786
856.885	29.689
856.907	29.777
856.928	29.708
856.949	29.814
856.970	29.745
856.991	29.759
857.013	29.777
857.034	29.750
857.055	29.731
857.076	29.777
857.097	29.750
857.119	29.722
857.140	29.722
857.161	29.675
857.182	29.675
857.203	29.782
857.225	29.731
857.246	29.731
857.267	29.768
857.288	29.754
857.309	29.722
857.330	29.754
857.352	29.764
857.373	29.863
857.394	29.699
857.415	29.708
857.436	29.671
857.457	29.759
857.479	29.717
857.500	29.694
857.521	29.795
857.542	29.685
857.563	29.754
857.584	29.694
857.605	29.722
857.626	29.777
857.648	29.685
857.669	29.750
857.690	29.736
857.711	29.675
857.732	29.689
857.753	29.736
857.774	29.791
857.795	29.727
857.816	29.741
857.837	29.741
857.859	29.759
857.880	29.777
857.901	29.768
857.922	29.782
857.943	29.805
857.964	29.791
857.985	29.694
858.006	29.680
858.027	29.713
858.048	29.773
858.069	29.768
858.090	29.764
858.111	29.764
858.132	29.754
858.153	29.708
858.174	29.773
858.195	29.764
858.216	29.680
858.237	29.717
858.258	29.827
858.279	29.703
858.300	29.741
858.321	29.694
858.342	29.814
858.363	29.764
858.384	29.661
858.406	29.731
858.426	29.685
858.447	29.759
858.468	29.713
858.489	29.736
858.510	29.745
858.531	29.657
858.552	29.768
858.573	29.722
858.594	29.680
858.615	29.722
858.636	29.689
858.657	29.741
858.678	29.805
858.699	29.675
858.720	29.699
858.741	29.736
858.762	29.795
858.783	29.773
858.804	29.754
858.825	29.768
858.846	29.703
858.867	29.713
858.888	29.764
858.908	29.782
858.929	29.750
858.950	29.750
858.971	29.750
858.992	29.708
859.013	29.745
859.034	29.713
859.055	29.741
859.076	29.795
859.097	29.768
859.117	29.675
859.138	29.694
859.159	29.736
859.180	29.713
859.201	29.666
859.222	29.689
859.243	29.805
859.264	29.750
859.284	29.736
859.305	29.800
859.326	29.717
859.347	29.685
859.368	29.703
859.389	29.750
859.410	29.731
859.430	29.795
859.451	29.675
859.472	29.731
859.493	29.689
859.514	29.717
859.534	29.777
859.555	29.703
859.576	29.764
859.597	29.754
859.618	29.731
859.639	29.805
859.659	29.795
859.680	29.694
859.701	29.759
859.722	29.773
859.742	29.703
859.763	29.782
859.784	29.823
859.805	29.768
859.826	29.782
859.846	29.731
859.867	29.773
859.888	29.759
859.909	29.699
859.929	29.694
859.950	29.736
859.971	29.745
859.992	29.708
860.012	29.741
860.033	29.768
860.054	29.754
860.075	29.699
860.095	29.689
860.116	29.736
860.137	29.764
860.158	29.782
860.178	29.661
860.199	29.708
860.220	29.768
860.240	29.805
860.261	29.773
860.282	29.671
860.303	29.666
860.323	29.703
860.344	29.773
860.365	29.699
860.385	29.754
