Wavelength (nm)	Rel. spec. intensity (dB)
848.424	29.699
848.447	29.699
848.469	29.731
848.492	29.795
848.514	29.722
848.537	29.689
848.559	29.703
848.582	29.754
848.604	29.818
848.627	29.741
848.649	29.722
848.672	29.638
848.694	29.722
848.717	29.685
848.739	29.736
848.761	29.722
848.784	29.699
848.806	29.694
848.829	29.680
848.851	29.713
848.874	29.754
848.896	29.703
848.919	29.647
848.941	29.722
848.963	29.750
848.986	29.717
849.008	29.652
849.031	29.661
849.053	29.731
849.075	29.694
849.098	29.736
849.120	29.685
849.143	29.750
849.165	29.708
849.187	29.722
849.210	29.736
849.232	29.652
849.254	29.745
849.277	29.703
849.299	29.773
849.322	29.722
849.344	29.773
849.366	29.805
849.389	29.708
849.411	29.814
849.433	29.722
849.456	29.727
849.478	29.671
849.500	29.759
849.523	29.809
849.545	29.823
849.567	29.666
849.590	29.680
849.612	29.722
849.634	29.717
849.657	29.741
849.679	29.741
849.701	29.768
849.724	29.708
849.746	29.699
849.768	29.666
849.791	29.685
849.813	29.680
849.835	29.786
849.857	29.727
849.880	29.809
849.902	29.713
849.924	29.708
849.946	29.759
849.969	29.713
849.991	29.764
850.013	29.703
850.036	29.759
850.058	29.736
850.080	29.708
850.102	29.671
850.125	29.671
850.147	29.731
850.169	29.689
850.191	29.703
850.214	29.717
850.236	29.694
850.258	29.736
850.280	29.736
850.302	29.750
850.325	29.800
850.347	29.764
850.369	29.782
850.391	29.764
850.414	29.671
850.436	29.764
850.458	29.727
850.480	29.675
850.502	29.647
850.524	29.647
850.547	29.754
850.569	29.745
850.591	29.786
850.613	29.671
850.635	29.717
850.658	29.661
850.680	29.750
850.702	29.809
850.724	29.759
850.746	29.754
850.768	29.727
850.791	29.722
850.813	29.727
850.835	29.713
850.857	29.722
850.879	29.754
850.901	29.708
850.923	29.699
850.945	29.694
850.968	29.750
850.990	29.764
851.012	29.814
851.034	29.671
851.056	29.727
851.078	29.680
851.100	29.713
851.122	29.722
851.144	29.754
851.167	29.736
851.189	29.741
851.211	29.694
851.233	29.745
851.255	29.791
851.277	29.689
851.299	29.713
851.321	29.786
851.343	29.745
851.365	29.703
851.387	29.666
851.409	29.595
851.431	29.680
851.453	29.759
851.476	29.786
851.498	29.694
851.520	29.717
851.542	29.731
851.564	29.708
851.586	29.717
851.608	29.768
851.630	29.727
851.652	29.680
851.674	29.750
851.696	29.782
851.718	29.722
851.740	29.731
851.762	29.717
851.784	29.727
851.806	29.741
851.828	29.694
851.850	29.657
851.872	29.671
851.894	29.694
851.916	29.699
851.938	29.736
851.960	29.703
851.982	29.713
852.004	29.661
852.026	29.671
852.048	29.652
852.070	29.741
852.092	29.713
852.114	29.703
852.135	29.703
852.157	29.731
852.179	29.717
852.201	29.661
852.223	29.750
852.245	29.764
852.267	29.741
852.289	29.727
852.311	29.671
852.333	29.675
852.355	29.731
852.377	29.717
852.399	29.786
852.421	29.805
852.442	29.736
852.464	29.764
852.486	29.791
852.508	29.671
852.530	29.745
852.552	29.685
852.574	29.633
852.596	29.694
852.618	29.699
852.639	29.680
852.661	29.717
852.683	29.741
852.705	29.694
852.727	29.736
852.749	29.741
852.771	29.786
852.792	29.791
852.814	29.699
852.836	29.699
852.858	29.722
852.880	29.722
852.902	29.713
852.924	29.750
852.945	29.754
852.967	29.759
852.989	29.699
853.011	29.750
853.033	29.795
853.055	29.736
853.076	29.685
853.098	29.777
853.120	29.827
853.142	29.759
853.164	29.703
853.185	29.777
853.207	29.768
853.229	29.868
853.251	30.330
853.272	31.082
853.294	32.022
853.316	32.945
853.338	33.957
853.360	34.681
853.381	35.292
853.403	36.018
853.425	35.949
853.447	34.898
853.468	33.512
853.490	31.807
853.512	30.465
853.534	29.908
853.555	29.773
853.577	29.722
853.599	29.708
853.620	29.717
853.642	29.800
853.664	29.741
853.686	29.768
853.707	29.666
853.729	29.628
853.751	29.671
853.773	29.638
853.794	29.703
853.816	29.680
853.838	29.727
853.859	29.750
853.881	29.736
853.903	29.703
853.924	29.717
853.946	29.727
853.968	29.786
853.989	29.717
854.011	29.745
854.033	29.750
854.054	29.624
854.076	29.657
854.098	29.727
854.119	29.713
854.141	29.731
854.163	29.777
854.184	29.759
854.206	29.671
854.228	29.713
854.249	29.708
854.271	29.764
854.292	29.647
854.314	29.699
854.336	29.708
854.357	29.694
854.379	29.685
854.401	29.750
854.422	29.689
854.444	29.652
854.465	29.633
854.487	29.680
854.509	29.614
854.530	29.689
854.552	29.727
854.573	29.657
854.595	29.717
854.617	29.791
854.638	29.782
854.660	29.899
854.681	30.453
854.703	31.427
854.724	32.212
854.746	32.453
854.767	31.855
854.789	30.759
854.811	30.026
854.832	29.854
854.854	29.727
854.875	29.773
854.897	29.809
854.918	29.727
854.940	29.745
854.961	29.754
854.983	29.795
855.004	29.759
855.026	29.689
855.047	29.727
855.069	29.754
855.090	29.694
855.112	29.764
855.133	29.727
855.155	29.689
855.176	29.750
855.198	29.782
855.219	29.773
855.241	29.745
855.262	29.800
855.284	29.736
855.305	29.731
855.327	29.750
855.348	29.703
855.370	29.754
855.391	29.759
855.413	29.750
855.434	29.713
855.456	29.694
855.477	29.717
855.498	29.717
855.520	29.717
855.541	29.773
855.563	29.703
855.584	29.741
855.606	29.727
855.627	29.791
855.648	29.727
855.670	29.741
855.691	29.699
855.713	29.708
855.734	29.750
855.755	29.699
855.777	29.773
855.798	29.666
855.820	29.713
855.841	29.661
855.862	29.694
855.884	29.745
855.905	29.768
855.927	29.708
855.948	29.708
855.969	29.786
855.991	29.727
856.012	29.708
856.033	29.750
856.055	29.764
856.076	29.699
856.098	29.731
856.119	29.685
856.140	29.675
856.162	29.731
856.183	29.708
856.204	29.685
856.226	29.741
856.247	29.745
856.268	29.731
856.290	29.713
856.311	29.666
856.332	29.736
856.354	29.759
856.375	29.727
856.396	29.628
856.417	29.671
856.439	29.754
856.460	29.814
856.481	29.727
856.503	29.708
856.524	29.689
856.545	29.685
856.566	29.708
856.588	29.657
856.609	29.652
856.630	29.689
856.652	29.699
856.673	29.727
856.694	29.713
856.715	29.805
856.737	29.741
856.758	29.708
856.779	29.717
856.800	29.685
856.822	29.671
856.843	29.628
856.864	29.694
856.885	29.643
856.907	29.759
856.928	29.750
856.949	29.768
856.970	29.759
856.991	29.694
857.013	29.694
857.034	29.657
857.055	29.685
857.076	29.727
857.097	29.717
857.119	29.647
857.140	29.694
857.161	29.680
857.182	29.671
857.203	29.773
857.225	29.699
857.246	29.741
857.267	29.657
857.288	29.685
857.309	29.741
857.330	29.731
857.352	29.741
857.373	29.713
857.394	29.800
857.415	29.795
857.436	29.722
857.457	29.689
857.479	29.713
857.500	29.680
857.521	29.680
857.542	29.675
857.563	29.666
857.584	29.703
857.605	29.694
857.626	29.731
857.648	29.773
857.669	29.800
857.690	29.643
857.711	29.768
857.732	29.703
857.753	29.689
857.774	29.666
857.795	29.800
857.816	29.754
857.837	29.708
857.859	29.657
857.880	29.689
857.901	29.694
857.922	29.652
857.943	29.699
857.964	29.786
857.985	29.759
858.006	29.685
858.027	29.708
858.048	29.754
858.069	29.782
858.090	29.689
858.111	29.694
858.132	29.764
858.153	29.647
858.174	29.717
858.195	29.750
858.216	29.736
858.237	29.680
858.258	29.703
858.279	29.750
858.300	29.703
858.321	29.699
858.342	29.777
858.363	29.736
858.384	29.745
