Current (mA)	Voltage (V)	Power (mW)
0.00000	0.10173	0.00271
0.05000	0.74843	0.00170
0.10000	1.43373	0.00218
0.15000	1.46055	0.00204
0.20000	1.48189	0.00226
0.25000	1.49957	0.00222
0.30000	1.51510	0.00237
0.35000	1.52943	0.00264
0.40000	1.54200	0.00304
0.45000	1.55409	0.00289
0.50000	1.56500	0.00406
0.55000	1.57560	0.00458
0.60000	1.58527	0.00544
0.65000	1.59457	0.00873
0.70000	1.60239	0.02280
0.75000	1.60908	0.04655
0.80000	1.61561	0.07230
0.85000	1.62180	0.09735
0.90000	1.62817	0.12453
0.95000	1.63416	0.14954
1.00000	1.64038	0.17519
1.05000	1.64653	0.20150
1.10000	1.65233	0.22577
1.15000	1.65827	0.25239
1.20000	1.66399	0.27679
1.25000	1.66985	0.30247
1.30000	1.67535	0.32688
1.35000	1.68106	0.35212
1.40000	1.68683	0.37739
1.45000	1.69203	0.40203
1.50000	1.69768	0.42733
1.55000	1.70278	0.45286
1.60000	1.70814	0.47896
1.65000	1.71328	0.50539
1.70000	1.71862	0.53227
1.75000	1.72373	0.56012
1.80000	1.72881	0.58718
1.85000	1.73393	0.61496
1.90000	1.73880	0.64177
1.95000	1.74385	0.66936
2.00000	1.74865	0.69642
2.05000	1.75365	0.72383
2.10000	1.75858	0.75193
2.15000	1.76338	0.77784
2.20000	1.76819	0.80573
2.25000	1.77294	0.83253
2.30000	1.77762	0.85908
2.35000	1.78218	0.88547
2.40000	1.78687	0.91324
2.45000	1.79151	0.94016
2.50000	1.79594	0.96674
2.55000	1.80054	0.99336
2.60000	1.80496	1.01945
2.65000	1.80947	1.04651
2.70000	1.81390	1.07385
2.75000	1.81825	1.09953
2.80000	1.82256	1.12663
2.85000	1.82680	1.15231
2.90000	1.83117	1.17882
2.95000	1.83532	1.20479
3.00000	1.83961	1.23074
3.05000	1.84386	1.25788
3.10000	1.84790	1.28322
3.15000	1.85209	1.30887
3.20000	1.85608	1.33467
3.25000	1.86026	1.36084
3.30000	1.86426	1.38626
3.35000	1.86827	1.41239
3.40000	1.87238	1.43762
3.45000	1.87623	1.46357
3.50000	1.88025	1.48951
3.55000	1.88402	1.51415
3.60000	1.88814	1.54013
3.65000	1.89180	1.56469
3.70000	1.89579	1.59086
3.75000	1.89971	1.61621
3.80000	1.90348	1.64088
3.85000	1.90727	1.66618
3.90000	1.91102	1.69071
3.95000	1.91477	1.71669
4.00000	1.91851	1.74113
4.05000	1.92230	1.76630
4.10000	1.92596	1.79209
4.15000	1.92959	1.81628
4.20000	1.93336	1.84137
4.25000	1.93689	1.86551
4.30000	1.94059	1.89041
4.35000	1.94413	1.91490
4.40000	1.94775	1.93995
4.45000	1.95134	1.96417
4.50000	1.95484	1.98884
4.55000	1.95836	2.01337
4.60000	1.96180	2.03636
4.65000	1.96545	2.06122
4.70000	1.96883	2.08558
4.75000	1.97228	2.11063
4.80000	1.97583	2.13610
4.85000	1.97928	2.15942
4.90000	1.98274	2.18399
4.95000	1.98622	2.20835
5.00000	1.98961	2.23273
5.05000	1.99301	2.25636
5.10000	1.99636	2.28171
5.15000	1.99986	2.30544
5.20000	2.00319	2.32952
5.25000	2.00669	2.35400
5.30000	2.00991	2.37644
5.35000	2.01327	2.40233
5.40000	2.01669	2.42556
5.45000	2.01986	2.44934
5.50000	2.02324	2.47285
5.55000	2.02646	2.49573
5.60000	2.02980	2.51992
5.65000	2.03304	2.54320
5.70000	2.03632	2.56616
5.75000	2.03958	2.59075
5.80000	2.04275	2.61315
5.85000	2.04594	2.63595
5.90000	2.04920	2.65939
5.95000	2.05236	2.68179
6.00000	2.05547	2.70488
6.05000	2.05861	2.72843
6.10000	2.06189	2.75139
6.15000	2.06495	2.77404
6.20000	2.06808	2.79648
6.25000	2.07112	2.81909
6.30000	2.07431	2.84174
6.35000	2.07735	2.86320
6.40000	2.08045	2.88686
6.45000	2.08358	2.90911
6.50000	2.08660	2.93086
6.55000	2.08969	2.95322
6.60000	2.09261	2.97558
6.65000	2.09580	2.99756
6.70000	2.09874	3.01929
6.75000	2.10183	3.04085
6.80000	2.10484	3.06313
6.85000	2.10779	3.08474
6.90000	2.11088	3.10691
6.95000	2.11384	3.12720
7.00000	2.11673	3.14952
7.05000	2.11965	3.17016
7.10000	2.12261	3.19210
7.15000	2.12566	3.21371
7.20000	2.12846	3.23345
7.25000	2.13148	3.25525
7.30000	2.13426	3.27584
7.35000	2.13725	3.29606
7.40000	2.14002	3.31610
7.45000	2.14290	3.33763
7.50000	2.14589	3.35760
7.55000	2.14872	3.37794
7.60000	2.15160	3.39808
7.65000	2.15437	3.41794
7.70000	2.15725	3.43831
7.75000	2.16005	3.45820
7.80000	2.16285	3.47801
7.85000	2.16563	3.49720
7.90000	2.16840	3.51674
7.95000	2.17126	3.53588
8.00000	2.17401	3.55469
8.05000	2.17675	3.57409
8.10000	2.17957	3.59382
8.15000	2.18232	3.61196
8.20000	2.18515	3.63068
8.25000	2.18773	3.64912
8.30000	2.19059	3.66773
8.35000	2.19332	3.68560
8.40000	2.19601	3.70448
8.45000	2.19881	3.72179
8.50000	2.20143	3.73963
8.55000	2.20413	3.75805
8.60000	2.20672	3.77483
8.65000	2.20947	3.79305
8.70000	2.21200	3.81020
8.75000	2.21473	3.82796
8.80000	2.21738	3.84549
8.85000	2.22009	3.86201
8.90000	2.22265	3.87981
8.95000	2.22525	3.89656
9.00000	2.22794	3.91278
9.05000	2.23048	3.92983
9.10000	2.23307	3.94680
9.15000	2.23579	3.96344
9.20000	2.23829	3.97989
9.25000	2.24091	3.99618
9.30000	2.24345	4.01144
9.35000	2.24598	4.02789
9.40000	2.24862	4.04329
9.45000	2.25118	4.05928
9.50000	2.25373	4.07569
9.55000	2.25621	4.08945
9.60000	2.25879	4.10579
9.65000	2.26116	4.11907
9.70000	2.26367	4.12677
9.75000	2.26617	4.14134
9.80000	2.26872	4.15562
9.85000	2.27116	4.17076
9.90000	2.27361	4.18404
9.95000	2.27614	4.19798
10.00000	2.27859	4.21245
10.05000	2.28102	4.22598
10.10000	2.28354	4.23921
10.15000	2.28600	4.25234
10.20000	2.28846	4.26572
10.25000	2.29085	4.27835
10.30000	2.29326	4.29182
10.35000	2.29573	4.30434
10.40000	2.29814	4.31775
10.45000	2.30064	4.33054
10.50000	2.30292	4.34232
10.55000	2.30539	4.35532
10.60000	2.30771	4.36747
10.65000	2.31019	4.37989
10.70000	2.31246	4.39219
10.75000	2.31488	4.40325
10.80000	2.31724	4.41599
10.85000	2.31962	4.42714
10.90000	2.32198	4.43862
10.95000	2.32434	4.45020
11.00000	2.32668	4.46160
11.05000	2.32912	4.47271
11.10000	2.33142	4.48411
11.15000	2.33380	4.49481
11.20000	2.33602	4.50546
11.25000	2.33850	4.51690
11.30000	2.34076	4.52665
11.35000	2.34312	4.53765
11.40000	2.34543	4.54732
11.45000	2.34775	4.55765
11.50000	2.35008	4.56755
11.55000	2.35239	4.57723
11.60000	2.35469	4.58594
11.65000	2.35700	4.59563
11.70000	2.35929	4.60494
11.75000	2.36148	4.61414
11.80000	2.36385	4.62224
11.85000	2.36607	4.63118
11.90000	2.36834	4.63990
11.95000	2.37064	4.64740
12.00000	2.37286	4.65537
12.05000	2.37509	4.66401
12.10000	2.37735	4.67122
12.15000	2.37958	4.67955
12.20000	2.38185	4.68692
