Wavelength (nm)	Rel. spec. intensity (dB)
849.567	29.727
849.590	29.754
849.612	29.759
849.634	29.773
849.657	29.786
849.679	29.786
849.701	29.671
849.724	29.759
849.746	29.795
849.768	29.809
849.791	29.764
849.813	29.809
849.835	29.731
849.857	29.768
849.880	29.703
849.902	29.845
849.924	29.754
849.946	29.722
849.969	29.759
849.991	29.717
850.013	29.680
850.036	29.745
850.058	29.754
850.080	29.741
850.102	29.731
850.125	29.671
850.147	29.754
850.169	29.694
850.191	29.722
850.214	29.768
850.236	29.685
850.258	29.764
850.280	29.694
850.302	29.777
850.325	29.741
850.347	29.786
850.369	29.777
850.391	29.713
850.414	29.722
850.436	29.685
850.458	29.754
850.480	29.745
850.502	29.741
850.524	29.750
850.547	29.750
850.569	29.777
850.591	29.754
850.613	29.773
850.635	29.773
850.658	29.754
850.680	29.680
850.702	29.689
850.724	29.699
850.746	29.717
850.768	29.694
850.791	29.773
850.813	29.764
850.835	29.791
850.857	29.722
850.879	29.731
850.901	29.745
850.923	29.628
850.945	29.745
850.968	29.768
850.990	29.768
851.012	29.750
851.034	29.764
851.056	29.722
851.078	29.777
851.100	29.759
851.122	29.768
851.144	29.827
851.167	29.827
851.189	29.666
851.211	29.731
851.233	29.791
851.255	29.745
851.277	29.713
851.299	29.727
851.321	29.736
851.343	29.795
851.365	29.713
851.387	29.773
851.409	29.805
851.431	29.791
851.453	29.759
851.476	29.717
851.498	29.809
851.520	29.741
851.542	29.703
851.564	29.750
851.586	29.717
851.608	29.768
851.630	29.777
851.652	29.717
851.674	29.759
851.696	29.741
851.718	29.773
851.740	29.750
851.762	29.764
851.784	29.699
851.806	29.773
851.828	29.694
851.850	29.786
851.872	29.703
851.894	29.675
851.916	29.786
851.938	29.777
851.960	29.750
851.982	29.680
852.004	29.722
852.026	29.750
852.048	29.745
852.070	29.703
852.092	29.717
852.114	29.800
852.135	29.680
852.157	29.768
852.179	29.741
852.201	29.717
852.223	29.773
852.245	29.791
852.267	29.713
852.289	29.727
852.311	29.745
852.333	29.754
852.355	29.782
852.377	29.841
852.399	29.773
852.421	29.805
852.442	29.754
852.464	29.786
852.486	29.791
852.508	29.731
852.530	29.764
852.552	29.845
852.574	29.750
852.596	29.777
852.618	29.731
852.639	29.731
852.661	29.657
852.683	29.708
852.705	29.741
852.727	29.754
852.749	29.699
852.771	29.727
852.792	29.717
852.814	29.741
852.836	29.814
852.858	29.666
852.880	29.750
852.902	29.689
852.924	29.689
852.945	29.675
852.967	29.791
852.989	29.722
853.011	29.773
853.033	29.661
853.055	29.717
853.076	29.759
853.098	29.777
853.120	29.741
853.142	29.768
853.164	29.764
853.185	29.823
853.207	29.800
853.229	29.791
853.251	29.782
853.272	29.703
853.294	29.722
853.316	29.750
853.338	29.754
853.360	29.722
853.381	29.754
853.403	29.722
853.425	29.759
853.447	29.754
853.468	29.754
