Current (mA)	Voltage (V)	Power (mW)
0.00000	0.10484	0.00170
0.05000	0.78248	0.00166
0.10000	1.40001	0.00147
0.15000	1.43082	0.00174
0.20000	1.45491	0.00200
0.25000	1.47435	0.00197
0.30000	1.49163	0.00207
0.35000	1.50711	0.00166
0.40000	1.52060	0.00193
0.45000	1.53340	0.00222
0.50000	1.54500	0.00218
0.55000	1.55610	0.00237
0.60000	1.56611	0.00237
0.65000	1.57593	0.00275
0.70000	1.58531	0.00320
0.75000	1.59377	0.00398
0.80000	1.60211	0.00746
0.85000	1.60885	0.01915
0.90000	1.61502	0.03798
0.95000	1.62057	0.05802
1.00000	1.62629	0.07866
1.05000	1.63209	0.10056
1.10000	1.63748	0.12064
1.15000	1.64307	0.14177
1.20000	1.64849	0.16188
1.25000	1.65398	0.18288
1.30000	1.65933	0.20258
1.35000	1.66466	0.22254
1.40000	1.67010	0.24337
1.45000	1.67529	0.26293
1.50000	1.68061	0.28293
1.55000	1.68569	0.30241
1.60000	1.69095	0.32210
1.65000	1.69603	0.33982
1.70000	1.70115	0.35997
1.75000	1.70639	0.37900
1.80000	1.71125	0.39746
1.85000	1.71626	0.41639
1.90000	1.72118	0.43445
1.95000	1.72618	0.45355
2.00000	1.73103	0.47159
2.05000	1.73594	0.48891
2.10000	1.74080	0.50730
2.15000	1.74560	0.52476
2.20000	1.75037	0.54271
2.25000	1.75508	0.55945
2.30000	1.75974	0.57632
2.35000	1.76442	0.59377
2.40000	1.76906	0.61003
2.45000	1.77373	0.62603
2.50000	1.77824	0.64275
2.55000	1.78281	0.65863
2.60000	1.78728	0.67415
2.65000	1.79182	0.69056
2.70000	1.79636	0.70484
2.75000	1.80064	0.72076
2.80000	1.80515	0.73583
2.85000	1.80933	0.74992
2.90000	1.81378	0.76562
2.95000	1.81802	0.78032
3.00000	1.82236	0.79568
3.05000	1.82660	0.81287
3.10000	1.83081	0.82895
3.15000	1.83508	0.84562
3.20000	1.83919	0.86185
3.25000	1.84341	0.87773
3.30000	1.84757	0.89239
3.35000	1.85155	0.90794
3.40000	1.85581	0.92192
3.45000	1.85972	0.93654
3.50000	1.86384	0.95037
3.55000	1.86774	0.96361
3.60000	1.87188	0.97789
3.65000	1.87578	0.99186
3.70000	1.87975	1.00603
3.75000	1.88371	1.01927
3.80000	1.88754	1.03370
3.85000	1.89145	1.04799
3.90000	1.89528	1.06144
3.95000	1.89916	1.07516
4.00000	1.90288	1.08903
4.05000	1.90680	1.10204
4.10000	1.91060	1.11673
4.15000	1.91427	1.12824
4.20000	1.91814	1.14144
4.25000	1.92177	1.15482
4.30000	1.92551	1.16638
4.35000	1.92917	1.17815
4.40000	1.93276	1.19108
4.45000	1.93650	1.20185
4.50000	1.94010	1.21325
4.55000	1.94376	1.22544
4.60000	1.94720	1.23441
4.65000	1.95084	1.24559
4.70000	1.95434	1.25636
4.75000	1.95791	1.26577
4.80000	1.96145	1.27598
4.85000	1.96488	1.28596
4.90000	1.96840	1.29378
