Current (mA)	Voltage (V)	Power (mW)
0.00000	0.11626	0.00230
0.05000	0.79112	0.00189
0.10000	1.45808	0.00214
0.15000	1.48901	0.00226
0.20000	1.51408	0.00230
0.25000	1.53478	0.00233
0.30000	1.55371	0.00230
0.35000	1.57077	0.00312
0.40000	1.58572	0.00356
0.45000	1.59964	0.00753
0.50000	1.61035	0.02408
0.55000	1.62008	0.04987
0.60000	1.62928	0.07638
0.65000	1.63849	0.10307
0.70000	1.64759	0.13070
0.75000	1.65628	0.15720
0.80000	1.66509	0.18408
0.85000	1.67346	0.21029
0.90000	1.68209	0.23679
0.95000	1.69022	0.26277
1.00000	1.69864	0.28999
1.05000	1.70669	0.31671
1.10000	1.71452	0.34229
1.15000	1.72246	0.36921
1.20000	1.73006	0.39458
1.25000	1.73777	0.42084
1.30000	1.74518	0.44633
1.35000	1.75257	0.47227
1.40000	1.75999	0.49927
1.45000	1.76705	0.52405
1.50000	1.77429	0.54988
1.55000	1.78106	0.57503
1.60000	1.78804	0.60087
1.65000	1.79478	0.62596
1.70000	1.80154	0.65175
1.75000	1.80826	0.67691
1.80000	1.81476	0.70170
1.85000	1.82137	0.72719
1.90000	1.82756	0.75134
1.95000	1.83404	0.77713
2.00000	1.84038	0.80308
2.05000	1.84682	0.82951
2.10000	1.85324	0.85646
2.15000	1.85929	0.88073
2.20000	1.86549	0.90681
2.25000	1.87148	0.93213
2.30000	1.87757	0.95743
2.35000	1.88333	0.98256
2.40000	1.88932	1.00835
2.45000	1.89549	1.03448
2.50000	1.90109	1.05979
2.55000	1.90698	1.08540
2.60000	1.91261	1.11004
2.65000	1.91843	1.13661
2.70000	1.92417	1.16222
2.75000	1.92970	1.18776
2.80000	1.93534	1.21266
2.85000	1.94071	1.23740
2.90000	1.94627	1.26316
2.95000	1.95166	1.28742
3.00000	1.95713	1.31272
3.05000	1.96254	1.33923
3.10000	1.96784	1.36238
3.15000	1.97312	1.38764
3.20000	1.97825	1.41109
3.25000	1.98352	1.43576
3.30000	1.98875	1.46088
3.35000	1.99383	1.48499
3.40000	1.99907	1.50989
3.45000	2.00407	1.53389
3.50000	2.00912	1.55767
3.55000	2.01396	1.58170
3.60000	2.01907	1.60537
3.65000	2.02387	1.62817
3.70000	2.02883	1.65348
3.75000	2.03363	1.67655
3.80000	2.03846	1.70013
3.85000	2.04329	1.72324
3.90000	2.04795	1.74593
3.95000	2.05284	1.76948
4.00000	2.05722	1.79027
4.05000	2.06195	1.81211
4.10000	2.06660	1.83603
4.15000	2.07124	1.85816
4.20000	2.07584	1.88066
4.25000	2.08030	1.90279
4.30000	2.08493	1.92519
4.35000	2.08942	1.94735
4.40000	2.09389	1.97001
4.45000	2.09843	1.99166
4.50000	2.10277	2.01311
4.55000	2.10723	2.03558
4.60000	2.11161	2.05617
4.65000	2.11593	2.07868
4.70000	2.12016	2.09869
4.75000	2.12452	2.12101
4.80000	2.12893	2.14276
4.85000	2.13299	2.16231
4.90000	2.13734	2.18355
4.95000	2.14140	2.20433
5.00000	2.14572	2.22470
5.05000	2.14978	2.24560
5.10000	2.15393	2.26493
5.15000	2.15813	2.28639
5.20000	2.16208	2.30628
5.25000	2.16622	2.32538
5.30000	2.17026	2.34493
5.35000	2.17421	2.36474
5.40000	2.17828	2.38448
5.45000	2.18217	2.40317
5.50000	2.18622	2.42179
5.55000	2.19006	2.44037
5.60000	2.19404	2.45939
5.65000	2.19780	2.47723
5.70000	2.20170	2.49636
5.75000	2.20558	2.51394
5.80000	2.20936	2.53214
5.85000	2.21319	2.55028
5.90000	2.21690	2.56729
5.95000	2.22067	2.58467
6.00000	2.22432	2.60209
6.05000	2.22810	2.61896
6.10000	2.23186	2.63615
6.15000	2.23545	2.65215
6.20000	2.23911	2.66882
6.25000	2.24271	2.68516
6.30000	2.24634	2.70157
6.35000	2.24990	2.71682
6.40000	2.25347	2.73353
6.45000	2.25711	2.74864
6.50000	2.26058	2.76411
6.55000	2.26414	2.77881
6.60000	2.26753	2.79327
6.65000	2.27109	2.80939
6.70000	2.27451	2.82348
6.75000	2.27803	2.83764
6.80000	2.28152	2.85230
6.85000	2.28493	2.86557
6.90000	2.28828	2.88049
6.95000	2.29169	2.89361
7.00000	2.29510	2.90676
7.05000	2.29834	2.92093
7.10000	2.30180	2.93406
7.15000	2.30517	2.94677
7.20000	2.30837	2.95903
7.25000	2.31171	2.97200
7.30000	2.31495	2.98415
7.35000	2.31826	2.99705
7.40000	2.32142	3.00767
7.45000	2.32467	3.01970
7.50000	2.32797	3.03185
7.55000	2.33123	3.04239
7.60000	2.33444	3.05364
7.65000	2.33747	3.06464
7.70000	2.34076	3.07537
7.75000	2.34389	3.08629
7.80000	2.34695	3.09566
7.85000	2.35004	3.10602
7.90000	2.35313	3.11533
7.95000	2.35619	3.12437
8.00000	2.35918	3.13406
8.05000	2.36218	3.14199
8.10000	2.36528	3.15126
8.15000	2.36825	3.15944
8.20000	2.37110	3.16748
8.25000	2.37345	3.16490
8.30000	2.37617	3.17163
8.35000	2.37906	3.17873
8.40000	2.38204	3.18550
8.45000	2.38508	3.19298
8.50000	2.38797	3.19833
8.55000	2.39085	3.20553
8.60000	2.39370	3.21050
8.65000	2.39664	3.21649
8.70000	2.39944	3.22209
8.75000	2.40236	3.22756
8.80000	2.40520	3.23230
8.85000	2.40791	3.23672
8.90000	2.41086	3.24123
8.95000	2.41350	3.24603
9.00000	2.41632	3.24987
9.05000	2.41901	3.25369
9.10000	2.42180	3.25697
9.15000	2.42469	3.26008
9.20000	2.42725	3.26319
9.25000	2.43009	3.26607
9.30000	2.43271	3.28202
9.35000	2.43573	3.28423
9.40000	2.43836	3.28528
9.45000	2.44106	3.28666
9.50000	2.44376	3.28774
9.55000	2.44635	3.28849
9.60000	2.44900	3.28954
9.65000	2.45158	3.29073
9.70000	2.45428	3.29070
9.75000	2.45689	3.29156
9.80000	2.45950	3.29129
9.85000	2.46208	3.29152
9.90000	2.46462	3.29066
9.95000	2.46736	3.29018
10.00000	2.46982	3.29010
10.05000	2.47240	3.28853
10.10000	2.47487	3.28707
10.15000	2.47745	3.28532
10.20000	2.48000	3.28329
10.25000	2.48251	3.28146
10.30000	2.48493	3.27903
10.35000	2.48743	3.27626
10.40000	2.48985	3.27338
10.45000	2.49236	3.26987
10.50000	2.49475	3.26621
10.55000	2.49723	3.26191
10.60000	2.49963	3.25747
10.65000	2.50209	3.25354
10.70000	2.50443	3.24875
10.75000	2.50681	3.24355
10.80000	2.50932	3.23829
10.85000	2.51157	3.23290
10.90000	2.51401	3.22677
10.95000	2.51630	3.22038
11.00000	2.51863	3.21372
11.05000	2.52095	3.20764
11.10000	2.52335	3.20027
11.15000	2.52570	3.19282
11.20000	2.52789	3.18520
11.25000	2.53020	3.17705
11.30000	2.53248	3.16909
11.35000	2.53475	3.16049
11.40000	2.53705	3.15107
11.45000	2.53936	3.14276
11.50000	2.54157	3.13249
11.55000	2.54370	3.12255
11.60000	2.54598	3.11268
11.65000	2.54812	3.10199
11.70000	2.55028	3.09111
11.75000	2.55247	3.08082
11.80000	2.55468	3.06863
11.85000	2.55689	3.05694
11.90000	2.55893	3.04468
11.95000	2.56108	3.03222
12.00000	2.56321	3.01899
12.05000	2.56535	3.00646
12.10000	2.56736	2.99327
12.15000	2.56956	2.97911
12.20000	2.57162	2.96467
12.25000	2.57365	2.95006
12.30000	2.57571	2.93503
12.35000	2.57776	2.91959
12.40000	2.57980	2.90423
12.45000	2.58181	2.88801
12.50000	2.58376	2.87091
12.55000	2.58576	2.85369
12.60000	2.58766	2.83670
12.65000	2.58973	2.81791
12.70000	2.59158	2.80041
12.75000	2.59356	2.78098
12.80000	2.59540	2.76246
12.85000	2.59737	2.74250
12.90000	2.59927	2.72165
12.95000	2.60110	2.70194
13.00000	2.60301	2.68146
13.05000	2.60492	2.66038
13.10000	2.60679	2.63873
13.15000	2.60866	2.61629
13.20000	2.61038	2.59443
13.25000	2.61231	2.57136
13.30000	2.61408	2.54855
13.35000	2.61581	2.52542
13.40000	2.61761	2.50137
13.45000	2.61940	2.47719
13.50000	2.62130	2.45121
13.55000	2.62294	2.42642
13.60000	2.62475	2.40074
13.65000	2.62645	2.37480
13.70000	2.62821	2.34747
13.75000	2.62987	2.32198
13.80000	2.63163	2.29409
13.85000	2.63337	2.26497
13.90000	2.63508	2.23723
13.95000	2.63670	2.20852
14.00000	2.63828	2.17124
14.05000	2.64002	2.14249
14.10000	2.64167	2.11423
14.15000	2.64337	2.08515
14.20000	2.64505	2.05599
14.25000	2.64673	2.02732
14.30000	2.64846	1.99699
14.35000	2.65011	1.96784
14.40000	2.65174	1.93835
14.45000	2.65332	1.90837
14.50000	2.65499	1.87678
14.55000	2.65671	1.84485
14.60000	2.65825	1.81430
14.65000	2.65999	1.78313
14.70000	2.66150	1.75139
14.75000	2.66319	1.71902
14.80000	2.66463	1.68660
14.85000	2.66630	1.65345
14.90000	2.66793	1.62039
14.95000	2.66948	1.58698
15.00000	2.67101	1.55333
15.05000	2.67258	1.52047
15.10000	2.67419	1.48515
15.15000	2.67569	1.45169
15.20000	2.67729	1.41628
15.25000	2.67881	1.38092
15.30000	2.68034	1.34660
15.35000	2.68183	1.31120
15.40000	2.68341	1.27546
15.45000	2.68497	1.23909
15.50000	2.68646	1.20162
15.55000	2.68788	1.16500
15.60000	2.68950	1.12801
15.65000	2.69096	1.09231
15.70000	2.69246	1.05490
15.75000	2.69387	1.01736
15.80000	2.69539	0.97826
15.85000	2.69686	0.94021
15.90000	2.69836	0.90312
15.95000	2.69982	0.86439
16.00000	2.70123	0.82671
16.05000	2.70273	0.78794
16.10000	2.70415	0.74928
16.15000	2.70560	0.71033
16.20000	2.70714	0.67119
16.25000	2.70847	0.63261
16.30000	2.70994	0.59302
16.35000	2.71141	0.55482
16.40000	2.71286	0.51518
16.45000	2.71425	0.47643
16.50000	2.71573	0.43635
16.55000	2.71720	0.39694
16.60000	2.71863	0.35788
16.65000	2.72011	0.31777
16.70000	2.72155	0.27945
16.75000	2.72307	0.23982
16.80000	2.72453	0.20337
16.85000	2.72609	0.16905
16.90000	2.72774	0.13586
16.95000	2.72925	0.10494
17.00000	2.73091	0.07432
17.05000	2.73268	0.04977
17.10000	2.73463	0.03451
17.15000	2.73683	0.02819
17.20000	2.73918	0.02472
17.25000	2.74151	0.02263
17.30000	2.74383	0.02102
17.35000	2.74620	0.02038
17.40000	2.74852	0.01925
17.45000	2.75090	0.01866
17.50000	2.75319	0.01762
17.55000	2.75558	0.01746
17.60000	2.75799	0.01698
17.65000	2.76037	0.01720
17.70000	2.76277	0.01608
17.75000	2.76517	0.01637
17.80000	2.76771	0.01589
17.85000	2.76995	0.01541
17.90000	2.77243	0.01541
17.95000	2.77484	0.01530
18.00000	2.77717	0.01511
18.05000	2.77959	0.01474
18.10000	2.78196	0.01481
18.15000	2.78443	0.01418
18.20000	2.78693	0.01462
18.25000	2.78930	0.01439
18.30000	2.79180	0.01391
18.35000	2.79421	0.01403
18.40000	2.79660	0.01459
18.45000	2.79900	0.01387
18.50000	2.80148	0.01344
18.55000	2.80216	0.01337
18.60000	2.80131	0.01365
18.65000	2.80132	0.01403
18.70000	2.80131	0.01428
18.75000	2.80124	0.01337
18.80000	2.80127	0.01376
18.85000	2.80140	0.01365
18.90000	2.80128	0.01368
18.95000	2.80131	0.01361
19.00000	2.80131	0.01368
19.05000	2.80138	0.01399
19.10000	2.80127	0.01372
19.15000	2.80128	0.01337
19.20000	2.80131	0.01361
19.25000	2.80137	0.01357
19.30000	2.80133	0.01368
19.35000	2.80130	0.01365
19.40000	2.80132	0.01387
19.45000	2.80131	0.01384
19.50000	2.80129	0.01376
19.55000	2.80133	0.01368
19.60000	2.80133	0.01372
19.65000	2.80125	0.01380
19.70000	2.80131	0.01391
19.75000	2.80131	0.01384
19.80000	2.80129	0.01357
19.85000	2.80124	0.01361
19.90000	2.80133	0.01387
19.95000	2.80132	0.01403
20.00000	2.80124	0.01329
20.05000	2.80126	0.01353
20.10000	2.80133	0.01365
20.15000	2.80128	0.01376
20.20000	2.80138	0.01353
20.25000	2.80133	0.01353
20.30000	2.80127	0.01372
20.35000	2.80129	0.01391
20.40000	2.80128	0.01380
20.45000	2.80128	0.01341
20.50000	2.80134	0.01341
20.55000	2.80127	0.01376
20.60000	2.80131	0.01357
20.65000	2.80128	0.01341
20.70000	2.80125	0.01399
20.75000	2.80136	0.01341
20.80000	2.80131	0.01361
20.85000	2.80120	0.01322
20.90000	2.80125	0.01387
20.95000	2.80141	0.01361
21.00000	2.80132	0.01414
21.05000	2.80136	0.01353
21.10000	2.80126	0.01349
21.15000	2.80134	0.01368
21.20000	2.80127	0.01344
21.25000	2.80131	0.01333
21.30000	2.80124	0.01376
21.35000	2.80133	0.01372
21.40000	2.80140	0.01365
21.45000	2.80136	0.01344
21.50000	2.80136	0.01341
21.55000	2.80128	0.01333
21.60000	2.80131	0.01395
21.65000	2.80138	0.01357
21.70000	2.80133	0.01325
21.75000	2.80127	0.01372
21.80000	2.80135	0.01368
21.85000	2.80128	0.01333
21.90000	2.80132	0.01376
21.95000	2.80130	0.01380
22.00000	2.80138	0.01380
22.05000	2.80130	0.01380
22.10000	2.80137	0.01347
22.15000	2.80128	0.01349
22.20000	2.80132	0.01387
22.25000	2.80131	0.01344
22.30000	2.80125	0.01341
22.35000	2.80128	0.01365
22.40000	2.80133	0.01368
22.45000	2.80131	0.01376
22.50000	2.80138	0.01337
22.55000	2.80131	0.01325
22.60000	2.80128	0.01353
22.65000	2.80135	0.01387
22.70000	2.80135	0.01418
22.75000	2.80129	0.01329
22.80000	2.80124	0.01372
22.85000	2.80136	0.01337
22.90000	2.80140	0.01333
22.95000	2.80126	0.01341
23.00000	2.80133	0.01414
23.05000	2.80140	0.01372
23.10000	2.80131	0.01376
23.15000	2.80129	0.01344
23.20000	2.80130	0.01349
23.25000	2.80133	0.01380
23.30000	2.80137	0.01361
23.35000	2.80143	0.01380
23.40000	2.80132	0.01372
23.45000	2.80135	0.01372
23.50000	2.80137	0.01341
23.55000	2.80129	0.01357
23.60000	2.80131	0.01347
23.65000	2.80135	0.01380
23.70000	2.80134	0.01329
23.75000	2.80133	0.01384
23.80000	2.80131	0.01347
23.85000	2.80136	0.01387
23.90000	2.80138	0.01341
23.95000	2.80132	0.01372
24.00000	2.80125	0.01344
24.05000	2.80128	0.01372
24.10000	2.80138	0.01376
24.15000	2.80131	0.01353
24.20000	2.80133	0.01310
24.25000	2.80130	0.01387
24.30000	2.80137	0.01376
24.35000	2.80137	0.01403
24.40000	2.80127	0.01357
24.45000	2.80131	0.01353
24.50000	2.80133	0.01353
24.55000	2.80125	0.01372
24.60000	2.80133	0.01372
24.65000	2.80136	0.01337
24.70000	2.80130	0.01387
24.75000	2.80127	0.01372
24.80000	2.80131	0.01341
24.85000	2.80125	0.01349
24.90000	2.80132	0.01365
24.95000	2.80146	0.01353
25.00000	2.80134	0.01407
25.05000	2.80125	0.01349
25.10000	2.80126	0.01372
25.15000	2.80133	0.01376
25.20000	2.80134	0.01353
25.25000	2.80126	0.01337
25.30000	2.80129	0.01357
25.35000	2.80131	0.01380
25.40000	2.80134	0.01376
25.45000	2.80131	0.01365
25.50000	2.80127	0.01329
25.55000	2.80131	0.01365
25.60000	2.80135	0.01353
25.65000	2.80131	0.01361
25.70000	2.80124	0.01376
25.75000	2.80128	0.01384
25.80000	2.80129	0.01347
25.85000	2.80132	0.01368
25.90000	2.80131	0.01361
25.95000	2.80122	0.01395
26.00000	2.80131	0.01368
26.05000	2.80137	0.01344
26.10000	2.80127	0.01361
26.15000	2.80124	0.01365
26.20000	2.80139	0.01341
26.25000	2.80143	0.01365
26.30000	2.80127	0.01329
26.35000	2.80124	0.01395
26.40000	2.80131	0.01341
26.45000	2.80131	0.01380
26.50000	2.80131	0.01333
26.55000	2.80122	0.01384
26.60000	2.80132	0.01387
26.65000	2.80131	0.01387
26.70000	2.80123	0.01365
26.75000	2.80125	0.01380
26.80000	2.80136	0.01353
26.85000	2.80126	0.01403
26.90000	2.80134	0.01368
26.95000	2.80131	0.01337
27.00000	2.80127	0.01424
27.05000	2.80134	0.01384
27.10000	2.80127	0.01361
27.15000	2.80124	0.01337
27.20000	2.80127	0.01329
27.25000	2.80142	0.01372
27.30000	2.80126	0.01365
27.35000	2.80130	0.01337
27.40000	2.80126	0.01391
27.45000	2.80131	0.01349
27.50000	2.80136	0.01357
27.55000	2.80134	0.01357
27.60000	2.80126	0.01365
27.65000	2.80131	0.01395
27.70000	2.80127	0.01357
27.75000	2.80127	0.01368
27.80000	2.80131	0.01357
27.85000	2.80127	0.01365
27.90000	2.80127	0.01387
27.95000	2.80136	0.01372
28.00000	2.80138	0.01322
28.05000	2.80128	0.01391
28.10000	2.80133	0.01341
28.15000	2.80128	0.01337
28.20000	2.80128	0.01325
28.25000	2.80131	0.01357
28.30000	2.80135	0.01372
28.35000	2.80127	0.01368
28.40000	2.80128	0.01349
28.45000	2.80129	0.01368
28.50000	2.80130	0.01365
28.55000	2.80131	0.01353
28.60000	2.80124	0.01310
28.65000	2.80122	0.01341
28.70000	2.80131	0.01384
28.75000	2.80136	0.01368
28.80000	2.80130	0.01333
28.85000	2.80126	0.01325
28.90000	2.80130	0.01368
28.95000	2.80131	0.01365
29.00000	2.80139	0.01357
29.05000	2.80127	0.01333
29.10000	2.80126	0.01368
29.15000	2.80136	0.01372
29.20000	2.80126	0.01318
29.25000	2.80126	0.01347
29.30000	2.80127	0.01414
29.35000	2.80125	0.01380
29.40000	2.80126	0.01368
29.45000	2.80120	0.01333
29.50000	2.80128	0.01347
29.55000	2.80128	0.01384
29.60000	2.80128	0.01357
29.65000	2.80131	0.01344
29.70000	2.80120	0.01361
29.75000	2.80125	0.01341
29.80000	2.80123	0.01353
29.85000	2.80124	0.01361
29.90000	2.80128	0.01341
29.95000	2.80128	0.01357
30.00000	2.80128	0.01357
