Current (mA)	Voltage (V)	Power (mW)
0.00000	0.10113	0.00197
0.05000	0.73034	0.00204
0.10000	1.42601	0.00204
0.15000	1.45604	0.00197
0.20000	1.48013	0.00151
0.25000	1.49985	0.00211
0.30000	1.51739	0.00214
0.35000	1.53319	0.00241
0.40000	1.54711	0.00226
0.45000	1.56035	0.00323
0.50000	1.57218	0.00335
0.55000	1.58339	0.00556
0.60000	1.59264	0.01439
0.65000	1.60033	0.03495
0.70000	1.60748	0.05881
0.75000	1.61425	0.08244
0.80000	1.62117	0.10678
0.85000	1.62767	0.13025
0.90000	1.63443	0.15511
0.95000	1.64079	0.17833
1.00000	1.64745	0.20237
1.05000	1.65387	0.22686
1.10000	1.66006	0.25014
1.15000	1.66635	0.27365
1.20000	1.67246	0.29627
1.25000	1.67865	0.32005
1.30000	1.68462	0.34297
1.35000	1.69073	0.36677
1.40000	1.69679	0.38980
1.45000	1.70242	0.41178
1.50000	1.70836	0.43564
1.55000	1.71392	0.45792
1.60000	1.71968	0.48095
1.65000	1.72523	0.50240
1.70000	1.73093	0.52539
1.75000	1.73653	0.54808
1.80000	1.74182	0.56958
1.85000	1.74739	0.59175
1.90000	1.75262	0.61348
1.95000	1.75802	0.63538
2.00000	1.76317	0.65669
2.05000	1.76851	0.67778
2.10000	1.77371	0.69968
2.15000	1.77882	0.72099
2.20000	1.78386	0.74177
2.25000	1.78885	0.76271
2.30000	1.79391	0.78446
2.35000	1.79891	0.80667
2.40000	1.80384	0.82907
2.45000	1.80882	0.85191
2.50000	1.81355	0.87329
2.55000	1.81851	0.89562
2.60000	1.82320	0.91633
2.65000	1.82811	0.93831
2.70000	1.83293	0.95879
2.75000	1.83755	0.98055
2.80000	1.84230	1.00167
2.85000	1.84684	1.02268
2.90000	1.85154	1.04440
2.95000	1.85599	1.06574
3.00000	1.86063	1.08754
3.05000	1.86525	1.10907
3.10000	1.86967	1.12989
3.15000	1.87425	1.15146
3.20000	1.87859	1.17195
3.25000	1.88309	1.19337
3.30000	1.88738	1.21375
3.35000	1.89183	1.23431
3.40000	1.89626	1.25617
3.45000	1.90044	1.27546
3.50000	1.90486	1.29629
3.55000	1.90907	1.31596
3.60000	1.91331	1.33625
3.65000	1.91743	1.35652
3.70000	1.92166	1.37621
3.75000	1.92589	1.39585
3.80000	1.92989	1.41535
3.85000	1.93410	1.43439
3.90000	1.93807	1.45409
3.95000	1.94224	1.47244
4.00000	1.94613	1.49151
4.05000	1.95019	1.51069
4.10000	1.95426	1.52867
4.15000	1.95810	1.54628
4.20000	1.96197	1.56463
4.25000	1.96587	1.58175
4.30000	1.96974	1.60079
4.35000	1.97363	1.61809
4.40000	1.97754	1.63634
4.45000	1.98135	1.65457
4.50000	1.98503	1.67121
4.55000	1.98891	1.68927
4.60000	1.99252	1.70546
4.65000	1.99632	1.72299
4.70000	1.99995	1.73959
4.75000	2.00374	1.75634
4.80000	2.00742	1.77308
4.85000	2.01094	1.78934
4.90000	2.01461	1.80571
4.95000	2.01819	1.82131
5.00000	2.02183	1.83712
5.05000	2.02527	1.85308
5.10000	2.02890	1.86830
5.15000	2.03244	1.88341
5.20000	2.03588	1.89829
5.25000	2.03939	1.91312
5.30000	2.04279	1.92752
5.35000	2.04633	1.94195
5.40000	2.04972	1.95630
5.45000	2.05308	1.97048
5.50000	2.05646	1.98449
5.55000	2.05981	1.99798
5.60000	2.06315	2.01111
5.65000	2.06637	2.02430
5.70000	2.06972	2.03810
5.75000	2.07302	2.05021
5.80000	2.07629	2.06367
5.85000	2.07948	2.07507
5.90000	2.08263	2.08699
5.95000	2.08595	2.09937
6.00000	2.08904	2.11037
6.05000	2.09231	2.12198
6.10000	2.09545	2.13358
6.15000	2.09848	2.14415
6.20000	2.10170	2.15544
6.25000	2.10475	2.16536
6.30000	2.10777	2.17571
6.35000	2.11080	2.18607
6.40000	2.11390	2.19530
6.45000	2.11702	2.20532
6.50000	2.11989	2.21395
6.55000	2.12291	2.22315
6.60000	2.12586	2.23223
6.65000	2.12883	2.23993
6.70000	2.13168	2.24861
6.75000	2.13466	2.25721
6.80000	2.13759	2.26431
6.85000	2.14052	2.27216
6.90000	2.14334	2.27903
6.95000	2.14611	2.28663
7.00000	2.14897	2.29339
7.05000	2.15178	2.29971
7.10000	2.15456	2.30614
7.15000	2.15746	2.31178
7.20000	2.16017	2.31742
7.25000	2.16296	2.32289
7.30000	2.16563	2.32815
7.35000	2.16842	2.33272
7.40000	2.17115	2.33758
7.45000	2.17315	2.34379
7.50000	2.17592	2.34737
7.55000	2.17840	2.35141
7.60000	2.18114	2.35451
7.65000	2.18373	2.35769
7.70000	2.18648	2.36109
7.75000	2.18915	2.36278
7.80000	2.19164	2.36535
7.85000	2.19429	2.36794
7.90000	2.19678	2.36898
7.95000	2.19948	2.37086
8.00000	2.20186	2.37201
8.05000	2.20452	2.37261
8.10000	2.20704	2.37370
8.15000	2.20948	2.37324
8.20000	2.21205	2.37362
8.25000	2.21449	2.37380
8.30000	2.21696	2.37253
8.35000	2.21941	2.37167
8.40000	2.22189	2.37067
8.45000	2.22436	2.36906
8.50000	2.22677	2.36727
8.55000	2.22920	2.36524
8.60000	2.23154	2.36301
8.65000	2.23391	2.36139
8.70000	2.23625	2.35825
8.75000	2.23864	2.35545
8.80000	2.24097	2.35182
8.85000	2.24339	2.34760
8.90000	2.24572	2.34450
8.95000	2.24795	2.33923
9.00000	2.25028	2.33418
9.05000	2.25243	2.32932
9.10000	2.25466	2.32199
9.15000	2.25690	2.31533
9.20000	2.25916	2.30909
9.25000	2.26131	2.30139
9.30000	2.26351	2.29492
9.35000	2.26563	2.28707
9.40000	2.26779	2.27926
9.45000	2.27001	2.27107
9.50000	2.27221	2.26241
9.55000	2.27422	2.25391
9.60000	2.27638	2.24513
9.65000	2.27847	2.23511
9.70000	2.28061	2.22592
9.75000	2.28256	2.21601
9.80000	2.28474	2.20565
9.85000	2.28674	2.19425
9.90000	2.28874	2.18419
9.95000	2.29078	2.17279
10.00000	2.29276	2.16068
10.05000	2.29479	2.14845
