Wavelength (nm)	Rel. spec. intensity (dB)
849.991	29.703
850.013	29.727
850.036	29.694
850.058	29.768
850.080	29.764
850.102	29.754
850.125	29.786
850.147	29.791
850.169	29.741
850.191	29.713
850.214	29.731
850.236	29.671
850.258	29.713
850.280	29.754
850.302	29.777
850.325	29.713
850.347	29.675
850.369	29.703
850.391	29.652
850.414	29.736
850.436	29.731
850.458	29.809
850.480	29.680
850.502	29.661
850.524	29.736
850.547	29.689
850.569	29.759
850.591	29.741
850.613	29.745
850.635	29.708
850.658	29.699
850.680	29.713
850.702	29.671
850.724	29.754
850.746	29.745
850.768	29.736
850.791	29.759
850.813	29.795
850.835	29.666
850.857	29.717
850.879	29.759
850.901	29.782
850.923	29.850
850.945	29.777
850.968	29.680
850.990	29.666
851.012	29.689
851.034	29.694
851.056	29.764
851.078	29.703
851.100	29.708
851.122	29.764
851.144	29.759
851.167	29.727
851.189	29.764
851.211	29.680
851.233	29.745
851.255	29.759
851.277	29.694
851.299	29.786
851.321	29.731
851.343	29.703
851.365	29.750
851.387	29.759
851.409	29.786
851.431	29.699
851.453	29.708
851.476	29.818
851.498	29.661
851.520	29.745
851.542	29.754
851.564	29.764
851.586	29.741
851.608	29.759
851.630	29.777
851.652	29.750
851.674	29.773
851.696	29.777
851.718	29.727
851.740	29.795
851.762	29.809
851.784	29.731
851.806	29.708
851.828	29.694
851.850	29.786
851.872	29.727
851.894	29.671
851.916	29.675
851.938	29.759
851.960	29.818
851.982	29.805
852.004	29.782
852.026	29.814
852.048	29.764
852.070	29.727
852.092	29.809
852.114	29.791
852.135	29.764
852.157	29.745
852.179	29.786
852.201	29.652
852.223	29.736
852.245	29.741
852.267	29.685
852.289	29.805
852.311	29.745
852.333	29.759
852.355	29.786
852.377	29.722
852.399	29.727
852.421	29.708
852.442	29.786
852.464	29.791
852.486	29.782
852.508	29.791
852.530	29.773
852.552	29.741
852.574	29.777
852.596	29.764
852.618	29.741
852.639	29.703
852.661	29.699
852.683	29.699
852.705	29.814
852.727	29.731
852.749	29.633
852.771	29.768
852.792	29.759
852.814	29.754
852.836	29.750
852.858	29.791
852.880	29.727
852.902	29.708
852.924	29.764
852.945	29.699
852.967	29.694
852.989	29.814
853.011	29.805
853.033	29.805
853.055	29.666
853.076	29.731
853.098	29.703
853.120	29.836
853.142	29.827
853.164	29.731
853.185	29.773
853.207	29.777
853.229	29.694
853.251	29.731
853.272	29.777
853.294	29.768
853.316	29.727
853.338	29.777
853.360	29.703
853.381	29.713
853.403	29.699
853.425	29.671
853.447	29.685
853.468	29.759
853.490	29.750
853.512	29.713
853.534	29.754
853.555	29.754
853.577	29.685
853.599	29.713
853.620	29.786
853.642	29.773
853.664	29.717
853.686	29.661
853.707	29.741
853.729	29.727
853.751	29.717
853.773	29.754
853.794	29.731
853.816	29.713
853.838	29.741
853.859	29.736
853.881	29.741
853.903	29.795
853.924	29.708
853.946	29.741
853.968	29.703
853.989	29.685
854.011	29.827
854.033	29.759
854.054	29.764
854.076	29.745
854.098	29.754
854.119	29.689
854.141	29.782
854.163	29.773
854.184	29.805
854.206	29.647
854.228	29.750
854.249	29.699
854.271	29.754
854.292	29.768
854.314	29.736
854.336	29.745
854.357	29.713
854.379	29.777
854.401	29.759
854.422	29.722
854.444	29.754
854.465	29.722
854.487	29.750
854.509	29.699
854.530	29.773
854.552	29.736
854.573	29.759
854.595	29.777
854.617	29.717
854.638	29.754
854.660	29.713
854.681	29.727
854.703	29.759
854.724	29.759
854.746	29.741
854.767	29.699
854.789	29.727
854.811	29.722
854.832	29.854
854.854	30.013
854.875	30.484
854.897	31.284
854.918	31.998
854.940	32.860
854.961	33.379
854.983	33.731
855.004	33.339
855.026	32.487
855.047	31.392
855.069	30.461
855.090	30.004
855.112	29.827
855.133	29.745
855.155	29.791
855.176	29.750
855.198	29.754
855.219	29.727
855.241	29.657
855.262	29.777
855.284	29.741
855.305	29.731
855.327	29.764
855.348	29.750
855.370	29.759
855.391	29.736
855.413	29.795
855.434	29.850
855.456	29.717
855.477	29.741
855.498	29.745
855.520	29.703
855.541	29.741
855.563	29.736
855.584	29.717
855.606	29.736
855.627	29.750
855.648	29.764
855.670	29.759
855.691	29.731
855.713	29.777
855.734	29.850
855.755	29.717
855.777	29.773
855.798	30.224
855.820	31.011
855.841	31.784
855.862	32.304
855.884	31.934
855.905	30.759
855.927	30.116
855.948	29.827
855.969	29.777
855.991	29.764
856.012	29.754
856.033	29.795
856.055	29.722
856.076	29.750
856.098	29.777
856.119	29.750
856.140	29.717
856.162	29.694
856.183	29.727
856.204	29.745
856.226	29.736
856.247	29.764
856.268	29.777
856.290	29.745
856.311	29.791
856.332	29.717
856.354	29.717
856.375	29.657
856.396	29.713
856.417	29.675
856.439	29.736
856.460	29.754
856.481	29.722
856.503	29.777
856.524	29.741
856.545	29.764
856.566	29.675
856.588	29.745
856.609	29.768
856.630	29.699
856.652	29.717
856.673	29.768
856.694	29.703
856.715	29.694
856.737	29.736
856.758	29.736
856.779	29.713
856.800	29.699
856.822	29.786
856.843	29.727
856.864	29.722
856.885	29.638
856.907	29.777
856.928	29.722
856.949	29.717
856.970	29.754
856.991	29.750
857.013	29.736
857.034	29.782
857.055	29.722
857.076	29.689
857.097	29.727
857.119	29.703
857.140	29.727
857.161	29.727
857.182	29.657
857.203	29.768
857.225	29.694
857.246	29.791
857.267	29.736
857.288	29.773
857.309	29.759
857.330	29.814
857.352	29.703
857.373	29.750
857.394	29.694
857.415	29.717
857.436	29.727
857.457	29.750
857.479	29.836
857.500	29.754
857.521	29.745
857.542	29.777
857.563	29.727
857.584	29.832
857.605	29.736
857.626	29.675
857.648	29.657
857.669	29.722
857.690	29.768
857.711	29.713
857.732	29.786
857.753	29.699
857.774	29.713
857.795	29.717
857.816	29.759
857.837	29.717
857.859	29.773
857.880	29.736
857.901	29.777
857.922	29.717
857.943	29.773
857.964	29.782
857.985	29.717
858.006	29.777
858.027	29.791
858.048	29.699
858.069	29.741
858.090	29.745
858.111	29.736
858.132	29.685
858.153	29.768
858.174	29.841
858.195	29.832
858.216	29.741
858.237	29.703
858.258	29.750
858.279	29.768
858.300	29.782
858.321	29.754
858.342	29.694
858.363	29.675
858.384	29.643
858.406	29.736
858.426	29.773
858.447	29.754
858.468	29.795
858.489	29.708
858.510	29.689
858.531	29.638
858.552	29.731
858.573	29.759
858.594	29.699
858.615	29.745
858.636	29.754
858.657	29.661
858.678	29.689
858.699	29.750
858.720	29.727
858.741	29.750
858.762	29.675
858.783	29.741
858.804	29.795
858.825	29.652
858.846	29.727
858.867	29.703
858.888	29.782
858.908	29.827
858.929	29.759
858.950	29.741
858.971	29.768
858.992	29.764
859.013	29.782
859.034	29.736
859.055	29.727
859.076	29.703
859.097	29.717
859.117	29.661
859.138	29.750
859.159	29.731
859.180	29.703
859.201	29.657
859.222	29.782
859.243	29.745
859.264	29.736
859.284	29.703
859.305	29.722
859.326	29.717
859.347	29.731
859.368	29.791
859.389	29.841
859.410	29.713
859.430	29.805
859.451	29.647
859.472	29.722
859.493	29.782
859.514	29.741
859.534	29.754
859.555	29.809
859.576	29.727
859.597	29.717
859.618	29.722
859.639	29.800
859.659	29.745
859.680	29.717
859.701	29.745
859.722	29.777
859.742	29.768
859.763	29.685
859.784	29.713
859.805	29.652
859.826	29.768
859.846	29.741
859.867	29.699
859.888	29.754
859.909	29.786
859.929	29.750
859.950	29.759
859.971	29.736
