Wavelength (nm)	Rel. spec. intensity (dB)
844.715	29.745
844.738	29.764
844.761	29.736
844.784	29.741
844.807	29.713
844.830	29.675
844.853	29.666
844.876	29.717
844.899	29.727
844.922	29.685
844.945	29.731
844.968	29.759
844.991	29.731
845.014	29.745
845.037	29.754
845.060	29.680
845.083	29.685
845.105	29.689
845.128	29.741
845.151	29.745
845.174	29.741
845.197	29.764
845.220	29.773
845.243	29.722
845.266	29.671
845.289	29.717
845.312	29.722
845.335	29.680
845.358	29.782
845.381	29.708
845.404	29.661
845.427	29.731
845.450	29.717
845.473	29.713
845.496	29.694
845.518	29.675
845.541	29.675
845.564	29.657
845.587	29.741
845.610	29.741
845.633	29.685
845.656	29.768
845.679	29.699
845.702	29.647
845.724	29.708
845.747	29.717
845.770	29.731
845.793	29.647
845.816	29.736
845.839	29.699
845.862	29.731
845.885	29.717
845.907	29.699
845.930	29.685
845.953	29.741
845.976	29.768
845.999	29.713
846.022	29.657
846.045	29.680
846.067	29.741
846.090	29.759
846.113	29.736
846.136	29.773
846.159	29.703
846.182	29.814
846.204	29.708
846.227	29.694
846.250	29.657
846.273	29.657
846.296	29.713
846.318	29.750
846.341	29.805
846.364	29.708
846.387	29.764
846.410	29.814
846.432	29.745
846.455	29.703
846.478	29.782
846.501	29.736
846.523	29.741
846.546	29.661
846.569	29.745
846.592	29.717
846.614	29.782
846.637	29.722
846.660	29.699
846.683	29.805
846.705	29.699
846.728	29.666
846.751	29.773
846.774	29.768
846.796	29.773
846.819	29.717
846.842	29.628
846.865	29.666
846.887	29.745
846.910	29.685
846.933	29.736
846.955	29.699
846.978	29.754
847.001	29.713
847.023	29.708
847.046	29.727
847.069	29.713
847.092	29.708
847.114	29.685
847.137	29.741
847.160	29.736
847.182	29.727
847.205	29.666
847.228	29.666
847.250	29.717
847.273	29.713
847.296	29.685
847.318	29.703
847.341	29.809
847.364	29.750
847.386	29.722
847.409	29.745
847.432	29.671
847.454	29.745
847.477	29.708
847.499	29.777
847.522	29.680
847.545	29.708
847.567	29.713
847.590	29.685
847.613	29.708
847.635	29.708
847.658	29.764
847.680	29.731
847.703	29.750
847.726	29.759
847.748	29.741
847.771	29.731
847.793	29.754
847.816	29.703
847.839	29.694
847.861	29.666
847.884	29.713
847.906	29.741
847.929	29.791
847.951	29.703
847.974	29.791
847.996	29.736
848.019	29.717
848.042	29.750
848.064	29.805
848.087	29.657
848.109	29.745
848.132	29.859
848.154	29.777
848.177	29.795
848.199	29.777
848.222	29.841
848.244	29.791
848.267	29.768
848.289	29.777
848.312	29.841
848.334	29.786
848.357	29.722
848.379	29.694
848.402	29.694
848.424	29.722
848.447	29.731
848.469	29.722
848.492	29.722
848.514	29.782
848.537	29.759
848.559	29.759
848.582	29.782
848.604	29.836
848.627	29.952
848.649	30.269
848.672	30.938
848.694	32.188
848.717	33.491
848.739	34.863
848.761	36.519
848.784	37.460
848.806	36.602
848.829	35.115
848.851	33.988
848.874	32.721
848.896	31.402
848.919	30.418
848.941	30.039
848.963	29.912
848.986	29.917
849.008	29.908
849.031	29.934
849.053	30.306
849.075	30.607
849.098	31.096
849.120	31.096
849.143	30.689
849.165	30.637
849.187	30.824
849.210	31.146
849.232	31.951
849.254	32.891
849.277	33.908
849.299	34.807
849.322	34.666
849.344	33.477
849.366	32.572
849.389	31.562
849.411	30.626
849.433	30.026
849.456	29.877
849.478	29.926
849.500	29.926
849.523	30.128
849.545	30.354
849.567	30.734
849.590	31.489
849.612	32.982
849.634	34.726
849.657	36.387
849.679	37.722
849.701	38.385
849.724	37.993
849.746	37.428
849.768	37.709
849.791	38.216
849.813	38.054
849.835	36.754
849.857	35.298
849.880	34.084
849.902	32.916
849.924	31.661
849.946	30.588
849.969	30.204
849.991	29.974
850.013	29.934
850.036	30.035
850.058	30.212
850.080	30.618
850.102	31.252
850.125	32.395
850.147	33.707
850.169	35.379
850.191	36.702
850.214	37.188
850.236	37.725
850.258	37.989
850.280	37.557
850.302	36.101
850.325	34.843
850.347	33.495
850.369	32.049
850.391	30.508
850.414	29.921
850.436	29.800
850.458	29.741
850.480	29.850
850.502	29.823
850.524	29.903
850.547	30.199
850.569	31.089
850.591	31.978
850.613	32.945
850.635	34.069
850.658	34.619
850.680	34.079
850.702	33.094
850.724	31.790
850.746	30.410
850.768	29.956
850.791	29.841
850.813	29.750
850.835	29.750
850.857	29.773
850.879	29.859
850.901	29.722
850.923	29.741
850.945	29.791
850.968	29.795
850.990	29.800
851.012	29.791
851.034	29.736
851.056	29.750
851.078	29.689
851.100	29.666
851.122	29.699
851.144	29.647
851.167	29.671
851.189	29.782
851.211	29.722
851.233	29.754
851.255	29.795
