Current (mA)	Voltage (V)	Power (mW)
0.00000	0.11158	0.00147
0.05000	0.84043	0.00080
0.10000	1.35771	0.00103
0.15000	1.38222	0.00129
0.20000	1.40066	0.00155
0.25000	1.41517	0.00181
0.30000	1.42802	0.00136
0.35000	1.43945	0.00133
0.40000	1.44936	0.00189
0.45000	1.45879	0.00170
0.50000	1.46722	0.00126
0.55000	1.47541	0.00256
0.60000	1.48283	0.00211
0.65000	1.49004	0.00230
0.70000	1.49686	0.00170
0.75000	1.50322	0.00268
0.80000	1.50953	0.00264
0.85000	1.51533	0.00293
0.90000	1.52114	0.00297
0.95000	1.52651	0.00264
1.00000	1.53197	0.00346
1.05000	1.53714	0.00360
1.10000	1.54221	0.00320
1.15000	1.54697	0.00398
1.20000	1.55170	0.00443
1.25000	1.55638	0.00450
1.30000	1.56065	0.00491
1.35000	1.56513	0.00495
1.40000	1.56953	0.00556
1.45000	1.57362	0.00600
1.50000	1.57779	0.00611
1.55000	1.58167	0.00623
1.60000	1.58581	0.00698
1.65000	1.58956	0.00779
1.70000	1.59333	0.00903
1.75000	1.59700	0.01116
1.80000	1.60033	0.01616
1.85000	1.60374	0.02576
1.90000	1.60647	0.04064
1.95000	1.60932	0.05780
2.00000	1.61205	0.07541
2.05000	1.61479	0.09425
2.10000	1.61747	0.11275
2.15000	1.62019	0.13047
2.20000	1.62285	0.14853
2.25000	1.62562	0.16617
2.30000	1.62830	0.18415
2.35000	1.63089	0.20098
2.40000	1.63354	0.21791
2.45000	1.63626	0.23552
2.50000	1.63893	0.25193
2.55000	1.64156	0.26887
2.60000	1.64403	0.28546
2.65000	1.64680	0.30199
2.70000	1.64934	0.32001
2.75000	1.65179	0.33698
2.80000	1.65444	0.35485
2.85000	1.65680	0.37320
2.90000	1.65938	0.39245
2.95000	1.66182	0.41122
3.00000	1.66420	0.43055
3.05000	1.66670	0.45063
3.10000	1.66911	0.46984
3.15000	1.67155	0.48996
3.20000	1.67387	0.50879
3.25000	1.67628	0.52820
3.30000	1.67869	0.54722
3.35000	1.68110	0.56693
3.40000	1.68352	0.58595
3.45000	1.68580	0.60457
3.50000	1.68824	0.62409
3.55000	1.69050	0.64196
3.60000	1.69292	0.66129
3.65000	1.69518	0.67863
3.70000	1.69760	0.69736
3.75000	1.69995	0.71642
3.80000	1.70233	0.73414
3.85000	1.70464	0.75231
3.90000	1.70695	0.77051
3.95000	1.70923	0.78909
4.00000	1.71140	0.80652
4.05000	1.71382	0.82395
4.10000	1.71611	0.84259
4.15000	1.71834	0.85982
4.20000	1.72065	0.87796
4.25000	1.72292	0.89545
4.30000	1.72508	0.91232
4.35000	1.72736	0.92952
4.40000	1.72961	0.94716
4.45000	1.73191	0.96472
4.50000	1.73411	0.98102
4.55000	1.73632	0.99931
4.60000	1.73857	1.01486
4.65000	1.74073	1.03171
4.70000	1.74297	1.04716
4.75000	1.74512	1.06402
4.80000	1.74746	1.08054
4.85000	1.74955	1.09718
4.90000	1.75173	1.11273
4.95000	1.75389	1.12929
5.00000	1.75615	1.14529
5.05000	1.75820	1.16129
5.10000	1.76046	1.17744
5.15000	1.76266	1.19348
5.20000	1.76479	1.20944
5.25000	1.76699	1.22596
5.30000	1.76913	1.24095
5.35000	1.77115	1.25662
5.40000	1.77335	1.27341
5.45000	1.77545	1.28892
5.50000	1.77764	1.30481
5.55000	1.77963	1.32013
5.60000	1.78178	1.33602
5.65000	1.78391	1.35165
5.70000	1.78598	1.36791
5.75000	1.78810	1.38294
5.80000	1.79014	1.39939
5.85000	1.79227	1.41509
5.90000	1.79431	1.43012
5.95000	1.79642	1.44555
6.00000	1.79848	1.46137
6.05000	1.80055	1.47711
6.10000	1.80258	1.49265
6.15000	1.80468	1.50784
6.20000	1.80670	1.52365
6.25000	1.80869	1.53826
6.30000	1.81081	1.55367
6.35000	1.81277	1.56813
6.40000	1.81485	1.58331
6.45000	1.81685	1.59905
6.50000	1.81889	1.61314
6.55000	1.82093	1.62851
6.60000	1.82285	1.64216
6.65000	1.82497	1.65677
6.70000	1.82685	1.67113
6.75000	1.82900	1.68589
6.80000	1.83094	1.69976
6.85000	1.83293	1.71382
6.90000	1.83491	1.72780
6.95000	1.83693	1.74151
7.00000	1.83895	1.75495
7.05000	1.84083	1.76833
7.10000	1.84293	1.78148
7.15000	1.84484	1.79512
7.20000	1.84685	1.80798
7.25000	1.84874	1.82111
7.30000	1.85069	1.83382
7.35000	1.85272	1.84653
7.40000	1.85457	1.85835
7.45000	1.85658	1.87125
7.50000	1.85851	1.88403
7.55000	1.86040	1.89561
7.60000	1.86237	1.90780
7.65000	1.86430	1.91898
7.70000	1.86625	1.93068
7.75000	1.86817	1.94250
7.80000	1.87000	1.95363
7.85000	1.87193	1.96484
7.90000	1.87381	1.97584
7.95000	1.87576	1.98705
8.00000	1.87757	1.99834
8.05000	1.87953	2.00761
8.10000	1.88147	2.01853
8.15000	1.88330	2.02889
8.20000	1.88516	2.03939
8.25000	1.88703	2.04941
8.30000	1.88891	2.05846
8.35000	1.89075	2.06828
8.40000	1.89269	2.07782
8.45000	1.89456	2.08721
8.50000	1.89636	2.09659
8.55000	1.89831	2.10635
8.60000	1.90011	2.11502
8.65000	1.90199	2.12351
8.70000	1.90379	2.13245
8.75000	1.90560	2.14160
8.80000	1.90750	2.15009
8.85000	1.90936	2.15880
8.90000	1.91120	2.16669
8.95000	1.91290	2.17468
9.00000	1.91481	2.18276
9.05000	1.91653	2.19042
9.10000	1.91842	2.19835
9.15000	1.92021	2.20608
