Wavelength (nm)	Rel. spec. intensity (dB)
846.569	29.881
846.592	29.872
846.614	29.786
846.637	29.832
846.660	29.868
846.683	29.868
846.705	29.805
846.728	29.818
846.751	29.827
846.774	29.908
846.796	29.809
846.819	29.800
846.842	29.795
846.865	29.809
846.887	29.805
846.910	29.854
846.933	29.782
846.955	29.868
846.978	29.854
847.001	29.782
847.023	29.921
847.046	29.832
847.069	29.877
847.092	29.841
847.114	29.850
847.137	29.832
847.160	29.854
847.182	29.877
847.205	29.881
847.228	29.777
847.250	29.886
847.273	29.894
847.296	29.854
847.318	29.764
847.341	29.836
847.364	29.814
847.386	29.827
847.409	29.809
847.432	29.868
847.454	29.836
847.477	29.827
847.499	29.841
847.522	29.903
847.545	29.786
847.567	29.841
847.590	29.926
847.613	29.868
847.635	29.777
847.658	29.850
847.680	29.881
847.703	29.894
847.726	29.868
847.748	29.814
847.771	29.764
847.793	29.786
847.816	29.786
847.839	29.868
847.861	29.841
847.884	29.841
847.906	29.814
847.929	29.809
847.951	29.786
847.974	29.777
847.996	29.868
848.019	29.809
848.042	29.823
848.064	29.872
848.087	29.786
848.109	29.832
848.132	29.814
848.154	29.903
848.177	29.827
848.199	29.872
848.222	29.841
848.244	29.827
848.267	29.845
848.289	29.854
848.312	29.832
848.334	29.886
848.357	29.818
848.379	29.854
848.402	29.841
848.424	29.791
848.447	29.823
848.469	29.881
848.492	29.827
848.514	29.786
848.537	29.850
848.559	29.859
848.582	29.809
848.604	29.845
848.627	29.791
848.649	29.827
848.672	29.800
848.694	29.886
848.717	29.809
848.739	29.805
848.761	29.836
848.784	29.809
848.806	29.899
848.829	29.881
848.851	29.886
848.874	29.872
848.896	29.877
848.919	29.921
848.941	29.868
848.963	29.814
848.986	29.868
849.008	29.827
849.031	29.795
849.053	29.877
849.075	29.890
849.098	29.773
849.120	29.814
849.143	29.809
849.165	29.872
849.187	29.777
849.210	29.841
849.232	29.845
849.254	29.859
849.277	29.823
849.299	29.823
849.322	29.845
849.344	29.823
849.366	29.890
849.389	29.872
849.411	29.886
849.433	29.859
849.456	29.809
849.478	29.814
849.500	29.782
849.523	29.863
849.545	29.890
849.567	29.845
849.590	29.886
849.612	29.872
849.634	29.841
849.657	29.827
849.679	29.912
849.701	29.890
849.724	29.773
849.746	29.890
849.768	29.818
849.791	29.832
849.813	29.863
849.835	29.782
849.857	29.836
849.880	29.930
849.902	29.881
849.924	29.809
849.946	29.908
849.969	29.845
849.991	29.939
850.013	30.035
850.036	30.500
850.058	31.103
850.080	31.714
850.102	32.450
850.125	33.418
850.147	33.677
850.169	32.378
850.191	31.000
850.214	30.175
850.236	29.956
850.258	29.850
850.280	29.868
850.302	29.818
850.325	29.894
850.347	29.877
850.369	29.859
850.391	29.809
850.414	29.854
850.436	29.854
850.458	29.899
850.480	29.926
850.502	29.903
850.524	30.000
850.547	30.261
850.569	30.824
850.591	31.489
850.613	32.082
850.635	32.945
850.658	33.530
850.680	32.840
850.702	31.316
850.724	30.378
850.746	30.013
850.768	29.921
850.791	29.872
850.813	29.890
850.835	29.934
850.857	30.069
850.879	30.220
850.901	30.531
850.923	31.106
850.945	32.071
850.968	33.124
850.990	34.317
851.012	35.530
851.034	36.775
851.056	36.812
851.078	36.377
851.100	36.821
851.122	37.579
851.144	37.757
851.167	36.419
851.189	34.676
851.211	33.272
851.233	31.749
851.255	30.674
851.277	30.162
851.299	29.969
851.321	29.974
851.343	30.069
851.365	30.099
851.387	30.294
851.409	30.755
851.431	31.477
851.453	32.730
851.476	34.086
851.498	35.719
851.520	37.164
851.542	38.071
851.564	38.243
851.586	38.076
851.608	37.308
851.630	35.406
851.652	33.930
851.674	32.011
851.696	30.500
851.718	30.086
851.740	29.934
851.762	29.899
851.784	29.899
851.806	29.903
851.828	29.894
851.850	30.026
851.872	30.538
851.894	31.421
851.916	32.287
851.938	33.224
851.960	34.160
851.982	34.422
852.004	33.139
852.026	31.386
852.048	30.318
852.070	29.881
852.092	29.859
852.114	29.859
852.135	29.939
852.157	29.845
852.179	29.850
852.201	29.881
852.223	29.917
852.245	29.899
852.267	29.841
852.289	29.795
852.311	29.894
852.333	29.845
852.355	29.886
852.377	29.943
852.399	29.836
852.421	29.850
852.442	29.917
852.464	29.859
852.486	29.814
852.508	29.854
852.530	29.795
852.552	29.881
852.574	29.881
852.596	29.886
852.618	29.795
852.639	29.782
852.661	29.836
852.683	29.872
852.705	29.886
852.727	29.868
852.749	29.863
852.771	29.841
852.792	29.877
852.814	29.881
852.836	29.912
852.858	29.890
852.880	29.934
852.902	29.832
852.924	29.845
852.945	29.795
852.967	29.939
852.989	29.850
853.011	29.827
853.033	29.827
853.055	29.930
853.076	29.912
853.098	29.926
853.120	29.850
853.142	29.934
853.164	29.868
853.185	29.859
853.207	29.836
853.229	29.836
853.251	29.903
853.272	29.908
853.294	29.800
853.316	29.827
853.338	29.782
853.360	29.827
853.381	29.832
853.403	29.850
853.425	29.912
853.447	29.859
853.468	29.886
853.490	29.854
853.512	29.859
853.534	29.917
853.555	29.930
853.577	29.859
853.599	29.863
853.620	29.881
853.642	29.795
853.664	29.827
853.686	29.768
853.707	29.868
853.729	29.800
853.751	29.809
853.773	29.877
853.794	29.863
853.816	29.845
853.838	29.800
853.859	29.764
853.881	29.841
853.903	29.903
853.924	29.854
853.946	29.836
853.968	29.899
853.989	29.836
854.011	29.823
854.033	29.850
854.054	29.845
854.076	29.850
854.098	29.903
854.119	29.877
854.141	29.877
854.163	29.854
854.184	29.850
854.206	29.854
854.228	29.943
854.249	29.868
854.271	29.877
854.292	29.832
854.314	29.795
854.336	29.791
854.357	29.881
854.379	29.872
854.401	29.841
854.422	29.854
854.444	29.823
854.465	29.841
854.487	29.795
854.509	29.818
854.530	29.841
854.552	29.782
854.573	29.708
854.595	29.845
854.617	29.805
854.638	29.854
854.660	29.863
854.681	29.818
854.703	29.814
854.724	29.886
854.746	29.827
854.767	29.841
854.789	29.800
854.811	29.877
854.832	29.795
854.854	29.795
854.875	29.818
854.897	29.881
854.918	29.786
854.940	29.827
854.961	29.877
854.983	29.827
855.004	29.809
855.026	29.872
855.047	29.818
855.069	29.841
855.090	29.800
855.112	29.809
855.133	29.850
855.155	29.768
855.176	29.773
855.198	29.850
855.219	29.868
855.241	29.850
855.262	29.823
855.284	29.841
855.305	29.836
855.327	29.827
855.348	29.823
855.370	29.777
855.391	29.768
855.413	29.745
855.434	29.782
855.456	29.863
855.477	29.845
855.498	29.814
855.520	29.809
855.541	29.823
855.563	29.841
855.584	29.850
855.606	29.809
855.627	29.863
855.648	29.886
855.670	29.841
855.691	29.777
855.713	29.881
855.734	29.859
855.755	29.823
855.777	29.850
855.798	29.868
855.820	29.786
855.841	29.899
855.862	29.872
855.884	29.863
855.905	29.754
855.927	29.809
855.948	29.903
855.969	29.795
855.991	29.814
856.012	29.777
856.033	29.795
856.055	29.881
856.076	29.805
856.098	29.823
856.119	29.809
856.140	29.859
856.162	29.805
856.183	29.836
856.204	29.805
856.226	29.777
856.247	29.841
856.268	29.850
856.290	29.814
856.311	29.845
856.332	29.886
856.354	29.859
856.375	29.859
856.396	29.859
856.417	29.832
856.439	29.814
856.460	29.759
856.481	29.827
856.503	29.841
856.524	29.859
856.545	29.805
