Wavelength (nm)	Rel. spec. intensity (dB)
849.969	29.805
849.991	29.886
850.013	29.886
850.036	29.863
850.058	29.809
850.080	29.899
850.102	29.795
850.125	29.850
850.147	29.795
850.169	29.823
850.191	29.845
850.214	29.836
850.236	29.894
850.258	29.881
850.280	29.863
850.302	29.823
850.325	29.854
850.347	29.827
850.369	29.827
850.391	29.850
850.414	29.800
850.436	29.903
850.458	29.786
850.480	29.782
850.502	29.841
850.524	29.845
850.547	29.818
850.569	29.809
850.591	29.939
850.613	29.859
850.635	29.832
850.658	29.894
850.680	29.859
850.702	29.903
850.724	29.863
850.746	29.827
850.768	29.845
850.791	29.759
850.813	29.800
850.835	29.823
850.857	29.899
850.879	29.814
850.901	29.795
850.923	29.741
850.945	29.745
850.968	29.832
850.990	29.791
851.012	29.795
851.034	29.881
851.056	29.841
851.078	29.800
851.100	29.841
851.122	29.899
851.144	29.786
851.167	29.854
851.189	29.832
851.211	29.854
851.233	29.841
851.255	29.845
851.277	29.881
851.299	29.841
851.321	29.890
851.343	29.800
851.365	29.850
851.387	29.823
851.409	29.786
851.431	29.836
851.453	29.845
851.476	29.850
851.498	29.836
851.520	29.795
851.542	29.823
851.564	29.800
851.586	29.854
851.608	29.956
851.630	29.868
851.652	29.894
851.674	29.886
851.696	29.827
851.718	29.908
851.740	29.841
851.762	29.912
851.784	29.836
851.806	29.814
851.828	29.750
851.850	29.859
851.872	29.736
851.894	29.863
851.916	29.800
851.938	29.845
851.960	29.894
851.982	29.863
852.004	29.863
852.026	29.823
852.048	29.782
852.070	29.768
852.092	29.841
852.114	29.868
852.135	29.791
852.157	29.863
852.179	29.814
852.201	29.773
852.223	29.809
852.245	29.863
852.267	29.759
852.289	29.845
852.311	29.818
852.333	29.877
852.355	29.863
852.377	29.818
852.399	29.859
852.421	29.782
852.442	29.768
852.464	29.795
852.486	29.841
852.508	29.845
852.530	29.845
852.552	29.832
852.574	29.926
852.596	29.832
852.618	29.827
852.639	29.877
852.661	29.859
852.683	29.841
852.705	29.805
852.727	29.863
852.749	29.899
852.771	29.863
852.792	29.836
852.814	29.786
852.836	29.868
852.858	29.890
852.880	29.868
852.902	29.827
852.924	29.795
852.945	29.890
852.967	29.777
852.989	29.854
853.011	29.773
853.033	29.863
853.055	29.764
853.076	29.881
853.098	29.841
853.120	29.805
853.142	29.782
853.164	29.736
853.185	29.777
853.207	29.823
853.229	29.886
853.251	29.832
853.272	29.868
853.294	29.881
853.316	29.854
853.338	29.823
853.360	29.930
853.381	29.845
853.403	29.836
853.425	29.850
853.447	29.868
853.468	29.809
853.490	29.836
853.512	29.777
853.534	29.841
853.555	29.877
853.577	29.836
853.599	29.894
853.620	29.877
853.642	29.863
853.664	29.872
853.686	29.805
853.707	29.841
853.729	29.841
853.751	29.832
853.773	29.791
853.794	29.809
853.816	29.791
853.838	29.912
853.859	29.850
853.881	29.777
853.903	29.841
853.924	29.791
853.946	29.850
853.968	29.809
853.989	29.868
854.011	29.850
854.033	29.903
854.054	29.845
854.076	29.827
854.098	29.841
854.119	29.791
854.141	29.845
854.163	29.859
854.184	29.863
854.206	29.795
854.228	29.836
854.249	29.750
854.271	29.859
854.292	29.943
854.314	29.836
854.336	29.791
854.357	29.805
854.379	29.845
854.401	29.795
854.422	29.800
854.444	29.859
854.465	29.823
854.487	29.800
854.509	29.823
854.530	29.841
854.552	29.872
854.573	29.841
854.595	29.800
854.617	29.917
854.638	29.841
854.660	29.841
854.681	29.886
854.703	29.836
854.724	29.903
854.746	29.863
854.767	29.890
854.789	29.965
854.811	30.107
854.832	30.422
854.854	30.983
854.875	31.626
854.897	32.487
854.918	33.247
854.940	33.813
854.961	33.938
854.983	33.533
855.004	32.370
855.026	30.881
855.047	30.261
855.069	29.965
855.090	29.877
855.112	29.917
855.133	29.978
855.155	29.845
855.176	29.823
855.198	29.782
855.219	29.872
855.241	29.836
855.262	29.773
855.284	29.863
855.305	29.795
855.327	29.917
855.348	29.818
855.370	29.881
855.391	29.841
855.413	29.832
855.434	29.854
855.456	29.872
855.477	29.908
855.498	29.917
855.520	29.791
855.541	29.899
855.563	29.786
855.584	29.827
855.606	29.859
855.627	29.881
855.648	29.863
855.670	29.908
855.691	29.917
855.713	29.832
855.734	29.814
855.755	29.939
855.777	29.899
855.798	29.877
855.820	29.850
855.841	29.832
855.862	29.881
855.884	29.805
855.905	29.754
855.927	29.832
855.948	29.863
855.969	29.881
855.991	29.912
856.012	29.868
856.033	29.881
856.055	29.877
856.076	29.814
856.098	29.886
856.119	29.795
856.140	29.881
856.162	29.754
856.183	29.894
856.204	29.800
856.226	29.863
856.247	29.859
856.268	29.850
856.290	29.841
856.311	29.850
856.332	29.863
856.354	29.863
856.375	29.841
856.396	29.795
856.417	29.877
856.439	29.777
856.460	29.805
856.481	29.768
856.503	29.921
856.524	29.868
856.545	29.921
856.566	29.877
856.588	29.836
856.609	29.845
856.630	29.827
856.652	29.872
856.673	29.868
856.694	29.899
856.715	29.886
856.737	29.872
856.758	29.868
856.779	29.832
856.800	29.845
856.822	29.800
856.843	29.917
856.864	29.903
856.885	29.845
856.907	29.805
856.928	29.768
856.949	29.845
856.970	29.845
856.991	29.886
857.013	29.850
857.034	29.859
857.055	29.827
857.076	29.845
857.097	29.836
857.119	29.841
857.140	29.868
857.161	29.854
857.182	29.814
857.203	29.764
857.225	29.854
857.246	29.814
857.267	29.854
857.288	29.845
857.309	29.872
857.330	29.841
857.352	29.800
857.373	29.886
857.394	29.926
857.415	29.886
857.436	29.809
857.457	29.841
857.479	29.921
857.500	29.809
857.521	29.741
857.542	29.832
857.563	29.809
857.584	29.832
857.605	29.886
857.626	29.877
857.648	29.886
857.669	29.868
857.690	29.863
857.711	29.786
857.732	29.782
857.753	29.795
857.774	29.845
857.795	29.841
857.816	29.841
857.837	29.850
857.859	29.868
857.880	29.912
857.901	29.827
857.922	29.800
857.943	29.854
857.964	29.827
857.985	29.877
858.006	29.845
858.027	29.836
858.048	29.854
858.069	29.791
858.090	29.894
858.111	29.886
858.132	29.832
858.153	29.881
858.174	29.800
858.195	29.823
858.216	29.836
858.237	29.750
858.258	29.872
858.279	29.886
858.300	29.894
858.321	29.841
858.342	29.899
858.363	29.845
858.384	29.881
858.406	29.877
858.426	29.845
858.447	29.809
858.468	29.872
858.489	29.773
858.510	29.782
858.531	29.881
858.552	29.854
858.573	29.890
858.594	29.850
858.615	29.836
858.636	29.845
858.657	29.832
858.678	29.854
858.699	29.795
858.720	29.836
858.741	29.868
858.762	29.890
858.783	29.823
858.804	29.805
858.825	29.809
858.846	29.868
858.867	29.795
858.888	29.863
858.908	29.899
858.929	29.868
858.950	29.877
858.971	29.827
858.992	29.850
859.013	29.868
859.034	29.836
859.055	29.814
859.076	29.854
859.097	29.921
859.117	29.881
859.138	29.881
859.159	29.877
859.180	29.872
859.201	29.836
859.222	29.872
859.243	29.836
859.264	29.872
859.284	29.841
