Wavelength (nm)	Rel. spec. intensity (dB)
843.675	29.685
843.698	29.666
843.721	29.750
843.745	29.713
843.768	29.666
843.791	29.708
843.814	29.657
843.837	29.685
843.860	29.722
843.883	29.741
843.907	29.768
843.930	29.703
843.953	29.685
843.976	29.680
843.999	29.671
844.022	29.685
844.045	29.671
844.069	29.750
844.092	29.809
844.115	29.727
844.138	29.713
844.161	29.736
844.184	29.745
844.207	29.685
844.230	29.717
844.253	29.717
844.276	29.689
844.300	29.736
844.323	29.708
844.346	29.727
844.369	29.713
844.392	29.731
844.415	29.754
844.438	29.759
844.461	29.731
844.484	29.717
844.507	29.689
844.530	29.782
844.553	29.741
844.576	29.773
844.599	29.666
844.622	29.741
844.645	29.671
844.668	29.671
844.692	29.727
844.715	29.713
844.738	29.782
844.761	29.703
844.784	29.764
844.807	29.680
844.830	29.713
844.853	29.689
844.876	29.750
844.899	29.713
844.922	29.777
844.945	29.745
844.968	29.722
844.991	29.666
845.014	29.786
845.037	29.741
845.060	29.736
845.083	29.736
845.105	29.814
845.128	29.699
845.151	29.777
845.174	29.694
845.197	29.699
845.220	29.661
845.243	29.759
845.266	29.713
845.289	29.680
845.312	29.768
845.335	29.717
845.358	29.675
845.381	29.731
845.404	29.689
845.427	29.657
845.450	29.657
845.473	29.708
845.496	29.666
845.518	29.713
845.541	29.661
845.564	29.773
845.587	29.795
845.610	29.708
845.633	29.675
845.656	29.736
845.679	29.722
845.702	29.694
845.724	29.731
845.747	29.754
845.770	29.703
845.793	29.694
845.816	29.708
845.839	29.731
845.862	29.675
845.885	29.675
845.907	29.773
845.930	29.675
845.953	29.666
845.976	29.694
845.999	29.727
846.022	29.736
846.045	29.647
846.067	29.708
846.090	29.731
846.113	29.708
846.136	29.694
846.159	29.722
846.182	29.685
846.204	29.717
846.227	29.777
846.250	29.694
846.273	29.699
846.296	29.791
846.318	29.736
846.341	29.703
846.364	29.675
846.387	29.708
846.410	29.759
846.432	29.680
846.455	29.699
846.478	29.666
846.501	29.605
846.523	29.750
846.546	29.750
846.569	29.699
846.592	29.727
846.614	29.773
846.637	29.745
846.660	29.754
846.683	29.736
846.705	29.727
846.728	29.717
846.751	29.675
846.774	29.638
846.796	29.717
846.819	29.731
846.842	29.722
846.865	29.652
846.887	29.689
846.910	29.708
846.933	29.675
846.955	29.685
846.978	29.795
847.001	29.666
847.023	29.680
847.046	29.768
847.069	29.786
847.092	29.731
847.114	29.699
847.137	29.708
847.160	29.680
847.182	29.699
847.205	29.713
847.228	29.832
847.250	29.782
847.273	29.764
847.296	29.699
847.318	29.671
847.341	29.699
847.364	29.736
847.386	29.689
847.409	29.647
847.432	29.643
847.454	29.764
847.477	29.699
847.499	29.689
847.522	29.624
847.545	29.666
847.567	29.764
847.590	29.713
847.613	29.694
847.635	29.703
847.658	29.609
847.680	29.750
847.703	29.750
847.726	29.708
847.748	29.685
847.771	29.736
847.793	29.609
847.816	29.666
847.839	29.764
847.861	29.717
847.884	29.699
847.906	29.652
847.929	29.713
847.951	29.703
847.974	29.722
847.996	29.685
848.019	29.717
848.042	29.731
848.064	29.727
848.087	29.759
848.109	29.699
848.132	29.689
848.154	29.717
848.177	29.786
848.199	29.713
848.222	29.666
848.244	29.727
848.267	29.736
848.289	29.741
848.312	29.777
848.334	29.759
848.357	29.703
848.379	29.736
848.402	29.717
848.424	29.619
848.447	29.722
848.469	29.741
848.492	29.727
848.514	29.717
848.537	29.782
848.559	30.853
848.582	32.582
848.604	34.454
848.627	35.953
848.649	37.657
848.672	38.673
848.694	37.856
848.717	36.355
848.739	35.109
848.761	33.773
848.784	32.380
848.806	30.824
848.829	30.086
848.851	29.912
848.874	29.786
848.896	29.745
848.919	29.764
848.941	29.750
848.963	29.768
848.986	29.661
849.008	29.754
849.031	29.841
849.053	29.768
849.075	29.699
849.098	29.750
849.120	29.791
849.143	29.722
849.165	29.661
849.187	29.638
849.210	29.745
849.232	29.805
849.254	29.814
849.277	29.759
