Current (mA)	Voltage (V)	Power (mW)
0.00000	0.10585	0.00214
0.05000	0.68735	0.00226
0.10000	1.42746	0.00185
0.15000	1.46833	0.00233
0.20000	1.50050	0.00170
0.25000	1.52648	0.00174
0.30000	1.54959	0.00200
0.35000	1.57031	0.00197
0.40000	1.58846	0.00147
0.45000	1.60578	0.00174
0.50000	1.62148	0.00181
0.55000	1.63655	0.00200
0.60000	1.65048	0.00174
0.65000	1.66399	0.00193
0.70000	1.67692	0.00185
0.75000	1.68885	0.00245
0.80000	1.70065	0.00252
0.85000	1.71173	0.00271
0.90000	1.72268	0.00372
0.95000	1.73264	0.00660
1.00000	1.74246	0.01470
1.05000	1.75164	0.02771
1.10000	1.76030	0.04209
1.15000	1.76914	0.05664
1.20000	1.77760	0.07058
1.25000	1.78614	0.08468
1.30000	1.79444	0.09847
1.35000	1.80278	0.11186
1.40000	1.81101	0.12584
1.45000	1.81898	0.13757
1.50000	1.82689	0.15029
1.55000	1.83466	0.16269
1.60000	1.84246	0.17477
1.65000	1.84994	0.18580
1.70000	1.85760	0.19694
1.75000	1.86510	0.20834
1.80000	1.87222	0.21791
1.85000	1.87962	0.22823
1.90000	1.88655	0.23736
1.95000	1.89366	0.24673
2.00000	1.90042	0.25515
2.05000	1.90741	0.26348
2.10000	1.91420	0.27166
2.15000	1.92077	0.27930
2.20000	1.92736	0.28648
2.25000	1.93383	0.29234
2.30000	1.94017	0.29832
2.35000	1.94647	0.30445
2.40000	1.95276	0.30995
2.45000	1.95901	0.31504
2.50000	1.96493	0.31926
2.55000	1.97095	0.32360
2.60000	1.97685	0.32711
2.65000	1.98266	0.33080
2.70000	1.98857	0.33257
2.75000	1.99405	0.33556
2.80000	1.99985	0.33806
2.85000	2.00519	0.33900
2.90000	2.01069	0.33934
2.95000	2.01599	0.34019
3.00000	2.02147	0.34001
3.05000	2.02678	0.33997
3.10000	2.03189	0.33948
3.15000	2.03708	0.33754
3.20000	2.04199	0.33642
3.25000	2.04702	0.33454
3.30000	2.05189	0.33178
3.35000	2.05689	0.32902
3.40000	2.06176	0.32606
3.45000	2.06639	0.32195
3.50000	2.07116	0.31792
3.55000	2.07200	0.31750
3.60000	2.07117	0.31731
3.65000	2.07108	0.31746
3.70000	2.07113	0.31735
3.75000	2.07109	0.31706
3.80000	2.07110	0.31735
3.85000	2.07118	0.31706
3.90000	2.07113	0.31667
3.95000	2.07112	0.31660
4.00000	2.07109	0.31679
4.05000	2.07108	0.31709
4.10000	2.07106	0.31742
4.15000	2.07113	0.31650
4.20000	2.07110	0.31656
4.25000	2.07109	0.31664
4.30000	2.07114	0.31679
4.35000	2.07103	0.31654
4.40000	2.07103	0.31646
4.45000	2.07105	0.31709
4.50000	2.07113	0.31721
4.55000	2.07114	0.31713
4.60000	2.07111	0.31706
4.65000	2.07105	0.31713
4.70000	2.07113	0.31742
4.75000	2.07108	0.31735
4.80000	2.07099	0.31698
4.85000	2.07108	0.31686
4.90000	2.07110	0.31642
4.95000	2.07112	0.31706
5.00000	2.07108	0.31706
