Current (mA)	Voltage (V)	Power (mW)
0.00000	0.10250	0.00155
0.05000	0.67623	0.00185
0.10000	1.43140	0.00197
0.15000	1.45759	0.00193
0.20000	1.47818	0.00155
0.25000	1.49488	0.00204
0.30000	1.50984	0.00193
0.35000	1.52318	0.00204
0.40000	1.53484	0.00222
0.45000	1.54616	0.00301
0.50000	1.55614	0.00301
0.55000	1.56589	0.00342
0.60000	1.57478	0.00372
0.65000	1.58357	0.00465
0.70000	1.59173	0.00627
0.75000	1.59918	0.00966
0.80000	1.60601	0.02109
0.85000	1.61188	0.04367
0.90000	1.61776	0.06883
0.95000	1.62325	0.09399
1.00000	1.62891	0.11948
1.05000	1.63455	0.14569
1.10000	1.63979	0.17054
1.15000	1.64531	0.19653
1.20000	1.65043	0.22034
1.25000	1.65576	0.24573
1.30000	1.66071	0.26961
1.35000	1.66590	0.29458
1.40000	1.67097	0.32034
1.45000	1.67574	0.34513
1.50000	1.68072	0.37205
1.55000	1.68550	0.39885
1.60000	1.69027	0.42662
1.65000	1.69484	0.45422
1.70000	1.69961	0.48281
1.75000	1.70433	0.51104
1.80000	1.70873	0.53862
1.85000	1.71328	0.56626
1.90000	1.71774	0.59388
1.95000	1.72224	0.62233
2.00000	1.72658	0.64913
2.05000	1.73091	0.67694
2.10000	1.73536	0.70565
2.15000	1.73958	0.73243
2.20000	1.74383	0.76053
2.25000	1.74798	0.78659
2.30000	1.75220	0.81474
2.35000	1.75628	0.84203
2.40000	1.76038	0.86981
2.45000	1.76464	0.89747
2.50000	1.76845	0.92416
2.55000	1.77266	0.95119
2.60000	1.77651	0.97848
2.65000	1.78052	1.00480
2.70000	1.78443	1.03277
2.75000	1.78835	1.05934
2.80000	1.79220	1.08603
2.85000	1.79595	1.11321
2.90000	1.79980	1.13986
2.95000	1.80353	1.16615
3.00000	1.80732	1.19374
3.05000	1.81107	1.22057
3.10000	1.81481	1.24600
3.15000	1.81846	1.27414
3.20000	1.82205	1.29900
3.25000	1.82572	1.32674
3.30000	1.82930	1.35242
3.35000	1.83290	1.37874
3.40000	1.83667	1.40649
3.45000	1.84016	1.43183
3.50000	1.84373	1.45866
3.55000	1.84715	1.48570
3.60000	1.85070	1.51145
3.65000	1.85411	1.53788
3.70000	1.85763	1.56454
3.75000	1.86118	1.59116
3.80000	1.86453	1.61859
3.85000	1.86792	1.64435
3.90000	1.87128	1.67000
3.95000	1.87470	1.69733
4.00000	1.87800	1.72282
4.05000	1.88148	1.75004
4.10000	1.88481	1.77695
4.15000	1.88812	1.80181
4.20000	1.89141	1.82977
4.25000	1.89466	1.85523
4.30000	1.89798	1.88129
4.35000	1.90123	1.90749
4.40000	1.90450	1.93392
4.45000	1.90776	1.96062
4.50000	1.91092	1.98709
4.55000	1.91427	2.01206
4.60000	1.91734	2.03913
4.65000	1.92057	2.06529
4.70000	1.92363	2.08967
4.75000	1.92686	2.11718
4.80000	1.93007	2.14271
4.85000	1.93306	2.16866
4.90000	1.93622	2.19497
4.95000	1.93932	2.21901
5.00000	1.94243	2.24540
5.05000	1.94549	2.27108
5.10000	1.94855	2.29662
5.15000	1.95160	2.32380
5.20000	1.95454	2.34784
5.25000	1.95764	2.37292
5.30000	1.96061	2.39882
5.35000	1.96366	2.42350
5.40000	1.96669	2.44907
5.45000	1.96956	2.47471
5.50000	1.97264	2.49901
5.55000	1.97552	2.52406
5.60000	1.97847	2.54866
5.65000	1.98133	2.57318
5.70000	1.98425	2.59868
5.75000	1.98723	2.62317
5.80000	1.99014	2.64783
5.85000	1.99300	2.67281
5.90000	1.99595	2.69617
5.95000	1.99877	2.72193
6.00000	2.00158	2.74530
6.05000	2.00442	2.76949
6.10000	2.00728	2.79554
6.15000	2.01014	2.81815
6.20000	2.01295	2.84268
6.25000	2.01570	2.86675
6.30000	2.01853	2.89026
6.35000	2.02130	2.91479
6.40000	2.02417	2.93871
6.45000	2.02698	2.96205
6.50000	2.02962	2.98635
6.55000	2.03246	3.00960
6.60000	2.03516	3.03251
6.65000	2.03789	3.05674
