Wavelength (nm)	Rel. spec. intensity (dB)
845.060	29.863
845.083	29.854
845.105	29.827
845.128	29.827
845.151	29.903
845.174	29.863
845.197	29.850
845.220	29.894
845.243	29.800
845.266	29.805
845.289	29.814
845.312	29.845
845.335	29.818
845.358	29.773
845.381	29.805
845.404	29.845
845.427	29.845
845.450	29.908
845.473	29.863
845.496	29.736
845.518	29.795
845.541	29.881
845.564	29.845
845.587	29.863
845.610	29.836
845.633	29.903
845.656	29.886
845.679	29.823
845.702	29.800
845.724	29.827
845.747	29.863
845.770	29.827
845.793	29.836
845.816	29.832
845.839	29.841
845.862	29.818
845.885	29.841
845.907	29.827
845.930	29.890
845.953	29.754
845.976	29.777
845.999	29.899
846.022	29.827
846.045	29.854
846.067	29.859
846.090	29.827
846.113	29.854
846.136	29.841
846.159	29.850
846.182	29.863
846.204	29.908
846.227	29.899
846.250	29.886
846.273	29.845
846.296	29.881
846.318	29.836
846.341	29.912
846.364	29.832
846.387	29.809
846.410	29.841
846.432	29.881
846.455	29.823
846.478	29.850
846.501	29.786
846.523	29.877
846.546	29.845
846.569	29.854
846.592	29.926
846.614	29.827
846.637	29.764
846.660	29.782
846.683	29.777
846.705	29.872
846.728	29.877
846.751	29.886
846.774	29.899
846.796	29.841
846.819	29.886
846.842	29.773
846.865	29.795
846.887	29.863
846.910	29.809
846.933	29.827
846.955	29.791
846.978	29.877
847.001	29.791
847.023	29.814
847.046	29.814
847.069	29.908
847.092	29.795
847.114	29.868
847.137	29.773
847.160	29.863
847.182	29.800
847.205	29.795
847.228	29.764
847.250	29.800
847.273	29.814
847.296	29.894
847.318	29.868
847.341	29.859
847.364	29.782
847.386	29.845
847.409	29.786
847.432	29.809
847.454	29.795
847.477	29.782
847.499	29.814
847.522	29.773
847.545	29.836
847.567	29.845
847.590	29.845
847.613	29.845
847.635	29.854
847.658	29.841
847.680	29.836
847.703	29.764
847.726	29.845
847.748	29.854
847.771	29.782
847.793	29.773
847.816	29.886
847.839	29.809
847.861	29.809
847.884	29.773
847.906	29.754
847.929	29.845
847.951	29.759
847.974	29.805
847.996	29.773
848.019	29.800
