Wavelength (nm)	Rel. spec. intensity (dB)
842.185	29.764
842.209	29.717
842.232	29.703
842.255	29.750
842.279	29.703
842.302	29.633
842.326	29.657
842.349	29.717
842.372	29.689
842.396	29.773
842.419	29.759
842.442	29.699
842.466	29.741
842.489	29.717
842.512	29.671
842.536	29.689
842.559	29.750
842.582	29.727
842.606	29.652
842.629	29.731
842.652	29.741
842.676	29.736
842.699	29.741
842.722	29.764
842.746	29.795
842.769	29.832
842.792	29.795
842.815	29.736
842.839	29.745
842.862	29.703
842.885	29.722
842.909	29.777
842.932	29.717
842.955	29.741
842.978	29.619
843.002	29.727
843.025	29.699
843.048	29.814
843.071	29.657
843.095	29.764
843.118	29.708
843.141	29.694
843.164	29.680
843.188	29.694
843.211	29.782
843.234	29.736
843.257	29.713
843.281	29.727
843.304	29.731
843.327	29.713
843.350	29.703
843.374	29.685
843.397	29.703
843.420	29.638
843.443	29.736
843.466	29.800
843.490	29.703
843.513	29.609
843.536	29.717
843.559	29.694
843.582	29.777
843.606	29.754
843.629	29.708
843.652	29.777
843.675	29.745
843.698	29.708
843.721	29.736
843.745	29.666
843.768	29.708
843.791	29.703
843.814	29.754
843.837	29.773
843.860	29.685
843.883	29.741
843.907	29.694
843.930	29.685
843.953	29.736
843.976	29.661
843.999	29.694
844.022	29.694
844.045	29.786
844.069	29.754
844.092	29.680
844.115	29.731
844.138	29.717
844.161	29.685
844.184	29.713
844.207	29.727
844.230	29.736
844.253	29.768
844.276	29.680
844.300	29.823
844.323	29.809
844.346	29.754
844.369	29.643
844.392	29.708
844.415	29.727
844.438	29.675
844.461	29.713
844.484	29.643
844.507	29.713
844.530	29.680
844.553	29.754
844.576	29.671
844.599	29.713
844.622	29.722
844.645	29.800
844.668	29.708
844.692	29.809
844.715	29.750
844.738	29.727
844.761	29.708
844.784	29.745
844.807	29.741
844.830	29.694
844.853	29.703
844.876	29.745
844.899	29.736
844.922	29.750
844.945	29.699
844.968	29.727
844.991	29.768
845.014	29.703
845.037	29.741
845.060	29.708
845.083	29.722
845.105	29.657
845.128	29.741
845.151	29.694
845.174	29.689
845.197	29.764
845.220	29.731
845.243	29.717
845.266	29.671
845.289	29.768
845.312	29.703
845.335	29.731
845.358	29.671
845.381	29.741
845.404	29.736
845.427	29.731
845.450	29.713
845.473	29.694
845.496	29.633
845.518	29.652
845.541	29.809
845.564	29.759
845.587	29.685
845.610	29.708
845.633	29.741
845.656	29.685
845.679	29.722
845.702	29.727
845.724	29.809
845.747	29.750
845.770	29.671
845.793	29.675
845.816	29.773
845.839	29.823
845.862	29.764
845.885	29.666
845.907	29.703
845.930	29.722
845.953	29.694
845.976	29.809
845.999	29.741
846.022	29.745
846.045	29.703
846.067	29.754
846.090	29.768
846.113	29.717
846.136	29.764
846.159	29.694
846.182	29.754
846.204	29.661
846.227	29.722
846.250	29.731
846.273	29.791
846.296	29.814
846.318	29.754
846.341	29.759
846.364	29.731
846.387	29.671
846.410	29.661
846.432	29.657
846.455	29.727
846.478	29.713
846.501	29.741
846.523	29.791
846.546	29.680
846.569	29.717
846.592	29.713
846.614	29.699
846.637	29.675
846.660	29.741
846.683	29.722
846.705	29.699
846.728	29.731
846.751	29.786
846.774	29.754
846.796	29.689
846.819	29.741
846.842	29.741
846.865	29.795
846.887	29.759
846.910	29.736
846.933	29.699
846.955	29.759
846.978	29.736
847.001	29.731
847.023	29.786
847.046	29.841
847.069	30.864
847.092	32.418
847.114	33.955
847.137	35.451
847.160	36.616
847.182	37.204
847.205	37.053
847.228	35.926
847.250	34.661
847.273	33.464
847.296	32.219
847.318	30.896
847.341	30.060
847.364	29.863
847.386	29.823
847.409	29.754
847.432	29.754
847.454	29.777
847.477	29.764
847.499	29.750
847.522	29.768
847.545	29.736
847.567	29.777
847.590	30.158
847.613	31.912
847.635	33.077
847.658	34.306
847.680	35.308
847.703	34.826
847.726	33.596
847.748	32.567
847.771	31.055
847.793	30.048
847.816	29.827
847.839	29.745
847.861	29.717
847.884	29.754
847.906	29.727
847.929	29.795
847.951	29.786
847.974	29.759
